even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
    908 0.46%:  that's not the one ending
    909 0.46%:  so that one I need
    910 0.46%:  I need to get this on to
    911 0.46%:  so the end is that I got
    912 0.46%:  that one gets the
    913 0.46%:  so that is not
    914 0.94%:  so that is not the
    915 2.69%:  so that is not the end
    916 0.46%:  so I think that's got
    917 0.46%:  that is not good
    918 0.46%:  so that's it. I need
    919 0.45%:  that one gets no
    920 0.45%:  so I don't think the
    921 0.45%:  so then the
    922 0.45%:  so these
    923 0.45%:  so that's it I need to go on
    924 0.45%:  I think that one's gone
    925 0.93%:  I think that one's gone on
    926 0.45%:  so that one is on
    927 0.45%:  I have to do
    928 0.47%:  I have to do this
    929 0.45%:  so I haven't got this one
    930 0.45%:  so one
    931 0.45%:  that one's good to
    932 0.45%:  so I got this
    933 0.45%:  so that one doesn't go the
    934 0.45%:  I have to get to the
    935 0.44%:  no that one is too
    936 0.44%:  I give
    937 0.44%:  that's done. I
    938 3.45%:  that's done. I think
    939 0.44%:  that's not so good.
    940 0.77%:  that's not so good. I
    941 0.44%:  that one isn't even
    942 0.94%:  that one isn't even on
    943 0.44%:  so that one's got the
    944 0.44%:  no that one is not
    945 0.44%:  so I have to edit
    946 0.44%:  this one took
    947 0.44%:  so that's in
    948 0.44%: . I need to get to this
    949 0.44%:  I've had
    950 0.44%:  so it's that
    951 0.43%:  I've got a
    952 0.43%:  so I don't get
    953 0.80%:  so I don't get the
    954 0.43%:  that's the one good
    955 0.47%:  that's the one good one so
    956 0.43%:  so that's good
    957 0.43%: . It's a
    958 0.87%: . It's a good
    959 0.43%:  that's the ending on
    960 0.43%:  so it's gonna end
    961 0.43%:  so that one's not one
    962 0.43%:  no thanks to this
    963 0.43%:  that's it I don
    964 0.43%:  so I haven't gone
    965 0.50%:  so I haven't gone into
    966 1.07%:  so I haven't gone into the
    967 0.43%:  so I have this one
    968 0.43%:  so it's not that one
    969 0.44%:  so it's not that one.
    970 0.42%:  no this one goes
    971 0.42%:  no that one's not the
    972 0.42%: . I think the
    973 0.42%:  this one doesn't go
    974 0.42%:  I think that one ends
    975 0.42%:  it's gotta
    976 0.42%:  so I've got these
    977 0.42%:  no that's the end I
    978 0.42%:  so that one's done.
    979 0.50%:  so that one's done. I
    980 0.42%:  so that one's too
    981 0.41%:  this doesn't have to go to
    982 0.41%:  that took too
    983 0.41%:  so I haven't got this one done
    984 0.41%:  no this doesn
    985 0.79%:  no this doesn't even
    986 0.71%:  no this doesn't have
    987 0.41%:  this one ends
    988 0.88%:  this one ends the
    989 0.41%:  no that's not the end so no
    990 0.41%:  so that one ends on
    991 0.41%:  I need to go.
    992 0.41%:  that is not the end so
    993 0.41%:  and one
    994 0.41%:  that's the end. I get
    995 0.41%: . I need a
    996 0.41%:  that's not even good.
    997 0.41%:  and I've
    998 1.05%:  and I've got
    999 0.42%:  and I've got one
   1000 0.41%:  so I need it
   1001 0.41%:  that one isn't good
   1002 0.43%:  that one isn't good.
   1003 0.41%:  that is not the end.
   1004 0.79%:  that is not the end. I
   1005 0.41%:  that's not so good. I think
   1006 0.41%:  that one is on
   1007 0.41%:  so I don't have this one on
   1008 0.41%:  that's the end so get
   1009 0.40%:  I've got one
   1010 0.40%:  so I don't get it
   1011 0.40%:  that one took so
   1012 0.40%:  it doesn
   1013 4.30%:  it doesn't have
   1014 0.87%:  it doesn't have to go
   1015 0.51%:  it doesn't take
   1016 0.40%:  that one isn't even good
   1017 0.50%:  that one isn't even good.
   1018 0.40%:  that one goes to the kids
   1019 0.64%:  that one goes to the kids'
   1020 0.40%:  that one got kind
   1021 0.40%:  and it gets
   1022 0.40%:  I have to go on
   1023 0.51%:  I have to go on the
   1024 0.40%:  that's not the ending. In
   1025 0.40%:  and I've got the
   1026 0.40%:  no this has
   1027 0.54%:  no this has gone on
   1028 0.88%:  no this has gone on too
   1029 0.40%:  that's the one good one.
   1030 0.75%:  that's the one good one. I
   1031 0.40%:  no that one doesn't get
   1032 0.40%:  that one's 
   1033 0.40%:  that one doesn't go too
   1034 0.40%:  no one'
   1035 0.73%:  no one's gonna
   1036 0.39%:  and it's not
   1037 0.39%:  that's the end so give
   1038 0.39%:  that's not even done
   1039 0.39%:  that one isn't done so
   1040 0.39%:  that's one thing I don
   1041 0.39%:  and it's not even
   1042 0.39%:  so it's not even good
   1043 0.38%:  this one's gone
   1044 0.38%:  so I've not
   1045 0.38%:  so I had nothing
   1046 0.38%:  that one's done I
   1047 0.38%:  that's one thing done
   1048 0.38%: . I need to go sit
   1049 0.38%:  I've gotten
   1050 0.38%:  so that is not the end.
   1051 0.38%:  so I need to get this on a
   1052 0.38%:  so I need to get to this
   1053 0.38%:  that one I don't get
   1054 0.38%: . It's good that
   1055 0.38%:  no that's not good.
   1056 0.67%:  no that's not good. I
   1057 0.37%:  I have to get this done so
   1058 0.37%:  thanks I need to get this on
   1059 0.37%:  that one goes into the '
   1060 0.37%:  I need this to go
   1061 0.37%:  so I need to get on this.
   1062 0.37%:  so I've got to do
   1063 0.52%:  so I've got to do this
   1064 0.37%:  so I need this on
   1065 0.37%:  so that one isn't too
   1066 0.37%:  so that's kind
   1067 0.37%:  so that one is the one
   1068 0.37%: . I've done this
   1069 0.37%:  that one's got to end
   1070 0.37%:  that one isn't the
   1071 0.36%:  that one I need
   1072 0.49%:  that one I need to think
   1073 0.78%:  that one I need to think on
   1074 0.36%:  that one isn't too
   1075 0.36%:  that one is good.
   1076 0.36%:  that's good I think so
   1077 0.36%:  that's one thing I do
   1078 0.36%:  that one's done so I
   1079 2.84%:  that one's done so I think
   1080 0.36%:  it's not a
   1081 0.36%:  this one doesn't have 
   1082 0.36%:  that one isn't too good
   1083 0.36%:  no that's not the ending so I
   1084 0.36%: . I think that one got
   1085 0.36%:  thanks. It
   1086 0.36%:  so I haven't done it
   1087 0.36%:  that one took it
   1088 0.36%:  it's not on
   1089 0.36%:  I've got to take this one
   1090 0.36%:  I need this to go on the
   1091 0.35%:  no that's not good it
   1092 0.35%:  no not
   1093 0.35%:  that one goes to the kids.
   1094 0.35%:  that's the ending not
   1095 0.35%:  I think that one needs to
   1096 0.35%:  that is good
   1097 0.35%:  that is the end to
   1098 0.35%:  that one I've
   1099 0.35%:  so I think that one got
   1100 0.35%:  that one I don't think even
   1101 0.35%:  that one doesn't go on this one
   1102 0.35%:  so that one's done. I think
   1103 0.35%:  no this one goes on the
   1104 0.35%:  so I have it
   1105 0.35%: . I have to get this done so
   1106 0.34%:  so that one I need to think
   1107 0.34%:  no this one's not on
   1108 0.34%:  this one doesn't get a
   1109 0.34%:  so that one's not even good
   1110 0.34%:  that's not it.
   1111 0.65%:  that's not it. I
   1112 0.37%:  that's not it. I need
   1113 0.34%:  so the thing I
   1114 0.34%: . I don
   1115 0.47%: . I don't think
   1116 0.46%: . I don't think that
   1117 0.41%: . I don't think that one
   1118 0.34%: . I think that's good to
   1119 0.34%:  that is the end. I'
   1120 0.67%:  that is the end. I've
   1121 0.34%:  no that's not the end. In
   1122 0.34%:  so that one's kind
   1123 0.34%:  so it's not done then
   1124 0.34%:  so that one's good
   1125 0.34%:  no that's it. It
   1126 0.33%:  so it's that one
   1127 0.33%:  so this one I need
   1128 0.33%:  no thanks it
   1129 0.33%:  so this one I don't get
   1130 0.33%:  that one's got to end soon
   1131 0.33%:  so that one is not done
   1132 0.33%:  that one's not the end
   1133 0.33%:  this doesn't go
   1134 0.33%:  so I've got one
   1135 0.33%:  so I haven't gotten this done
   1136 0.33%:  no I take
   1137 0.32%:  so I need one
   1138 0.32%:  so I have nothing to
   1139 0.32%:  that one's done so it
   1140 0.32%: . I have to go to
   1141 2.50%: . I have to go to the dent
   1142 0.32%:  and so
   1143 0.32%:  so this one I haven
   1144 0.81%:  so this one I haven't done
   1145 0.32%:  thanks it
   1146 0.37%:  thanks it's not
   1147 0.34%:  thanks it's good
   1148 0.32%:  no I don't have those
   1149 0.32%:  so I have not
   1150 0.32%:  that's one I need
   1151 0.88%:  that's one I need to think
   1152 0.32%:  I've gotten the
   1153 0.32%:  that one's not done. I
   1154 0.32%:  that one needs to go
   1155 0.47%:  that one needs to go to
   1156 0.38%:  that one needs to go in
   1157 0.32%:  I think that one's got
   1158 0.32%:  so it's not that good. I
   1159 0.32%:  that one I don't get.
   1160 0.32%:  no that one I
   1161 0.31%:  so this one I haven't gotten
   1162 0.31%:  I need to go in
   1163 0.71%:  I need to go in the
   1164 0.31%:  thanks it's the
   1165 0.31%:  no thanks I need to get to
   1166 0.31%:  that doesn't go on
   1167 0.31%:  so that one goes in
   1168 0.31%:  so the ending has
   1169 0.31%:  no that's it I don
   1170 0.31%:  so that isn't on
   1171 0.31%:  so I got one
   1172 0.31%:  that one isn't so good I
   1173 0.31%:  no that isn't on
   1174 0.31%:  that took so
   1175 0.31%:  no that's the end so
   1176 0.31%: . I need to get it
   1177 0.31%:  that's not the one in
   1178 0.31%:  so I have the ending
   1179 0.31%:  I've gotten this
   1180 0.31%:  I have this
   1181 0.30%:  so I got this one
   1182 0.32%:  so I got this one done
   1183 0.30%:  so that's the one good one I
   1184 0.30%:  so that doesn't go
   1185 0.49%:  so that doesn't go on
   1186 0.30%:  so that one I don't get
   1187 0.30%:  so I've said the
   1188 0.30%:  no that's the ending to one
   1189 0.30%:  no this one doesn't take
   1190 0.30%:  so I have to go do
   1191 0.30%: . I need to get on this soon
   1192 0.30%:  that one's good too
   1193 0.36%:  that one's good too.
   1194 0.30%:  no good
   1195 0.30%:  no that's not one
   1196 0.30%:  no that's good
   1197 0.38%:  no that's good I
   1198 0.85%:  no that's good I think
   1199 0.33%:  no that's good.
   1200 0.30%:  I have no
   1201 0.30%: . I think that's got
   1202 0.30%:  I've got it done
   1203 0.30%:  so that's good.
   1204 0.30%:  so I've done this one
   1205 0.30%:  so the end is that one
   1206 0.30%:  that one's too good
   1207 0.41%:  that one's too good.
   1208 0.30%:  that's one thing I need
   1209 0.30%:  no I need to get
   1210 0.82%:  no I need to get to
   1211 0.40%:  no I need to get this
   1212 0.30%:  it's not as
   1213 0.29%:  that's the one end
   1214 0.29%:  that's not the ending on
   1215 0.29%:  no I need to go on
   1216 0.29%:  that one ends this one
   1217 0.29%:  so it's too
   1218 0.29%:  the end the
   1219 0.29%:  that one's not the ending
   1220 0.29%:  so it doesn't have one
   1221 0.29%:  that's not on this
   1222 0.29%:  this needs to go
   1223 0.29%:  I have to get this to
   1224 0.29%:  so it's not an end
   1225 0.29%:  so that one goes to
   1226 0.29%: . I have to get on
   1227 0.29%:  so I haven't gotten this one on
   1228 0.28%:  I've done
   1229 0.28%:  no it
   1230 8.53%:  no it's not that
   1231 13.29%:  no it's not that good
   1232 8.21%:  no it's not done
   1233 1.45%:  no it's not a
   1234 1.31%:  no it doesn
   1235 1.18%:  no it's not the
   1236 1.14%:  no it's the
   1237 1.01%:  no it's not the end I
   1238 4.32%:  no it's not the end I haven
   1239 1.06%:  no it's not the end I have
   1240 2.69%:  no it's not the end I have to
   1241 0.93%:  no it's the end.
   1242 0.81%:  no it's not the end.
   1243 2.02%:  no it's not the end. I
   1244 2.72%:  no it's not the end. I have
   1245 0.77%:  no it's not gonna
   1246 0.76%:  no it's not a good
   1247 0.74%:  no it's not the end the
   1248 0.66%:  no it's not that one
   1249 0.58%:  no it's not done that
   1250 0.57%:  no it's not that one.
   1251 0.56%:  no it's not the end. It
   1252 0.55%:  no it's not that good.
   1253 0.53%:  no it doesn't have
   1254 0.50%:  no it's not that one I
   1255 0.44%:  no it's done
   1256 0.43%:  no it's not that good I
   1257 0.37%:  no it's not that I
   1258 0.36%:  no it doesn't get
   1259 0.36%:  no it's not that I don
   1260 0.33%:  no it's not the end. I have to go
   1261 0.32%:  no it's not a good one
   1262 0.30%:  no it doesn't go
   1263 0.54%:  no it doesn't go that
   1264 0.28%:  so it's got to
   1265 0.28%:  and then
   1266 0.41%:  and then the
   1267 0.34%:  and then I'
   1268 0.28%:  that one ends things on
   1269 0.28%:  this one needs no
   1270 0.28%:  I need that
   1271 0.28%:  so I said
   1272 0.36%:  so I said the
   1273 0.28%:  so that one isn't even good
   1274 0.28%:  so that ending'
   1275 0.28%:  no this one doesn't have to go
   1276 0.28%:  no I need to take this to
   1277 0.28%:  so that's the ending not
   1278 0.28%:  so I've done the
   1279 0.28%:  so that one I'
   1280 0.28%:  I need to get on this.
   1281 0.28%:  so I've got that one in
   1282 0.28%:  so I haven't gotten into
   1283 0.27%:  no that one's done
   1284 0.27%:  that one is too good
   1285 0.37%:  that one is too good.
   1286 0.27%:  and this one goes
   1287 0.27%: . I don't have
   1288 0.54%: . I don't have the
   1289 0.27%:  thanks in
   1290 0.27%:  that is the end. It
   1291 0.27%:  that one's gone.
   1292 0.27%:  that's good to the
   1293 0.27%:  I think that one goes on
   1294 0.27%:  no that's not good. I think
   1295 0.27%:  I have to sit
   1296 0.27%: . I think that's 
   1297 0.27%:  that one's got it
   1298 0.27%:  that one I've got
