checked Wikipedia and it's really hard to overdose on Vitamin C!
100.00%: 
73.13%:  have
20.22%:  have decided that cookies don't need
18.36%:  already invented Vitamin cookies
18.26%: 've decided not
37.12%: 've decided not to make
33.73%: 've decided not to make cookies
31.74%: 've decided not to make any
25.88%: 've decided not to eat
42.41%: 've decided not to eat cookies
28.38%: 've decided not to eat any cookies
18.25%:  have decided that cookies really
18.20%:  think cookies already
19.91%:  think cookies already have a
18.14%: 've decided that Vitamin C can only
18.11%:  have cookies already
18.09%: 've decided that cookies are not nearly
18.00%:  have cookies that are Vitamin C and
18.00%: 've already eaten more
61.26%: 've already eaten more cookies
106.54%: 've already eaten more cookies than Vit
97.47%: 've already eaten more cookies this
19.69%: 've already eaten more Vit
17.98%:  have cookies in my pocket that are V
17.98%: 've already decided that Vitamin C cookies are pink
17.91%:  have already replaced the
17.91%: 've decided cookies are already sl
17.86%: 've decided that Vitamin C cookies are okay in
17.85%: 've decided that Vitamin C cookies are ones
17.85%:  have eaten Vitamin C cookies and they did
17.79%:  have decided that cookies are my spirit
17.72%:  already have some cookies lined
17.71%: 've already decided that Vitamin C is also nick
17.70%:  have eaten Vitamin C already!
17.69%: 've already decided that this
17.67%:  already had cookies earlier this
17.62%: 've decided that Vitamin C cookies are plain old
17.61%: 've already eaten Vitamin C cookies like
17.61%: 've decided that Vitamin C cookies are a personal
17.56%:  invented it
17.55%:  have decided to make
58.41%:  have decided to make cookies
17.48%:  have eaten cookies lately
17.48%: 've decided cookies taste
39.93%: 've decided cookies taste like
17.48%: 've decided to call my
17.48%:  have cookies in my kitchen and
17.47%:  already had that
22.86%:  already had that nick
52.14%:  already had that nickname picked
17.40%:  have cookies ready
17.38%:  have decided that Vitamin C is cookies are
17.34%: 've already decided that cookies and milk
17.33%:  invented Vit
1538.95%:  invented Vitamin C cookies
1056.02%:  invented Vitamin C cookies already
398.70%:  invented Vitamin C cookies today
305.64%:  invented Vitamin C cookies earlier
240.08%:  invented Vitamin C cookies earlier this
230.62%:  invented Vitamin C cookies last
146.51%:  invented Vitamin C cookies this
143.41%:  invented Vitamin C cookies called
85.67%:  invented Vitamin C cookies earlier!
81.73%:  invented Vitamin C cookies earlier this year
59.35%:  invented Vitamin C already
30.20%:  invented Vitamin C earlier
29.06%:  invented Vitamin C cookies so
27.71%:  invented Vitamin C cookies shaped
80.36%:  invented Vitamin C cookies shaped like the
65.64%:  invented Vitamin C cookies shaped like a
29.13%:  invented Vitamin C cookies shaped like the al
23.94%:  invented Vitamin C cookies last year
23.15%:  invented Vitamin C earlier this
25.42%:  invented Vitamin C earlier this year
22.72%:  invented Vitamin C cookies already so
20.38%:  invented Vitamin C cookies shaped like a heart
19.56%:  invented Vitamin C cookies shaped like real
18.90%:  invented Vitamin C cookies a
18.80%:  invented Vitamin C cookies shaped like other
18.66%:  invented Vitamin C cookies like
18.51%:  invented Vitamin C earlier today so
18.49%:  invented Vitamin C!
17.33%: 've decided that Vitamin C cookies are really a
17.26%: 've decided that cookies are rad and
17.25%:  have decided that Vitamin C cookies are ir
17.20%:  have cookies in my cookie
17.16%:  have decided that Vitamin C cookies are inspired
17.10%: 've already decided that Vitamin C cookies kinda
17.10%:  have decided that Vitamin C cookies are ind
17.08%: 've already decided it
17.02%: 've decided that Vitamin C cookies are like a
17.01%:  have decided cookies are still pretty
16.98%:  have decided that Vitamin C is like
49.03%:  have decided that Vitamin C is like cookies
16.97%: 've already decided that Vitamin C is kinda
16.97%:  have decided that Vitamin C is okay
16.89%: 've decided cookies are a
17.15%: 've decided cookies are a pretty
16.88%:  have decided that cookies are one
16.86%: 've already decided that Vitamin C cookies is like
16.85%: 've decided that cookies are still okay
16.84%:  already invented that one like
16.78%: 've already made cookies this
16.68%: 've already decided that cookies are too
16.64%: 've decided that Vitamin C cookies are personal
16.60%: 've already eaten Vitamin C so there
16.59%: 've decided that Vitamin C cookies are like 
16.58%: 've decided that Vitamin C cookies are al
16.57%: 've decided that Vitamin C cookies are okay in all
16.54%: 've decided that Vitamin C cookies are already kind
16.52%: 've already decided that cookies is
16.43%:  totally invented
23.71%:  totally invented cookies
16.40%:  have already eaten Vitamin C so
16.36%:  have decided that cookies are only
16.36%: 've decided that Vitamin C cookies are a real
16.34%:  have cookies in my pocket that are loaded
16.32%: 've already decided to eat
52.14%: 've already decided to eat cookies
16.28%:  have already decided that cookies don
16.27%: 've already decided on the sl
16.18%: 've decided that Vitamin C is a cookie
16.17%: 've already eaten the last
78.05%: 've already eaten the last cookie
45.28%: 've already eaten the last cookie in
40.92%: 've already eaten the last cookie!
26.72%: 've already eaten the last cookies
16.65%: 've already eaten the last cookies in
16.16%:  already invented a cookie recipe that's so
16.13%:  have cookies today
16.09%: 've decided that Vitamin C cookies are nearly
16.02%:  think cookies already have a special
15.96%:  already invented that one!
15.94%: 've decided that Vitamin C and cookies shall
15.94%: 've decided that Vitamin C and cookies really
15.93%: 've decided cookies are pretty damn
27.39%: 've decided cookies are pretty damn rad
15.84%:  have cookies that are Vitamin C in
15.81%:  already had that nickname!
15.80%: 've decided cookies are pretty r
15.80%: 've already decided that cookies are rad in
15.79%: 've already decided that cookies are to
15.73%:  have cookies in my pocket that aren
15.70%:  have made
73.87%:  have made cookies
45.57%:  have made cookies called
44.59%:  have made cookies recently
29.81%:  have made cookies that
27.33%:  have made cookies today
27.24%:  have made cookies that are entirely
24.03%:  have made cookies that contain
19.59%:  have made cookies called Vit
17.68%:  have made cookies recently and
16.06%:  have made cookies already
15.67%:  have decided cookies are the only Vitamin C'
15.65%:  already invented that earlier
15.63%:  don
53.79%:  don't have
1013.42%:  don't have any cookies
287.50%:  don't have any cookies!
204.93%:  don't have any cookies here
173.36%:  don't have cookies
65.42%:  don't have any Vit
3704.54%:  don't have any Vitamin C cookies
1459.91%:  don't have any Vitamin C cookies here
589.54%:  don't have any Vitamin C cookies!
340.38%:  don't have any Vitamin C cookies here!
132.49%:  don't have any Vitamin C cookies at
115.39%:  don't have any Vitamin C here
101.01%:  don't have any Vitamin C cookies this
71.20%:  don't have any Vitamin C!
62.71%:  don't have any Vitamin C cookies to
97.93%:  don't have any Vitamin C cookies to share
60.45%:  don't have cookies anymore
52.72%:  don't have any cookies at
49.89%:  don't have any cookies to
49.81%:  don't have any Vitamin C cookies either
47.67%:  don't have any cookies here!
47.45%:  don't have any Vitamin C cookies here at
46.68%:  don't have cookies!
44.04%:  don't have any cookies in
42.75%:  don't think
40.00%:  don't think cookies
49.14%:  don't think cookies ever
44.64%:  don't think cookies are
69.73%:  don't think cookies are ever
36.81%:  don't like
1141.70%:  don't like cookies either
435.59%:  don't like cookies anymore
328.98%:  don't like cookies that
263.11%:  don't like cookies!
199.64%:  don't like cookies very
129.29%:  don't like cookies anymore either
103.38%:  don't like cookies and
99.43%:  don't like cookies so
95.48%:  don't like cookies at
64.12%:  don't like cookies already
47.34%:  don't like cookies nearly
35.90%:  don't have cookies today
35.70%:  don't like cookies anymore and
34.95%:  don't like cookies either so
34.31%:  don't think cookies have
66.22%:  don't think cookies have calories
33.48%:  don't have any cookies in the
31.96%:  don't like cookies either and
31.70%:  don't have any cookies to share
30.56%:  don't like cookies and neither
52.95%:  don't like cookies and neither does
29.40%:  don't like cookies so it
28.87%:  don't have any Vitamin C cookies here to
28.15%:  don't think cookies are ever made
28.08%:  don't have any Vitamin C cookies stored
27.02%:  don't like cookies and neither does my
25.97%:  don't like cookies as
25.61%:  don't have any Vitamin C cookies so
25.33%:  don't have any cookies in this
25.27%:  don't like cookies any
32.75%:  don't like cookies any more either
25.18%:  don't like cookies and have
25.10%:  don't have to
25.97%:  don't have to eat
44.69%:  don't have to eat cookies
24.51%:  don't have Vit
1360.79%:  don't have Vitamin C cookies
440.59%:  don't have Vitamin C cookies today
320.36%:  don't have Vitamin C cookies in
273.31%:  don't have Vitamin C cookies here
262.62%:  don't have Vitamin C cookies yet
260.53%:  don't have Vitamin C cookies!
254.51%:  don't have Vitamin C cookies in this
172.34%:  don't have Vitamin C cookies here today
135.47%:  don't have Vitamin C cookies in the
124.58%:  don't have Vitamin C cookies at
102.34%:  don't have Vitamin C cookies this
76.65%:  don't have Vitamin C cookies on
64.49%:  don't have Vitamin C cookies ready
54.30%:  don't have Vitamin C cookies already
53.23%:  don't have Vitamin C cookies here!
50.47%:  don't have Vitamin C in
48.95%:  don't have Vitamin C cookies yet!
47.75%:  don't have Vitamin C!
46.11%:  don't have Vitamin C today
42.27%:  don't have Vitamin C cookies in stock
40.33%:  don't have Vitamin C in cookies
38.04%:  don't have Vitamin C cookies and
35.34%:  don't have Vitamin C cookies handy
32.18%:  don't have Vitamin C cookies so
29.92%:  don't have Vitamin C in the
28.82%:  don't have Vitamin C cookies either
26.83%:  don't have Vitamin C aller
26.22%:  don't have Vitamin C cookies this year
25.87%:  don't have Vitamin C either
25.50%:  don't have Vitamin C at
25.02%:  don't have Vitamin C cookies any
24.14%:  don't like cookies and never
23.60%:  don't have any cookies either
23.46%:  don't have any more
56.36%:  don't have any more cookies
34.92%:  don't have any more ideas
23.32%:  don't have any Vitamin C here!
22.93%:  don't think cookies and
22.89%:  don't really
22.72%:  don't have Vitamin C cookies in here
22.05%:  don't even
1514.63%:  don't even like cookies that
783.69%:  don't even like cookies!
159.63%:  don't even like cookies anymore
114.71%:  don't even like cookies and
87.09%:  don't even like cookies so
25.59%:  don't even like cookies as
23.70%:  don't even like cookies and this
22.66%:  don't even like cookies and this already
22.05%:  don't think cookies have any
145.18%:  don't think cookies have any calories
22.03%:  don't have Vitamin C cookies stored
21.89%:  don't have cookies in
31.72%:  don't have cookies in my kitchen
21.70%:  don't like them
