my understanding he died an infinitely rich man infinity years later
100.00%: 
64.07%:  called
5.63%:  my understanding that in real life he rent
5.63%:  my understanding that infinite families in
5.60%:  my understanding that he later died in 
5.55%:  my understanding that his life ended in inf
37.06%:  my understanding that his life ended in infinitely many car
31.69%:  my understanding that his life ended in infinitely many irre
16.63%:  my understanding that his life ended in infinitely many in
11.72%:  my understanding that his life ended in infinitely many year
8.44%:  my understanding that his life ended in infinitely many near
7.55%:  my understanding that his life ended in infinitely many cr
6.89%:  my understanding that his life ended in infinitely many nice
5.54%:  my understanding that infinitely many layers
5.53%:  my understanding that infinitely rich families in need
5.53%:  my understanding that his friend
5.53%:  my understanding that infinity married ladies
5.52%:  my understanding that infinity really is mind
5.51%:  my understanding that this really
5.49%:  my understanding that infinitely many ele
5.48%:  my understanding he did this infinite many
5.48%:  my understanding that the remainder
5.45%:  my understanding he had infinite infinite identical
5.43%:  my understanding that his life ended in a fier
17.43%:  my understanding that his life ended in a fiery train
9.73%:  my understanding that his life ended in a fiery car
5.43%:  my understanding that infinity is a hilar
5.42%:  my understanding he inherited
5.42%:  my understanding that infinity is really an inf
5.42%:  my understanding that in his final
5.41%:  my understanding he ended
5.41%:  my understanding that infinitely many years el
5.41%:  my understanding that his infinite dream
5.40%:  my understanding that in real life he named
5.39%:  my understanding that infinitely many chairs are needed in inf
5.38%:  my understanding that since then
5.37%:  my understanding that infinitely many insane children
5.37%:  my understanding that infinity came
5.37%:  my understanding that infinitely rich men did
5.36%:  my understanding that infinity is a mind
5.34%:  my understanding that infinity is really a hard
5.30%:  my understanding that infinity is nearly
5.30%:  my understanding that later in life he died in a manner
5.29%:  my understanding that infinitely many children need inf
5.28%:  my understanding that infinitely rich is indeed
18.77%:  my understanding that infinitely rich is indeed a real
5.27%:  my understanding that infinitely many hilar
5.24%:  my understanding he later died in a fire
5.23%:  my understanding that it
5.22%:  my understanding that infinity years
5.21%:  my understanding that infinity is really nice and if
5.20%:  my understanding that infinitely rich and friendly men
5.20%:  my understanding that infinity is really ind
5.19%:  my understanding that his infinite family re
5.19%:  my understanding that later in life he renamed
5.16%:  my understanding that in real life he made friends
5.14%:  my understanding that later in life he died in an insane
5.11%:  my understanding that infinitely many r
10.45%:  my understanding that infinitely many rides
5.11%:  my understanding that infinitely rich men die
5.10%:  my understanding he had infinite facilities
5.10%:  my understanding that his infinite life
5.10%:  my understanding that he made
60.40%:  my understanding that he made infinite
9.07%:  my understanding that he made infinite financial
5.08%:  my understanding he had infinite time and
5.07%:  my understanding he died in a
5.15%:  my understanding he died in a train
18.17%:  my understanding he died in a train crash in
5.05%:  my understanding that infinitely many chairs are in
5.04%:  my understanding that infinitely in
5.03%:  my understanding that he finally married
5.96%:  my understanding that he finally married in
7.10%:  my understanding that he finally married infinity
5.03%:  my understanding that his entire family died in financial
5.02%:  my understanding that in real life he died in an
17.58%:  my understanding that in real life he died in an infinite
8.55%:  my understanding that in real life he died in an insane
7.33%:  my understanding that in real life he died in an infinite car
5.01%:  my understanding that infinitely rarely
4.99%:  my understanding that later in life he fired
4.95%:  my understanding that he died recently
4.93%:  my understanding that infinite families didn
4.93%:  my understanding that infinity really is nice and
4.93%:  my understanding that infinity is real life and
4.92%:  my understanding that infinite families rarely
4.92%:  my understanding that his entire family line died in a fire in
4.91%:  my understanding that in this
4.91%:  my understanding he finished
4.90%:  my understanding that infinitely many ladies are
4.89%:  my understanding that infinity is really handy if
4.88%:  my understanding he called his
461.77%:  my understanding he called his infinite
55.05%:  my understanding he called his infinite infinite
4.85%:  my understanding that infinity machines
26.27%:  my understanding that infinity machines are really
4.84%:  my understanding that his name
4.84%:  my understanding he died in the
11.74%:  my understanding he died in the infinite
5.17%:  my understanding he died in the first
14.95%:  my understanding he died in the first infinite
4.84%:  my understanding that the financial
4.83%:  my understanding that life
4.83%:  my understanding that infinity is an irr
4.82%:  my understanding that infinity is real friendly
4.82%:  my understanding they
4.80%:  my understanding that infinitely many friends are
4.78%:  my understanding that infinitely many decades earlier
4.77%:  my understanding that his career
13.05%:  my understanding that his career in
133.87%:  my understanding that his career in infinite
4.82%:  my understanding that his career didn
4.76%:  my understanding that infinity is a really fine
4.76%:  my understanding that infinitely many fine
13.43%:  my understanding that infinitely many fine ladies
4.75%:  my understanding that infinite families had
4.74%:  my understanding that in this manner
4.72%:  my understanding that he married
4.71%:  my understanding that infinity can indeed fill
4.71%:  my understanding that infinity is merely an idea and
4.71%:  my understanding that infinitely many days
4.71%:  my understanding he finally
6.56%:  my understanding he finally died
7.87%:  my understanding he finally died in
6.49%:  my understanding he finally died in his
228.80%:  my understanding he finally died in his infinite
4.69%:  my understanding the infinite dinner
4.67%:  my understanding that infinitely rich men end
4.65%:  my understanding that infinitely rich ladies remained
