a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
    955 0.50%:  a last gasp in
    956 4.62%:  a last gasp in the face
    957 0.50%:  a message that if the
    958 0.50%:  a death gas
    959 0.50%:  the death sh
    960 0.49%:  a message that a
    961 0.49%:  the last thing that space
    962 0.49%:  the last thing that sp
    963 0.49%:  a planet that at this
    964 0.49%:  a cassette tape lying
    965 0.49%:  the last that isn
    966 0.49%:  the idea
    967 1.33%:  the idea that the
    968 0.49%:  a planet that has set
    969 0.49%:  a giant met
    970 0.49%:  faint
    971 0.49%:  a candle
    972 0.49%:  a date that changes
    973 0.65%:  a date that changes the
    974 0.49%:  a hand
    975 0.49%:  a planet that misses that
    976 0.49%:  the last date night
    977 0.49%:  a planet that states
    978 0.49%:  said that the man
    979 0.48%:  planet
    980 0.48%:  aesthetic
    981 0.48%:  in case the galaxy
    982 0.67%:  in case the galaxy has
    983 0.48%:  the flight
    984 0.48%:  a last sigh
    985 0.48%:  shaped
    986 0.48%:  night
    987 0.48%:  an attempt at life
    988 0.48%:  as if the planet has a death
    989 0.48%:  the last message an
    990 0.48%:  that single
    991 0.48%:  a planet that may die
    992 0.48%:  the message that last
    993 0.48%:  said that a planet that
    994 0.48%:  the date that is
    995 0.48%:  the last thing that made a
    996 0.48%:  the final message that say
    997 0.48%:  the last in the
    998 0.48%:  said that these last
    999 0.48%:  that again
   1000 0.48%:  a last dash
   1001 0.47%:  a need
   1002 0.47%:  the last gasp and
   1003 0.47%:  spent
   1004 0.47%:  the last sigh
   1005 0.47%:  a planet that came as
   1006 0.47%:  a dist
   1007 0.47%:  the last thing that may escape
   1008 0.47%:  the exact same as any
   1009 0.47%:  a planet that da
   1010 0.47%:  a message that explains a
   1011 0.47%:  the last they
   1012 0.96%:  the last they can
   1013 0.47%:  pl
   1014 0.47%:  in case the last
   1015 0.47%:  a death message.
   1016 0.47%:  a final death
   1017 0.47%:  the feeling that says
   1018 0.47%:  a message that al
   1019 0.46%:  changed
   1020 0.85%:  changed the
   1021 0.46%:  a final message that the
   1022 0.46%:  a giant last
   1023 0.46%:  said that any
   1024 0.83%:  said that any message
   1025 0.59%:  said that any message that
   1026 0.46%:  a damn
   1027 0.46%:  a ship that
   1028 0.46%:  the silence that says
   1029 0.46%:  a cassette tape in a galaxy
   1030 0.46%:  a message that pleads that if
   1031 0.46%:  that these
   1032 0.46%:  a signal that says that
   1033 0.46%:  as the
   1034 0.46%:  a final message that has
   1035 0.46%:  said that the planet gets
   1036 0.46%:  the last image that stays
   1037 0.46%:  a seemingly
   1038 0.45%:  a planet that dies as
   1039 0.45%:  a cassette tape and a
   1040 0.45%:  in the same place that
   1041 0.45%:  the last item
   1042 0.45%:  the last piece that
   1043 0.45%:  the last thing that escaped
   1044 0.45%:  the last gasp in the chest
   1045 0.45%:  a last stand attempt
   1046 0.45%:  a plea sent
   1047 0.45%:  the genetic
   1048 0.45%:  sealed in a spaces
   1049 0.45%:  a message that a planet
   1050 0.45%:  late in
   1051 3.84%:  late in the game
   1052 0.50%:  late in the game that
   1053 0.45%:  sad that the planets
   1054 0.45%:  the last dance that might
   1055 0.45%:  a last ditch attempts
   1056 0.45%:  in the same galaxy as that
   1057 0.44%:  as if the planet gets
   1058 0.44%:  said that the last act
   1059 0.44%:  the final message st
   1060 0.44%:  the final text
   1061 0.44%:  the last time that a
   1062 0.44%:  a life that ends
   1063 0.44%:  a sad
   1064 2.33%:  a sad thing
   1065 1.19%:  a sad thing that
   1066 0.44%:  the last date any
   1067 0.44%:  a planet that s
   1068 0.44%:  the species that sang that
   1069 0.44%:  a planet that says at
   1070 0.44%:  the sc
   1071 0.44%:  a need that
   1072 0.44%:  panic
   1073 0.44%:  said that at that
   1074 0.44%:  said that the fastest
   1075 0.44%:  a planet that is dest
   1076 0.44%:  passed
   1077 0.44%:  the last gasps
   1078 0.43%:  the last message.
   1079 0.43%:  late in the day
   1080 0.43%:  a high
   1081 0.43%:  heading
   1082 0.43%:  a planet that is death
   1083 0.43%:  the plat
   1084 0.43%:  the type that gets
   1085 0.43%:  the last thing that d
   1086 0.43%:  a dance that lasts as
   1087 0.43%:  a last ditch message that the
   1088 0.43%:  sad that in
   1089 0.43%:  a last gasp at the face
   1090 0.43%:  a planet that ate its face
   1091 0.42%:  nice that at the last
   1092 0.42%:  a message the al
   1093 0.42%:  said that as planets
   1094 0.42%:  sad that the planet
   1095 0.54%:  sad that the planet is
   1096 0.42%:  the exact same thing al
   1097 0.42%:  a message a
   1098 0.60%:  a message a planet
   1099 0.42%:  a fatalist
   1100 1.01%:  a fatalist statement
   1101 0.42%:  a planet that says as
   1102 0.42%:  the aesthetic
   1103 0.42%:  silence
   1104 0.66%:  silence that
   1105 0.42%:  its
   1106 2.38%:  its last attempt
   1107 0.42%:  the title
   1108 0.42%:  a life that says
   1109 0.42%:  a deep
   1110 0.42%:  the last thing that says a
   1111 0.42%:  the last this
   1112 0.42%:  the last thing that e
   1113 0.42%:  less
   1114 0.60%:  less a
   1115 0.42%:  at least the
   1116 0.42%:  the exact same as last
   1117 1.01%:  the exact same as last night
   1118 0.42%:  a pleasant
   1119 0.42%:  nice that a
   1120 0.42%:  the thing that says please
   1121 0.41%:  the things that made
   1122 0.41%:  the capital
   1123 0.41%:  the date the
   1124 0.41%:  a planet that the
   1125 0.41%:  late at
   1126 0.72%:  late at night as
   1127 0.45%:  late at night at
   1128 0.62%:  late at night at the space
   1129 0.41%:  the final test
   1130 0.41%:  miles
   1131 0.41%:  the death spasm that
   1132 0.41%:  the same idea as that
   1133 0.41%:  a cassette tape this
   1134 0.41%:  the last date in that
   1135 0.41%:  the same thing the last
   1136 0.41%:  a planet that has missed a
   1137 0.41%:  a landscape
   1138 0.41%:  a planet that has the time
   1139 0.41%:  as distant
   1140 0.55%:  as distant as the
   1141 0.41%:  a template
   1142 0.41%:  a final message that c
   1143 0.41%:  the sh
   1144 0.41%:  the last day that
   1145 0.56%:  the last day that the
   1146 0.41%:  a final message shaped
   1147 0.41%:  a message that is the
   1148 0.41%:  a planet that dies that
   1149 0.41%:  a message that finds
   1150 0.40%:  a species that has managed
   1151 0.40%:  the last taste
   1152 0.40%:  a planet that sees this
   1153 0.40%:  the final c
   1154 0.40%:  the exact same night
   1155 0.40%:  as simple a
   1156 0.40%:  a simple and
   1157 0.40%:  the animal that says
   1158 0.40%:  a date that gets
   1159 0.40%:  a met
   1160 0.40%:  the sadest
   1161 0.68%:  the sadest thing
   1162 0.40%:  the exact same thing that a
   1163 0.40%:  a gene
   1164 0.40%:  the same plea as that
   1165 0.40%:  a plea that is
   1166 0.40%:  the selfish
   1167 0.39%:  this last
   1168 0.39%:  the final days
   1169 0.39%:  the exact same things
   1170 0.55%:  the exact same things that
   1171 0.39%:  said that each
   1172 0.39%:  a planet that has its head
   1173 0.39%:  a planet that if
   1174 0.39%:  a place that had
   1175 0.39%:  a miss
   1176 0.39%:  the last day the
   1177 0.39%:  tempt
   1178 0.39%:  the fact
   1179 2.85%:  the fact that the
   1180 2.02%:  the fact that it
   1181 1.45%:  the fact that despite
   1182 1.34%:  the fact that this
   1183 0.69%:  the fact that this message
   1184 0.47%:  the fact that things
   1185 0.39%:  attempting the
   1186 0.39%:  that last time
   1187 0.39%:  the last thing a death
   1188 0.39%:  a planet that is a
   1189 0.39%:  the insect
   1190 0.39%:  please
   1191 0.38%:  a message that the last
   1192 0.38%:  a last gasp in the death
   1193 0.38%:  a fatal disease that means
   1194 0.38%:  a planet that had time
   1195 0.38%:  a line
   1196 0.38%:  that last.
   1197 0.38%:  the sad thing that
   1198 0.38%:  a play
   1199 0.38%:  an exist
   1200 0.38%:  a cassette tape that said
   1201 0.38%:  the message that say
   1202 0.38%:  the act
   1203 0.38%:  a plea that the
   1204 0.38%:  a last gasp at the hands
   1205 0.38%:  exactly as sad
   1206 7.42%:  exactly as sad as that
   1207 0.38%:  said that the galaxy has
   1208 0.38%:  nice that at least they had
   1209 0.38%:  the last thing the sea
   1210 0.38%:  that last and
   1211 0.38%:  as if a planet
   1212 0.38%:  the exact same as this
   1213 0.38%:  the last that dies
   1214 0.37%:  a planet that gets hit
   1215 0.37%:  the din
   1216 0.37%:  the deaths
   1217 0.37%:  the same thing as that last
   1218 0.37%:  the name
   1219 0.37%:  a last dance.
   1220 0.37%:  the last sad
   1221 0.83%:  the last sad thing
   1222 0.47%:  the last sad attempt
   1223 0.38%:  the last sad thing that
   1224 0.37%:  a plane
   1225 0.37%:  the physics
   1226 0.37%:  a message sc
   1227 0.37%:  a place that has seen
   1228 0.37%:  a message that the al
   1229 0.37%:  a message as
   1230 0.37%:  a message that explains that at
   1231 0.37%:  a planet that has its eyes
   1232 0.37%:  a planet that admits they
   1233 0.37%:  a species that last
   1234 0.37%:  the same thing as a
   1235 0.37%:  the distance that lets
   1236 0.37%:  a message that any
   1237 0.37%:  
   1238 0.37%:  the candle
   1239 0.37%:  a tape
   1240 0.44%:  a tape that
   1241 0.37%:  that planet
   1242 0.37%:  pat
   1243 4.31%:  pathetic.
   1244 3.43%:  pathetic and
   1245 0.74%:  pathetic that
   1246 0.58%:  pathetic that the
   1247 0.51%:  pathetic and yet
   1248 0.41%:  pathetic that a
   1249 0.40%:  pathetic that the galaxy
   1250 0.37%:  late in the date
   1251 0.48%:  late in the date that
   1252 0.36%:  the s
   1253 0.36%:  a planet that had the time
   1254 0.36%:  a message that death
   1255 0.36%:  the date in
   1256 0.36%:  my species
   1257 0.36%:  the last change made
   1258 0.36%:  a message that sadly
   1259 0.36%:  expecting that
   1260 0.36%:  the last change that
   1261 0.36%:  a sigh
   1262 0.57%:  a sigh that
   1263 0.36%:  that date
   1264 1.71%:  that date again.
   1265 0.64%:  that date again that
   1266 0.36%:  said that the galaxy has a
   1267 0.36%:  sadly
   1268 0.36%:  the next
   1269 0.36%:  selfish that
   1270 0.36%:  a planet that has desc
   1271 0.36%:  the last time that an
   1272 0.36%:  the last any
   1273 1.13%:  the last any species
   1274 0.36%:  the legend
   1275 0.35%:  a fatal disease that has
   1276 0.35%:  listened
   1277 0.35%:  a sent
   1278 0.35%:  empty
   1279 0.35%:  a plea against a
   1280 0.35%:  the last time each
   1281 0.35%:  a planet that dies at
   1282 0.35%:  the same as the last thing a
   1283 0.35%:  a planet that has the idea
   1284 0.35%:  the last the din
   1285 0.35%:  a planet that sits
   1286 0.35%:  the last tiny
   1287 0.64%:  the last tiny message
   1288 0.36%:  the last tiny message that
   1289 0.35%:  a testament that life
   1290 0.35%:  the planets that die
   1291 0.35%:  the latest and
   1292 0.35%:  a message that ins
   1293 0.35%:  an epic
   1294 0.35%:  a tale
   1295 0.35%:  a candle that
   1296 0.35%:  paying
   1297 0.69%:  paying the
   1298 0.35%:  a feeling
   1299 0.51%:  a feeling that
   1300 0.35%:  the last species that had
   1301 0.35%:  the last that exists
   1302 0.35%:  a mess
   1303 0.35%:  a final message that sp
   1304 0.35%:  the passing
   1305 0.35%:  helping
   1306 0.55%:  helping that
   1307 0.35%:  that last date
   1308 1.16%:  that last date night
   1309 0.35%:  pain
   1310 0.35%:  a gentle
   1311 0.34%:  exactly that.
   1312 0.34%:  assistance
   1313 0.34%:  an idea that seems
   1314 0.34%:  that last that
   1315 0.34%:  the same thing as space
   1316 0.34%:  the last thing the ap
   1317 0.34%:  a final message that sh
   1318 0.34%:  the pl
   1319 0.85%:  the plaint
   1320 0.34%:  the ele
   1321 0.68%:  the elephant
   1322 0.38%:  the elephant that
   1323 0.34%:  the lasting
   1324 0.34%:  the last game
   1325 0.34%:  the last act that says
   1326 0.34%:  cheap
   1327 0.34%:  the last act any
   1328 0.34%:  a last ditch gasp that
   1329 0.34%:  a plant
   1330 0.34%:  said that as the planets
   1331 0.34%:  played at
   1332 0.70%:  played at the
   1333 6.08%:  played at the highest
   1334 0.53%:  played at the height
   1335 0.46%:  played at the same
   1336 0.34%:  played at a
   1337 0.34%:  the last stage
   1338 0.49%:  the last stage in
   1339 0.33%:  the last attempt a
   1340 0.56%:  the last attempt a dying
   1341 0.33%:  a planet that sm
   1342 0.69%:  a planet that smashed
   1343 2.05%:  a planet that smashed its
   1344 1.20%:  a planet that smashed its face
   1345 0.41%:  a planet that smashed the
   1346 0.33%:  the last image that can
   1347 0.33%:  the last text
   1348 0.33%:  a fatal disease.
   1349 0.33%:  the last thing the st
   1350 0.33%:  the message that said
   1351 0.33%:  the signal that sets
   1352 0.33%:  assistance that
   1353 0.33%:  a distance
   1354 0.33%:  the type that can
   1355 0.33%:  as if a planet has
   1356 0.33%:  a planet that has the exact
