now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
    830 2.37%:  that means I'm not a great
    831 2.20%:  that means I'm not a painter now
    832 1.81%:  that means I'm not a painter in
    833 1.77%:  I'm not 
    834 1.77%:  I think I'm awesome for
    835 1.77%:  I think I'm gonna paint more often.
    836 1.77%:  I know it's not the one
    837 1.77%:  now I'm sharing
    838 1.76%:  he wasn
    839 1.76%:  then I forgot to
    840 1.76%:  that was from
    841 1.76%:  I got
    842 2.32%:  I got the
    843 2.24%:  I got that
    844 5.57%:  I got that from
    845 3.84%:  I got that from a stick
    846 1.76%:  I'm coming
    847 1.75%:  it was on the fr
    848 1.75%:  that was at
    849 1.75%:  it's not coming home
    850 1.75%:  I think I want to forget
    851 1.75%:  I think it's time to go for
    852 1.73%:  the artist
    853 1.72%:  now it's time to go paint
    854 1.72%:  I want to thank
    855 1.72%:  now I'm not so certain I
    856 1.72%:  there was a time
    857 1.72%:  I was ten
    858 1.71%:  I think it's time for me to go pe
    859 1.71%:  now it's time for me to eat a
    860 1.71%:  I think it's time for a nap again
    861 1.71%:  that one was a
    862 1.71%:  we're not speaking
    863 1.71%:  I'm not gonna mention that in case
    864 1.71%:  it's time for me to paint again now.
    865 1.70%:  I can't stop there
    866 1.70%:  that one time I got
    867 1.70%:  now I'm not certain
    868 1.82%:  now I'm not certain that
    869 1.70%:  I'm not certain I know the meaning
    870 1.69%:  I think it's time for me to pee again
    871 1.69%:  I'm not certain if it was a
    872 1.69%:  now I'm making the entire
    873 1.69%:  I think I'm more
    874 1.69%:  since that
    875 1.69%:  that was one time
    876 1.69%:  there it goes.
    877 1.68%:  that was after a
    878 1.68%:  he was facing to
    879 1.68%:  that was in front of an
    880 1.68%:  I can't promise that won
    881 1.68%:  that means I'm not a painter. I
    882 1.68%:  I think it's canon
    883 1.67%:  it's gonna take more than a few po
    884 1.67%:  I promise not to take
    885 1.67%:  I'm not wearing
    886 4.40%:  I'm not wearing pants.
    887 1.67%:  that means I can't paint for
    888 1.67%:  I think it's time for me to face an
    889 1.67%:  now that I mention it I'm gonna
    890 1.66%:  that's on
    891 1.66%:  now it's time to forget
    892 1.66%:  that's coming from a non
    893 1.66%:  I think it's time to renew
    894 1.66%:  I know that's not a perfect
    895 1.65%:  I want that
    896 1.65%:  I was making the conf
    897 1.65%:  I know that it
    898 1.64%:  it's time for conf
    899 1.64%:  that takes
    900 2.43%:  that takes care
    901 1.64%:  now it's time for me to take a nice nap
    902 1.64%:  I want to paint more
    903 1.63%:  it's gonna take me another
    904 2.23%:  it's gonna take me another fifteen
    905 1.63%:  I think I'm gonna stop now.
    906 1.63%:  he was in
    907 1.63%:  I'm gonna start
    908 1.63%:  I'm gonna keep that secret if
    909 1.62%:  there's no point in me making
    910 1.62%:  I want to change
    911 1.62%:  then I forgot to paint
    912 1.61%:  I'm gonna paint that one
    913 1.61%:  I think it's time for a time
    914 1.61%:  I want to paint more things
    915 1.61%:  I know it's not fair that
    916 1.61%:  I meant to write this on
    917 1.68%:  I meant to write this on a piece
    918 1.60%:  I think it's time for me go paint
    919 1.60%:  it was after the
    920 1.60%:  someone
    921 1.60%:  I forgot how
    922 1.59%:  I think it's time for a nice nap now.
    923 1.59%:  that isn
    924 1.59%:  now it's time to take
    925 1.59%:  that part
    926 3.00%:  that part was
    927 1.58%:  that's one more time
    928 1.58%:  I think it's not fair
    929 1.57%:  I know I'm the
    930 1.57%:  I'm not certain of
    931 2.55%:  I'm not certain of that
    932 1.57%:  there's no point in making new
    933 1.57%:  I'm making it
    934 1.92%:  I'm making it worse
    935 1.57%:  those
    936 2.43%:  those are two
    937 3.36%:  those are two conf
    938 1.57%:  I'm certain someone
    939 1.57%:  I forgot the paint
    940 1.57%:  I hate
    941 1.56%:  I forgot to paint him
    942 1.56%:  I promise not to make it
    943 2.47%:  I promise not to make it a thing
    944 1.56%:  that's not making it
    945 1.56%:  I know it's the
    946 1.56%:  I think I'm gonna paint soon
    947 1.56%:  since we
    948 1.76%:  since we're on
    949 1.55%:  I know that if
    950 1.55%:  the entire
    951 1.55%:  I'm gonna keep that secret in
    952 1.54%:  I know I'm gonna
    953 1.54%:  it's time for me to go in
    954 1.54%:  I think it's time I got off
    955 1.54%:  it's too
    956 1.54%:  I know that it's not
    957 1.54%:  I think it's time we get
    958 1.54%:  I'm not gonna mention where I keep
    959 1.54%:  I think it's gonna remain
    960 1.54%:  I think I want to paint again one of
    961 1.54%:  that's not a joke
    962 1.54%:  it's gonna take more time to
    963 1.53%:  it was in c
    964 1.53%:  it's time for me to pack
    965 1.53%:  now it's time for a conf
    966 1.53%:  I know it's not fair to him
    967 1.53%:  that was after I took
    968 1.52%:  I think it's time for me to win
    969 1.52%:  that's not at
    970 1.52%:  the entire time
    971 2.80%:  the entire time I was making
    972 1.52%:  I'm gonna keep it
    973 1.52%:  I think it's time for me to go nap a
    974 1.52%:  it was on the front of a giant
    975 1.51%:  I can't imagine how I
    976 1.51%:  I think it's time for me to go. I
    977 1.51%:  I'm not certain if that was an
    978 1.51%:  I think it's fair
    979 7.03%:  I think it's fair to mention
    980 1.51%:  now I'm sharing too
    981 1.51%:  I know that I
    982 3.54%:  I know that I'm not
    983 1.51%:  it's time to paint again.
    984 1.50%:  I think it's time for me to open a can
    985 1.50%:  that's not conf
    986 1.50%:  if someone
    987 1.49%:  I promise to get
    988 1.49%:  I'm gonna keep this
    989 2.50%:  I'm gonna keep this conf
    990 1.49%:  I'm not at
    991 1.48%:  I know that's not a fair
    992 1.48%:  I know the
    993 1.48%:  I'm not certain it was meant
    994 1.47%:  I meant to paint the
    995 1.47%:  I think it's time for me to pee now
    996 1.47%:  it was an
    997 1.47%:  that's now
    998 1.47%:  I think it's time for nap now
    999 1.47%:  it's not that I
   1000 1.47%:  it's time for me to get a
   1001 1.46%:  that time
   1002 1.46%:  that's it for conf
   1003 1.46%:  now it's time for me to face a
   1004 1.45%:  that was an intent
   1005 1.45%:  I'm not sharing
   1006 1.44%:  I think we can agree I
   1007 1.44%:  it makes
   1008 1.44%:  it was that
   1009 1.44%:  I forgot to make the
   1010 1.43%:  it's time for me to go take a nap in
   1011 1.43%:  if there
   1012 2.54%:  if there's one
   1013 1.60%:  if there's a point
   1014 1.43%:  I think it's time for a come
   1015 1.43%:  that's one time
   1016 1.43%:  I can't think
   1017 2.38%:  I can't think of a more
   1018 7.48%:  I can't think of a more awesome
   1019 2.33%:  I can't think of a worse
   1020 1.67%:  I can't think of a reason
   1021 1.43%:  that's it for met
   1022 1.43%:  that's gotta
   1023 1.43%:  I'm not certain that was an
   1024 1.42%:  it's time to change
   1025 1.42%:  if I were
   1026 1.42%:  that's part
   1027 1.42%:  now that I mention it again
   1028 1.42%:  there's an
   1029 1.42%:  I want to take
   1030 2.82%:  I want to take this
   1031 1.42%:  that means I'm not gonna
   1032 3.25%:  that means I'm not gonna paint
   1033 2.66%:  that means I'm not gonna win
   1034 1.42%:  I'm gonna keep that fact a
   1035 1.41%:  now it's time to make
   1036 1.41%:  it's not working
   1037 1.41%:  that's gonna come
   1038 1.41%:  that was a great
   1039 1.41%:  that's me after
   1040 1.41%:  it was the green
   1041 1.41%:  it might not
   1042 1.41%:  after this conf
   1043 1.41%:  I'm not certain the
   1044 1.41%:  I want to paint more often
   1045 1.40%:  it was after I
   1046 1.40%:  I think it's time I paint
   1047 1.40%:  I think it's time for me to peace
   1048 1.40%:  this conf
   1049 1.40%:  that was me coming
   1050 1.40%:  that one time in
   1051 1.40%:  that was after I ate
   1052 1.40%:  it was on the front of a piece
   1053 1.40%:  I'm gonna keep that one in
   1054 1.39%:  I think someone'
   1055 1.39%:  it's gonna take more than a one
   1056 1.39%:  that's an
   1057 1.39%:  that was one time too
   1058 1.39%:  it was of
   1059 1.39%:  I'm gonna paint another one as
   1060 1.39%:  the more
   1061 1.39%:  I forgot that one
   1062 1.48%:  I forgot that one time
   1063 1.38%:  that means I know
   1064 1.38%:  I forgot to paint its
   1065 1.38%:  now I think I'm gonna paint a
   1066 1.38%:  I know it's not the point
   1067 1.38%:  I know I'm the reason
   1068 1.38%:  I'm not certain it was paint
   1069 1.37%:  it's gonna take more than a fifteen
   1070 1.37%:  I think I want to paint again if
   1071 1.37%:  it's time for me to hit
   1072 1.37%:  I think I forgot to paint in
   1073 1.37%:  I was not
   1074 1.37%:  I think I'm writing
   1075 1.36%:  I think it's time for me to again
   1076 1.36%:  now it's time for me to keep
   1077 1.36%:  that was on
   1078 1.36%:  I want to keep
   1079 2.27%:  I want to keep things
   1080 1.59%:  I want to keep this
   1081 1.36%:  now I'm certain that it
   1082 1.36%:  that I'm not
   1083 1.35%:  that scene
   1084 1.35%:  there's no point in wanting
   1085 1.35%:  I'm not gonna take
   1086 4.47%:  I'm not gonna take that
   1087 1.55%:  I'm not gonna take this
   1088 1.35%:  there's no point in taking me
   1089 1.35%:  I think I'm gonna paint it on
   1090 1.35%:  I'm gonna write
   1091 1.67%:  I'm gonna write this
   1092 1.64%:  I'm gonna write that in
   1093 1.46%:  I'm gonna write that on
   1094 1.35%:  I think it's time for a new game
   1095 1.35%:  I think I'm gonna mention
   1096 1.35%:  now it's time for me to paint again. I
   1097 1.35%:  I'm certain that it
   1098 1.34%:  there I'
   1099 1.34%:  the reason I'm making
   1100 1.34%:  I promise I won't mention it if he
   1101 1.34%:  I think it's time for me to po
   1102 1.34%:  I can see
   1103 1.34%:  I'm gonna keep that as
   1104 1.34%:  I'm certain that I know
   1105 1.33%:  I know it's not gonna matter
   1106 1.33%:  that secret
   1107 1.33%:  it's time for me to go pick
   1108 1.33%:  that's for
   1109 1.33%:  that was an entire
   1110 3.42%:  that was an entire conf
   1111 1.33%:  that was one time I forgot
   1112 1.33%:  I'm gonna keep that one secret to
   1113 1.33%:  I'm not taking
   1114 3.03%:  I'm not taking this
   1115 2.58%:  I'm not taking that
   1116 1.33%:  there's no time to go
   1117 1.33%:  that was it for me.
   1118 1.32%:  that's not meant
   1119 1.32%:  I know it's not great
   1120 1.32%:  I think it's time to go now
   1121 1.32%:  I think it's time I get
   1122 1.32%:  I know it's a
   1123 1.32%:  I want to forget
   1124 1.32%:  I'm not certain that knowing
   1125 1.32%:  that was after I got
   1126 1.32%:  I'm the
   1127 2.05%:  I'm the one
   1128 1.31%:  I think I want to paint again for
   1129 1.31%:  if that's not an
   1130 1.31%:  that's more of
   1131 1.31%:  I think it's perfect
   1132 1.31%:  I'm not certain that means
   1133 1.31%:  now that conf
   1134 1.30%:  I spent the entire time in
   1135 1.30%:  that was after I'
   1136 1.30%:  not
   1137 1.30%:  I meant that as
   1138 4.85%:  I meant that as a joke
   1139 1.30%:  I want to keep that
   1140 1.30%:  I'm aware
   1141 8.10%:  I'm aware that makes
   1142 2.67%:  I'm aware that I
   1143 1.30%:  his
   1144 1.29%:  I think I want to paint again more
   1145 1.29%:  I want to make
   1146 1.54%:  I want to make that
   1147 1.29%:  I know it's not a conf
   1148 1.29%:  that was more conf
   1149 1.29%:  I think it's time for me to nap.
   1150 1.29%:  now I'm certain that if
   1151 1.29%:  those two
   1152 1.29%:  I promise I won't make that a
   1153 1.28%:  I think it's time for a nap to
   1154 1.28%:  that's not to
   1155 1.28%:  I'm coming to
   1156 1.28%:  now I'm sitting
   1157 1.37%:  now I'm sitting here in
   1158 1.28%:  it's coming
   1159 1.28%:  I think it's time to power
   1160 1.28%:  I hate to
   1161 1.28%:  I know I'm not gonna
   1162 3.82%:  I know I'm not gonna paint
   1163 1.35%:  I know I'm not gonna paint that
   1164 1.28%:  it's time to face
   1165 1.28%:  I think it's time I went on
   1166 1.27%:  I promise not to make that a
   1167 1.27%:  I know nothing
   1168 1.27%:  I think we're at
   1169 1.27%:  that makes me certain
   1170 1.27%:  I think I wrote
   1171 1.27%:  I'm not gonna mention that scene
   1172 1.27%:  now I can
   1173 1.26%:  I know that's not an
   1174 1.26%:  if that isn
   1175 2.17%:  if that isn't proof
   1176 1.26%:  we're not gonna mention this in
   1177 1.26%:  it's time for me to paint one
   1178 1.26%:  I'm not certain that is
   1179 1.26%:  the reason I conf
   1180 1.26%:  I promise I won't mention that in an
   1181 1.26%:  there's a giant
   1182 1.26%:  it's gonna take more than a p
   1183 1.25%:  I think it was more of an
   1184 1.25%:  then again
   1185 1.24%:  I think I can paint
   1186 1.24%:  I'm not certain of the
   1187 1.24%:  it's time to go to
   1188 1.24%:  it's time for a
   1189 3.51%:  it's time for a nap
   1190 1.24%:  I knew
   1191 2.98%:  I knew that
   1192 1.24%:  I know I'm not the one
   1193 1.24%:  I know it's not a perfect
   1194 1.24%:  that makes me not
