because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
    617 1270.56%:  because sometimes I worry everything's gone
    618 1270.20%:  because sometimes it feels like I'm only imag
    619 1270.18%:  because sometimes I feel really
    620 1262.13%:  because sometimes I imagine my life working this
    621 1259.12%:  because sometimes I like to feel my
    622 1238.52%:  because sometimes I like to imagine girls
    623 1237.36%:  because sometimes I imagine myself only the
    624 1233.73%:  because sometimes I like to worry
    625 1812.09%:  because sometimes I like to worry myself
    626 1232.65%:  because sometimes I really wish for
    627 1230.78%:  because sometimes I worry my moves
    628 4994.10%:  because sometimes I worry my moves aren
    629 1226.88%:  because sometimes I feel like trying
    630 1226.77%:  because sometimes I like to say
    631 1223.48%:  because sometimes I imagine myself lying
    632 1921.34%:  because sometimes I imagine myself lying to
    633 1219.49%:  because sometimes I like to imagine worrying
    634 1217.24%:  because sometimes when I talk
    635 1205.33%:  because sometimes I imagine writing my life
    636 1205.32%:  because sometimes it feels like I'm only having
    637 1204.26%:  because sometimes I imagine my life to
    638 1203.02%:  because sometimes I imagine things more like
    639 1202.97%:  because sometimes when I look
    640 7056.54%:  because sometimes when I look at myself
    641 1904.68%:  because sometimes when I look at my
    642 6098.23%:  because sometimes when I look at my life
    643 1202.22%:  because sometimes I imagine every
    644 1199.78%:  because sometimes I like to imagine forking
    645 1191.60%:  because I was going
    646 8235.73%:  because I was going to tell
    647 54935.41%:  because I was going to tell everyone
    648 9410.25%:  because I was going to tell him
    649 4627.42%:  because I was going to write
    650 1391.34%:  because I was going to tell everyone we
    651 4927.55%:  because I was going to tell everyone we'
    652 1353.24%:  because I was going to try
    653 1227.65%:  because I was going to write my
    654 1189.20%:  because sometimes I like to imagine life in
    655 1186.70%:  because I'm not even
    656 1186.42%:  because sometimes I like to imagine hor
    657 1180.72%:  because sometimes I feel like only
    658 1175.17%:  because I was thinking it's so
    659 1171.80%:  because sometimes I like to imagine my self
    660 2324.14%:  because sometimes I like to imagine my self in
    661 1169.51%:  because sometimes I worry things won
    662 1167.69%:  because sometimes I imagine it's like following
    663 1166.99%:  because sometimes I feel like worrying
    664 1165.95%:  because sometimes I imagine my own life to
    665 1164.75%:  because sometimes I like to imagine myself hiking
    666 1162.06%:  because sometimes I feel like losing my
    667 1161.46%:  because I was going to tell her
    668 1157.01%:  because sometimes when I'm travelling
    669 1150.31%:  because sometimes I worry everything's fake
    670 1140.57%:  because sometimes I like to really
    671 1139.80%:  because sometimes I feel like it was
    672 1138.92%:  because sometimes I like to imagine myself in 
    673 1134.49%:  because sometimes I worry my own
    674 1132.95%:  because sometimes there
    675 1131.11%:  because sometimes I like to imagine myself in glory
    676 1130.09%:  because sometimes I imagine it's like when
    677 1128.64%:  because sometimes I feel like giving in
    678 1127.79%:  because sometimes I like to imagine how if
    679 3178.28%:  because sometimes I like to imagine how if we
    680 1120.85%:  because sometimes I feel like with
    681 1118.56%:  because sometimes I imagine things work more
    682 1344.19%:  because sometimes I imagine things work more like
    683 1117.20%:  because sometimes I worry everything is rig
    684 1115.23%:  because sometimes I really like things
    685 1114.68%:  because sometimes when I look at myself in
    686 1114.17%:  because sometimes I like imagining it
    687 2887.09%:  because sometimes I like imagining it'
    688 1658.92%:  because sometimes I like imagining it's more
    689 1113.29%:  because sometimes I like to imagine killing my
    690 1111.45%:  because sometimes I like to imagine myself in w
    691 1110.76%:  because sometimes I feel like writing a song
    692 1108.79%:  because sometimes I worry what
    693 1104.42%:  because sometimes I worry there isn
    694 1104.10%:  because sometimes I imagine there's fr
    695 1102.97%:  because I was going somewhere
    696 2022.61%:  because I was going somewhere else
    697 1101.22%:  because sometimes I worry everything works like
    698 1100.98%:  because sometimes I worry nothing ever makes
    699 1100.44%:  because sometimes I imagine where
    700 1098.51%:  because sometimes it feels like I'm gonna go
    701 1096.54%:  because sometimes I like to imagine myself in gl
    702 1152.69%:  because sometimes I like to imagine myself in glor
    703 1095.93%:  because it seems
    704 16042.04%:  because it seems like something
    705 18726.05%:  because it seems like something really
    706 7132.19%:  because it seems like something more
    707 3643.30%:  because it seems like the
    708 3461.33%:  because it seems like something way
    709 5453.16%:  because it seems like something way more work
    710 3308.38%:  because it seems like there
    711 48456.69%:  because it seems like there's a million
    712 3276.41%:  because it seems like someone
    713 3051.85%:  because it seems like something we
    714 3037.43%:  because it seems like there's only
    715 2872.53%:  because it seems like something I
    716 4562.90%:  because it seems like something I really
    717 2297.13%:  because it seems like everything
    718 4834.63%:  because it seems like everything I
    719 20708.78%:  because it seems like everything I'm saying
    720 4131.42%:  because it seems like everything I know
    721 3513.75%:  because it seems like everything is
    722 14379.13%:  because it seems like everything is falling
    723 3447.17%:  because it seems like everything'
    724 11091.92%:  because it seems like everything's falling
    725 3399.50%:  because it seems like everything is working
    726 3380.43%:  because it seems like everything's working
    727 3218.18%:  because it seems like everything in
    728 2032.44%:  because it seems like something of
    729 1746.66%:  because it seems like there's room
    730 1649.89%:  because it seems like the only
    731 4125.72%:  because it seems like the only reason
    732 1571.97%:  because it seems like nothing
    733 1562.82%:  because it seems like everything's way
    734 1521.54%:  because it seems like this
    735 1386.41%:  because it seems like there was
    736 1369.27%:  because it seems like something I've
    737 1340.07%:  because it seems like the only reason for
    738 1253.53%:  because it seems like something I'm
    739 1894.96%:  because it seems like something I'm failing
    740 1618.62%:  because it seems like something I'm leaving
    741 1508.80%:  because it seems like something I'm willing
    742 1234.78%:  because it seems like there's no
    743 1221.05%:  because it seems like everything I'm working
    744 4950.73%:  because it seems like everything I'm working for
    745 1186.30%:  because it seems like something of mine
    746 1160.26%:  because it seems like it
    747 3719.70%:  because it seems like it's way
    748 52533.61%:  because it seems like it's way more work
    749 9517.12%:  because it seems like it's way more likely
    750 4790.87%:  because it seems like it's way more work for
    751 3302.32%:  because it seems like it's way more likely for
    752 3081.10%:  because it seems like it's way more likely for him
    753 1711.76%:  because it seems like it's way more work in
    754 6276.66%:  because it seems like it's way more work in my
    755 1299.14%:  because it seems like it's way more likely if
    756 1136.37%:  because it seems like there's no way for
    757 1095.23%:  because sometimes I worry reality
    758 1088.94%:  because sometimes when I'm imag
    759 1087.65%:  because sometimes I like to imagine myself wr
    760 1087.60%:  because sometimes I imagine myself with only
    761 1086.51%:  because sometimes I worry everything's rig
    762 1085.88%:  because sometimes I worry the feelings
    763 1085.43%:  because sometimes I like to imagine evil
    764 1081.10%:  because sometimes I like things
    765 1080.72%:  because sometimes I have to work
    766 1080.63%:  because sometimes I worry we
    767 99240.58%:  because sometimes I worry we're not having
