FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
0.26%:  MORE REASONS THAN I CAN EASILY CO
0.26%:  "C
0.50%:  "CHESS RE
0.32%:  "CHESS LE
0.26%:  FOR REASONS I CANNOT Y
0.26%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "EAT
0.26%:  FOR A REASON I CANNOT D
0.26%:  FOR CHESS T
0.26%:  SOME REASON TH
1.50%:  SOME REASON THERE ARE
0.62%:  SOME REASON THERE ARE NO
0.42%:  SOME REASON THERE ARE SO
0.30%:  SOME REASON THERE IS
0.26%:  "CHESS D
0.26%:  O
0.26%:  FOR A W
0.26%:  FOR SOME REASON I ALSO
0.26%:  FOR SOME REASON I NEED A HORSE AT
0.26%:  MORE REASONS THAN I CAN I
0.26%:  FOR A REASON I CANNOT Y
0.26%:  FOR SOME REASON I CON
0.26%:  FOR SOME REASON NOB
0.25%:  FOR SOME REASON HORSES D
0.25%:  FOR A REAL
0.25%:  OLD
0.51%:  OLD TIMES SA
0.25%:  REASONS I CANNOT DESCRIBE R
0.25%:  L
0.25%:  FOR SOME REASON ALREADY TH
0.25%:  FOR SOME REASON THERE IS NOW
0.25%:  SOME HORSE RELATED REASONS A
0.25%:  CHERR
0.25%:  REASONS I CANNOT S
0.25%:  FOR HORSE AD
0.25%:  FOR SOME REASON INDE
0.25%:  MORE REASONS WHY I
0.25%:  FOR REAL REASONS TOD
0.25%:  REAL REASONS I S
0.25%:  FOR SOME REASON I NOW W
0.25%:  FOR SOME REASON I CAN ONLY DESCRIBE AS HE
0.25%:  ANOTHER RO
0.25%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "A W
0.25%:  FOR HORSE RELATED A
0.25%:  FOR CHESS REAL
0.25%:  MORAL REASONS AND
0.38%:  MORAL REASONS AND OTHER
0.25%:  ANYONE WHO CAN
0.25%:  FOR SOME REASON THERE WAS AN
0.25%:  FOR SOME CON
0.25%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "AT
0.25%:  ANSW
0.25%:  REAL REASONS I CANNOT DIS
0.25%:  FOR SOME REASON I NEED TO LEA
0.24%:  FOR HORSE RIDES
0.24%:  FOR SOME REASON IT WON
0.24%:  FOR REAL REASONS AND ST
0.24%:  REAL REASONS THIS ONE
0.24%:  FOR SOME REASON THOSE W
0.24%: FOR RE
0.24%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A H
0.24%:  FOR LE
0.70%:  FOR LESSONS IN
0.52%:  FOR LESSONS ON
0.30%:  FOR LESSONS ON HO
0.24%:  FOR MORE REASONS THAN I WO
0.24%:  FOR SOME REASON WHERE I CAN
0.24%:  FOR SOME HORSEY REASONS I
0.24%:  D
0.24%:  FOR SOME REASON INSIDE THE
0.24%:  REASONS I CANNOT SHARE Y
0.24%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WHE
0.24%:  FOR MORE REASONS THAN WE
0.24%:  FOR ANY REASON REALIST
0.24%:  A HORSE RELATED CON
0.24%:  OTHER REASONS AS
0.24%:  REAL H
1.64%:  REAL HORSE C
1.14%:  REAL HORSE RE
0.24%:  OTHER REASONS OF
0.24%:  FOR SOME REASON REL
0.24%:  FOR MORE REASONS THAN I CAN EASILY A
0.24%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WHAT A
0.24%:  SOME C
0.51%:  SOME CHESS RE
0.24%:  MORAL REASONS IN
0.24%:  A HORSE RELATED REASON OF CO
0.24%:  FOR SOME WE
3.15%:  FOR SOME WEIRD REASON I
1.72%:  FOR SOME WEIRD REASON I CAN
0.94%:  FOR SOME WEIRD REASONS
0.61%:  FOR SOME WEIRD REASON I CANNOT
0.39%:  FOR SOME WEIRD REASON NO
0.38%:  FOR SOME WEIRD REASON I NE
0.31%:  FOR SOME WEIRD REASON I TH
0.29%:  FOR SOME WEIRD REASON THIS
0.27%:  FOR SOME WEIRD REASON THE
0.25%:  FOR SOME WEIRD REASON NOT
0.24%:  FOR SOME WEIRD REASON WH
0.24%:  SOME REAL RE
1.08%:  SOME REAL REASONS
0.24%:  FOR SOME REASON OR THE
0.24%:  FOR REASONS BE
0.81%:  FOR REASONS BEYOND THE
0.42%:  FOR REASONS BEYOND THE RE
0.40%:  FOR REASONS BEYOND THE S
0.23%:  ERRORS IN
0.23%:  FOR ANSW
0.23%:  SOME CON
0.23%:  HORSE RELATED I
0.23%:  FOR ANYONE
0.23%:  FOR SOME REASON I CANNOT D
0.23%:  FOR MORE REASONS THAN I CAN CLE
0.23%:  FOR HORSES OR
0.23%:  FOR HORSEY RE
0.23%:  FOR MAN
0.23%:  REAL REASONS IN
0.23%:  FOR SOME REASON ONLY HE
0.32%:  FOR SOME REASON ONLY HE CAN
0.23%:  "CHESS DAYS
0.23%:  SOME IN
0.23%:  FOR SOME HORSES I
0.23%:  REASONS I AM
0.23%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "EAT
0.23%:  SOME REASON THERE ARE C
0.23%:  FOR SOME REASON I CO
0.23%:  A HORSE RELATED REASON I AM
0.23%:  REASONS AND
0.23%:  FOR CH
0.23%:  ONE
0.23%:  FOR SOME AS
0.23%:  FOR A REASON I CANNOT S
0.23%:  FOR ANY REASON I CO
0.23%: SOME REASON I CAN
0.23%:  SOME REASON I W
0.23%:  FOR CHESS S
0.23%:  CHAR
0.23%:  FOR A R
0.23%:  A REASON I CANNOT D
0.23%:  FOR REASONS I AM
0.23%:  FOR SOME REASON THIS WEE
0.23%:  ST
0.23%:  FOR MORAL REASONS ON
0.23%:  SOME REASON W
0.23%:  FOR A REASON I AM
0.23%:  A REASON I CANNOT RE
0.23%:  A REASON WH
0.23%:  SOME HORSE RELATED REASONS I CAN NO
0.23%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "HA
0.23%:  REASONS OF THE
0.22%:  FOR SOME REASON I DE
0.22%:  A HORSE AND
0.22%:  HORSES RE
0.22%:  A HORSE TO
0.22%:  FOR HORSE REASONS AND
0.22%:  FOR A CON
0.22%:  SOME REASON NOT
0.22%:  FOR SOME REASONS I D
0.22%:  FOR REAL REASONS WHAT
0.22%:  FOR SOME REASON NOT RE
0.22%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "THE A
0.22%:  FOR SOME REASON ALREADY H
0.22%:  A HORSE RELATED REASON I ASS
0.22%:  HORSE AND
0.22%:  FOR SOME REASON I WAS TH
0.22%:  MORE IN
0.22%:  MORAL REASONS I CAN
0.22%:  MORAL REASONS WH
0.22%:  FOR SOME REASON I CAN ONLY DESCRIBE THE
0.22%:  FOR SOME HORSE REASON I
0.35%:  FOR SOME HORSE REASON I CAN
0.22%:  FOR SOME REASON I CANNOT DESCRIBE E
0.22%:  REASONS I CANNOT DESCRIBE Y
0.22%:  REAL REASONS TH
0.30%:  REAL REASONS THERE
0.22%:  A REASON I D
0.22%:  FOR SOME REASON O
0.22%:  FOR SOME RES
0.22%:  FOR SOME REASON THERE WAS NO
0.22%:  FOR SOME REASON I SA
0.22%:  FOR REAL REASONS INDE
0.22%:  FOR MORE REASONS WH
0.22%:  BAS
0.22%:  FOR ANY REASON I CAN RE
0.22%:  MORE CHESS REFER
0.21%:  A REAL
0.21%:  FOR SOME REASONS WH
0.21%:  SOME HORSE RELATED REASONS O
0.21%:  LESSONS FROM
0.21%:  IDE
0.21%:  SOME REASON I CAN FE
0.34%:  SOME REASON I CAN FEEL THE
0.21%:  FOR SOME REASON REASONS I D
0.21%:  ERAS
0.21%:  REASONS I CANNOT DISC
0.21%:  FOR SOME REASON I C
0.21%:  FOR NOW
0.21%:  FOR SOME WEIRD REASON THIS CON
0.21%:  FOR SOME REASON I NEED TO C
0.24%:  FOR SOME REASON I NEED TO CHESS
0.21%:  ONE RE
0.38%:  ONE REASON OR THE
0.26%:  ONE REASON OR OTHER
0.21%:  FOR MY HORSE AND
0.21%:  FOR BE
0.21%:  SOME HORSE RAC
0.21%:  LESSONS IN H
0.21%:  REASONS I W
0.21%:  FOR SOME REASON A H
1.07%:  FOR SOME REASON A HORSE IS
0.35%:  FOR SOME REASON A HORSE W
0.35%:  FOR SOME REASON A HORSE CAN
0.28%:  FOR SOME REASON A HORSE WANT
0.25%:  FOR SOME REASON A HORSE NE
0.23%:  FOR SOME REASON A HORSE AND
0.21%:  FOR HORSES ON
0.21%:  SOME REASON I FEEL A STR
0.21%:  FOR HORSE COM
0.21%:  ANOTHER REASON I
0.22%:  ANOTHER REASON I CAN
0.21%:  A HORSE CON
0.21%:  FOR SOME REASON BEYOND THE REAS
0.21%:  FOR SOME REASON THREE
0.21%:  FOR SOME REASON ONLY H
0.21%:  FOR SOME REASON BEYOND THE S
0.21%:  FOR SOME REASON I NEED TO L
0.21%:  ANY REASON I CAN F
0.21%:  ABS
0.21%:  FOR SOME REASON I NEED TO B
0.21%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "AWE
0.21%:  FOR MORE REASONS THAN I CAN SA
0.21%:  FOR HORSE REASONS I CAN
0.22%:  FOR HORSE REASONS I CANNOT
0.21%:  FOR SOME REASON THE RE
0.75%:  FOR SOME REASON THE REASONS
0.63%:  FOR SOME REASON THE REASON IS
0.46%:  FOR SOME REASON THE REASON I
0.48%:  FOR SOME REASON THE REASON I CAN
0.38%:  FOR SOME REASON THE REASON IS BE
0.25%:  FOR SOME REASON THE REASON IS BECA
0.21%:  FOR SOME REASON I CANNOT DESCRIBE A
0.21%:  FOR MORE REASONS THAN I CAN EASILY C
0.21%:  FOR SOME REASON HORSES CAN T
0.21%:  FOR SOMEONE ELSE W
0.31%:  FOR SOMEONE ELSE WHO CAN
0.22%:  FOR SOMEONE ELSE WHO IS
0.21%:  HORSE W
0.21%:  REASONS BE
0.65%:  REASONS BEYOND THE
0.30%:  REASONS BEYOND THE RE
0.21%:  ERRAND
0.21%:  REASONS OTHER
0.21%:  FOR SOME REASON CON
0.21%:  SOME HORSE RELATED REASON IN
0.21%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "A HE
0.21%:  REAL HORSES ARE
0.21%:  SOME HORSE CO
0.20%:  FOR SOME REASON THERE IS AN
0.20%:  A HORSE C
0.20%:  FOR SOME REASON WORD
0.20%:  FOR SOME HORSE CO
0.20%:  MORAL CON
0.20%:  FOR SOME REASON AN
0.20%:  FOR SOME REASON WOR
1.72%:  FOR SOME REASON WORSE THAN C
1.47%:  FOR SOME REASON WORSE THAN I
1.64%:  FOR SOME REASON WORSE THAN I CAN
0.59%:  FOR SOME REASON WORSE THAN I CAN DES
0.30%:  FOR SOME REASON WORSE THAN BE
0.21%:  FOR SOME REASON WORSE THAN A
0.21%:  FOR SOME REASON WORSE THAN E
0.20%:  FOR SOME REASON THAN
0.20%:  FOR REALS THIS
0.20%:  REASONS I DARE NOT S
0.20%:  FOR A HORSE RELATED I
0.20%:  FOR MORAL REASONS WH
0.20%:  REALIST
0.20%:  FOR REASONS I CAN NO
0.20%:  ANYONE WHO W
0.20%:  FOR REASONS OR
0.20%:  FOR SOME REASON I CANNOT SE
0.20%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A TH
0.20%:  HORSE FE
0.20%:  FOR SOME REASON I NEED A HORSE B
0.20%:  SOME HORSE RELATED B
0.20%:  FOR OTHER
0.20%:  FOR REASONS BEYOND THE REAL
0.20%:  FOR REASONS I CANNOT COM
0.20%:  A SE
0.78%:  A SECRET ME
0.71%:  A SECRET RE
0.60%:  A SECRET MESS
0.41%:  A SECOND
0.38%:  A SECRET MI
0.38%:  A SECRET MISSION OF
0.21%:  A SESSION
0.20%:  FOR ANYONE WHO CAN
0.20%:  A FE
0.20%:  AN IN
0.20%:  FOR SOME REASON ALREADY T
0.20%:  FOR SOME REASON ANY
0.20%:  REAL HORSE R
0.20%:  FOR A REASON I AM NOT S
0.20%:  FOR SOME REASON I CAN ONLY RE
0.20%:  SOMEONE ELSE TO WIN
0.20%:  MORE CON
0.20%:  FOR SOME REASON WE
0.20%:  FOR SOME WEIRD REASON IT
0.20%:  FOR COM
0.20%:  FOR SOME HORSE RAC
0.19%:  MORE REASONS THAN I CAN F
0.19%:  REASONS I CANNOT SHARE R
0.19%:  AW
0.88%:  AWESOME REASONS I
3.02%:  AWESOME REASONS I CANNOT
2.71%:  AWESOME REASONS I CANNOT DIS
1.07%:  AWESOME REASONS I CANNOT SH
0.42%:  AWESOME REASONS I CANNOT D
0.37%:  AWESOME REASONS I CANNOT DES
0.39%:  AWESOME REASONS I CANNOT DESCRIBE H
0.35%:  AWESOME REASONS I CANNOT RE
0.35%:  AWESOME REASONS IN
0.35%:  AWESOME REASONS I CANNOT DESCRIBE R
0.30%:  AWESOME REASONS WH
0.29%:  AWESOME REASONS I CANNOT SHARE R
0.25%:  AWESOME REASONS OF
0.23%:  AWESOME REASONS I CANNOT DESCRIBE Y
0.22%:  AWESOME REASONS I CANNOT SHARE Y
0.21%:  AWESOME C
0.58%:  AWESOME CHESS RE
0.26%:  AWESOME CHESS B
0.19%:  FOR SOME REASON INST
0.19%:  FOR SOCIAL REASONS AND ST
0.19%:  FOR NO REAL
1.25%:  FOR NO REAL REASON AT
0.71%:  FOR NO REAL REASON WH
0.27%:  FOR NO REAL REASON I
0.25%:  FOR NO REAL REASON I CAN
0.19%:  FOR HORSE REASONS IN
0.19%:  FOR SOME REASON AS
0.19%:  FOR REAL REASONS I CANNOT DIS
0.19%:  HORSE RELATED REASONS O
0.19%:  FOR MORAL REASONS I
0.22%:  FOR MORAL REASONS I CAN
0.19%:  SECRET REASONS OF
0.19%:  FOR SOME REASON I ALWAYS SE
0.19%: REAL RE
0.23%: REAL REASONS THIS
0.19%:  FOR SOME REASON REASONS WH
0.19%:  COMFORT AND
0.19%:  FOR SOME REASON I CANNOT SH
0.19%:  FOR SOME REASON I CANNOT RES
0.19%:  FOR SOME REASON C
0.25%:  FOR SOME REASON CHESS RE
0.19%:  REASONS COM
0.19%:  FOR SOME REASON WAY
0.23%:  FOR SOME REASON WAYS TO WIN
0.19%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "AH
0.19%:  FOR SOCIAL REASONS IN
0.19%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WHAT"
0.19%:  FOR CHESS REASONS AL
0.19%:  REASONS I DARE NOT SH
0.19%:  FOR MANLY
0.19%:  HORSE T
0.31%:  HORSE TRE
0.19%:  FOR SOME REASON TODAY IS A
0.19%:  FOR CHESS DATE
0.19%:  FOR SOME REASON I NOW CAN
0.19%:  A SECRET MISSION FOR
0.19%:  FOR SECRET H
1.03%:  FOR SECRET HORSE B
0.73%:  FOR SECRET HORSE ME
0.19%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A "TH
0.19%:  FOR SOME REASON I SAID "
0.19%:  MORE REASONS THAN I CAN EASILY D
0.19%:  AWESOME H
0.62%:  AWESOME HORSE C
0.59%:  AWESOME HORSES
0.58%:  AWESOME HORSE AD
0.57%:  AWESOME HORSE RE
0.41%:  AWESOME HORSE ACTION
0.26%:  AWESOME HORSE S
0.21%:  AWESOME HORSE R
0.20%:  AWESOME HORSE RAC
0.19%:  RELEASE
0.19%:  AWESOME HORSEY
0.19%:  MORAL REASONS AND WH
0.28%:  MORAL REASONS AND WHATE
0.19%:  AWESOME CON
0.19%:  A HORSE RAC
0.19%:  FOR MORE REASONS THAN I CAN DISC
0.19%:  REASONS I CAN NOT
0.19%:  FOR SOME REASON IN THIS
0.19%:  REAL REASONS NOT
0.19%:  SOME HORSE RELATED REASONS I W
0.19%:  FOR SOME HORSE AD
0.19%:  HORSE RELATED REASONS SO
0.18%:  FOR HORSE AND
0.18%:  BASIC RE
0.18%:  SOME REASON WHAT
0.18%:  REASONS I AM NOT READ
0.18%: REASONS I
0.64%: REASONS I CANNOT DIS
0.18%:  FOR SOME REASON HO
0.18%:  FOR MORE REASONS THAN I CAN AL
0.18%:  A HORSE RELATED A
0.18%:  FOR REASONS I DARE
0.18%:  FOR HORSE RACES AND
0.18%:  FOR LESSONS ON C
0.18%:  AWESOME HORSE RID
0.18%:  FOR REASONS I CANNOT SHARE Y
0.18%:  AWESOME HORSE RIDES
0.18%:  FOR SECRET HORSE S
0.18%:  MORE CHESS STR
0.18%:  FOR SOME REASON THERE ISN
0.18%:  FOR A WEE
0.18%:  HORSE RELATED REASONS I AM
0.18%:  FOR SOME REASON I NEED HORSE SAL
0.18%:  NE
0.18%:  FOR SOME S
0.42%:  FOR SOME STRAN
0.18%:  FOR SOME "
0.18%:  REAL REASONS TOD
0.18%:  REASONS I CANNOT COM
0.18%:  FOR SOME REASON THEY C
0.18%:  FOR SOME REASON I NEED A HORSE T
0.18%:  FOR SOME REASON THIS DO
0.18%:  FOR MORE REASONS THAN I CAN SE
0.18%:  DE
0.18%:  FOR SOME REASON I NEED HORSE ST
0.18%:  FOR MORE CHESS LE
0.18%:  FOR SOME REASON WHAT I CAN
0.18%:  A HORSE OF
0.18%:  FOR SOCIAL REASONS OR WH
0.18%:  OTHER REASONS OR
0.18%:  FOR REALS RE
0.22%:  FOR REALS REASONS THIS
0.18%:  FOR A REASON I W
0.18%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WHAT W
0.18%:  AH
0.18%:  FOR SOME HORSE SENSE
0.18%:  FOR SOME REASON THIS WAS RE
0.18%:  SOME REASON NOW I RE
0.18%:  FOR SOME REASON I CAN ONLY TH
0.18%:  SOME REASON I NEED TO SE
0.18%:  FOR CHESS OR SO
0.18%:  FOR SOME REASON HORSES AL
0.18%:  FOR SOME REASON I CANT
0.18%:  FOR SOME REASON IT DO
0.18%:  SOME REASON I CANNOT AR
0.18%:  SOME REASON I CAN FEEL IT
0.18%:  RANDOM REASONS OR
0.18%:  FOR MORE REASONS THAN I CAN EASILY AD
0.18%:  MORE REASONS THAN E
0.18%:  FOR SOME REASON I NEED A HORSE C
0.18%:  "CHESS AND
0.17%:  MAT
0.17%:  FOR OTHER REASONS AL
0.17%:  MORE REASONS TO BE CONF
0.17%:  SOME REASON WHY
0.17%:  FOR ANY REASON I CAN D
0.17%:  FOR SOME REASON I WO
0.17%:  FOR SOME REASON INSERT
0.17%:  FOR SOME REASON B
0.17%:  CO
0.17%:  CHESS OR
0.17%:  "REAL
0.17%:  FOR SOME HORSE RELATED B
0.17%:  CHESS DATE N
0.17%:  FOR SOME REASON ONE
0.17%:  FOR SOME REASON WORSE THAN I DES
0.17%:  SOME REASON THEY ARE
0.17%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A W
0.17%:  FOR A HORSE N
0.27%:  FOR A HORSE NAMED C
0.23%:  FOR A HORSE NAMED STE
0.23%:  FOR A HORSE NAMED "C
0.17%:  SOME REASON I NEED H
1.17%:  SOME REASON I NEED HORSES FOR
0.32%:  SOME REASON I NEED HORSES FOR C
0.26%:  SOME REASON I NEED HORSE C
0.17%:  FOR SOME REAL REASON I CANNOT
0.17%:  REASONS I DARE NOT RE
0.17%:  FOR MORE REASONS THAN CAN BE SA
0.17%:  SOME HORSE SENSE
0.17%:  FOR SOME REASON THE REASON I D
0.17%:  CHEESE AND
0.17%:  ANY OTHER
1.44%:  ANY OTHER REASONS
1.33%:  ANY OTHER REASON RE
0.24%:  ANY OTHER REASON I
0.19%:  ANY OTHER REASON I CAN CO
0.17%:  FOR REASONS BEYOND RE
0.17%:  HORSE A
0.17%:  W
0.17%:  A W
0.17%:  REAL REASONS AND
0.17%:  REASONS AL
0.34%:  REASONS ALREADY IN
0.26%:  REASONS ALREADY FOR
0.17%:  FOR MORE REASONS THAN I CAN EASILY E
0.17%:  SOME REASON I FEEL RE
0.17%:  SECRET ME
0.17%:  FOR LO
0.17%:  FOR MY N
0.17%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WHAT"
0.17%:  OTHER REASONS FOR
0.17%:  SECRET REASONS OR
0.17%:  OTHER REASONS ALREADY IN
0.17%:  REASONS I CAN NO
0.17%:  FOR SOME REASON NOT R
0.17%:  OTHER REASONS A
0.17%:  FOR HORSE W
0.17%:  REASONS I CANNOT F
0.17%:  FOR SOME WEIRD REASON I W
0.17%: FOR SO
0.87%: FOR SOME REASONS
0.61%: FOR SOME REASON I
0.47%: FOR SOME REASON I CAN
0.22%: FOR SOME REASON I D
0.21%: FOR SOME REASON I CANNOT
0.17%:  FOR REAL C
0.30%:  FOR REAL CHESS RE
0.17%:  THE
0.17%:  CR
0.17%:  FOR HORSES AND ST
0.17%:  CHESS INFORM
0.17%:  MORE CHESS S
0.17%:  OTHER REASONS INDE
0.17%:  REASONS I WON
0.17%:  FOR ANY REASON I CAN T
0.17%:  FOR NO REAL REASON ACT
0.17%:  REASONS ALSO
0.16%:  SOME REASON I CANNOT F
0.16%:  FOR SOME REASON I NEED TO BE A
0.16%:  FOR SOME REASON THERE A
0.16%:  FOR A HORSE C
0.16%: FOR REAL
0.16%:  ERRORS IN MY
0.16%:  HORSE RELATED A
0.16%:  FOR SECRET REASONS AND
0.16%:  SOME REASON I NEED TO BE
0.16%:  NO
0.40%:  NO REASON AT
0.32%:  NO REASON WH
0.16%:  FOR REAL REASONS IN THIS
0.16%:  MED
0.51%:  MEDICAL REASONS OR
0.41%:  MEDICAL REASONS ON
0.35%:  MEDICAL REASONS IN
0.26%:  MEDICAL REASONS WH
0.22%:  MEDICAL REASONS I
0.16%:  FOR REASONS I CAN NOT
0.16%:  FOR SOME REASON I SAID THE
0.16%:  FOR ANOT
0.39%:  FOR ANOTHER REASON AL
0.21%:  FOR ANOTHER REASON ALSO
0.16%:  FOR MORAL REASONS AND
0.16%:  SOME REASON RE
0.16%:  FOR REASONS WHY
0.19%:  FOR REASONS WHY I CAN
0.16%:  FOR SECRET HORSE D
0.16%:  FOR NO REAL REASON WHIC
0.16%:  SOME HORSES AND
0.16%:  FOR A L
0.16%:  HORSES TO
0.16%:  MORE CHESS TRA
0.16%:  FOR REASONS NOT
0.16%:  FOR HORSE REASONS AND ST
0.16%:  MORE REASONS THAN BE
0.19%:  MORE REASONS THAN BECA
0.16%:  FOR SOME REASON THIS WAS A RE
0.16%:  FOR SOME REASON I NEED TO HE
0.34%:  FOR SOME REASON I NEED TO HEAR A
0.16%:  FOR SOME WEIRD REASON AL
0.17%:  FOR SOME WEIRD REASON ALONE
0.16%:  CHESS R
1.20%:  CHESS RELATED REASONS I
1.27%:  CHESS RELATED REASONS I CAN
0.71%:  CHESS RELATED REASONS IN
0.42%:  CHESS RELATED REASONS OR
0.40%:  CHESS RELATED REASONS ON
0.25%:  CHESS RELATED REASONS OF
0.19%:  CHESS RELATED M
0.19%:  CHESS RELATED REASONS A
0.16%:  SOME REASON IT SE
0.16%:  FOR SOME WEIRD REASON IN
0.16%:  FOR SOME REASON THEY ARE ON
0.16%:  FOR SOME REASON THIS IS AN
0.16%:  CHESS AD
0.16%:  "CHESS IN
0.16%:  FOR SOME HORSE ST
0.16%:  FOR NO REASON I CAN DES
0.16%:  FOR MORE REASONS THAN I CAN B
0.16%:  REC
0.46%:  RECORDS
0.16%:  ERASERS
0.16%:  FOR HORSE TIME
0.16%:  REFER
0.16%:  FOR SOME HORSE REASONS IN
0.16%:  FOR SOCIAL REASONS I CANNOT D
0.16%:  SOME HORSE F
0.16%:  REASONS TO
0.16%:  SECRET H
2.23%:  SECRET HORSE RE
0.97%:  SECRET HORSE B
0.42%:  SECRET HORSE ME
0.16%:  MEDICAL REASONS OR WH
0.16%:  FOR SOME REASON I NEED TO CH
0.16%:  SECON
0.16%:  FOR HORSE M
0.16%:  FOR SOME SER
0.16%:  FOR SOME REASON I CANNOT E
0.16%:  FOR SOME REASON HORSE S
0.16%:  CONFI
0.16%:  FOR SOME REASON IT H
0.59%:  FOR SOME REASON IT HAS BEEN
0.18%:  FOR SOME REASON IT HASN
0.16%:  FOR SOME REASON I NEED TO SAY HI
0.16%:  SOME HORSE ACTIONS
0.16%:  FOR OTHER REASONS I
0.16%:  FOR LESSONS OR
0.16%:  SOME HORSE RELATED REASONS OB
0.16%:  MORE REASONS THAN I CAN A
0.16%:  FOR SOME REASON WHY I D
0.16%:  SOCIAL REASONS ON
0.16%:  FOR HORSE RELATED NE
0.16%:  A HORSE REFER
0.16%:  FOR SOME REASON IT WASN
0.16%:  FOR SOME REASON HORSES IN
0.16%:  SOME RES
0.16%:  FOR L
0.16%:  AWESOME S
0.16%:  FOR SOME REASON AT
0.16%:  LESSONS ON THE
0.16%:  FOR SOME REASON WHAT I D
0.16%:  FOR I
0.17%:  FOR IDE
0.16%:  FOR SOME REASON CAN
0.15%:  FOR A HORSE I
0.15%:  FOR SOME REASON I NEED TO BRE
0.15%:  REASONS TO BE
0.15%:  FOR HORSE RELATED CON
0.15%:  FOR SOME REASON DO
0.15%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A "W
0.15%:  A HORSES
0.15%:  FOR SOME REASON HORSES LI
0.15%:  REASONS BEYOND THE REAL
0.28%:  REASONS BEYOND THE REALM OF RE
0.15%:  FOR MORE REASONS WHIC
0.15%:  FOR SOME REASON DIN
0.15%:  ERRORS AND
0.15%:  A REASON I CANNOT DESCRIBE Y
0.15%:  HORSE RIDES
0.15%:  REASONS ALREADY ST
0.15%:  FOR MY O
0.20%:  FOR MY OLD
0.15%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "T
0.15%:  CA
0.15%:  REALS RE
0.15%:  FOR A HORSE CON
0.15%:  FOR CHAR
0.15%:  FOR SOME REASON WILD
0.40%:  FOR SOME REASON WILD HORSES CAN
0.15%:  FOR SECRET HORSES
0.15%:  FOR SOME REASON THE REAL
0.15%:  SOME AS
0.15%:  FOR A SN
0.15%:  FOR SOME REASONS I CANNOT SH
0.15%:  FOR SOME REASON I CAN ONLY DESCRIBE TH
0.15%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "ET
0.15%:  FOR SOME REASON I NEED A HORSE ST
0.15%:  SOME HORSE ST
0.15%:  FOR SOME REASON I NEED HORSES A
0.15%:  SOME REASON WHY I CAN
0.15%:  SOME HORSE RELATED REASONS NO
0.15%:  FOR ANOTHER REASON W
0.15%:  FOR SOCIAL REASONS AND OTHER
0.15%:  COMFORT REASONS ON
0.15%:  HORSE RELATED REASONS OF MY
0.15%:  FOR MORE REASONS THAN WE CAN CO
0.15%:  REASONS FOR
0.15%:  AN A
0.15%:  FOR REAL HORSE B
0.15%:  FOR SOME REASON THEY ARE CAL
0.15%:  CHESS REAL
0.15%:  FOR MORE REASONS TO
0.15%:  A HORSE RID
0.15%:  REASONS ALREADY BE
0.15%:  SOME HORSE RELATED REASONS ABO
0.15%:  CHR
0.15%:  FOR HORSE ST
0.15%:  FOR REAL HORSEY
0.15%:  FOR WHAT
0.15%:  FOR REASONS I DARE NOT S
0.15%:  FOR SOCIAL REASONS I CANNOT DES
0.15%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "AT
0.15%:  FOR SOME REASON THIS IS A RE
0.16%:  FOR SOME REASON THIS IS A REAL CON
0.15%:  SOME OTHER REASON I
0.15%:  SOME OTHER REASON I CAN
0.15%:  FOR CHESS R
2.11%:  FOR CHESS RELATED REASONS I
1.47%:  FOR CHESS RELATED REASONS I CAN
1.24%:  FOR CHESS RELATED REASONS ON
1.23%:  FOR CHESS RELATED REASONS IN
0.33%:  FOR CHESS RELATED REASONS A
0.25%:  FOR CHESS RELATED REASONS O
0.21%:  FOR CHESS RELATED REASONS OB
0.20%:  FOR CHESS RELATED REASONS I AM
0.17%:  FOR CHESS RELATED M
0.15%:  CHESS REASONS OR
0.15%:  FOR REASONS I AM NOT S
0.15%:  CHEESE S
0.15%:  FOR REASONS AND
0.15%:  FOR REASONS I W
0.15%:  SOME HORSE A
0.15%:  SOME REASON AL
0.15%:  FOR SOME REASON WHEN I SA
0.15%:  A SN
0.15%:  OTHER REASONS SO
0.15%:  FOR D
0.15%:  FOR AN A
