got like a thousand REALLY GOOD REASONS for doing that
100.00%: 
1.31%:  got the
0.00%:  got A REASON for the
0.00%:  got A REASON for not
0.00%:  got A REASON to do
0.00%:  got A REALL
0.02%:  got A REALLY GOOD RE
0.00%:  got A REALLY GOOD S
0.00%:  got A REASONS
0.00%:  got A REASON for talking
0.00%:  got A REASON for taking
0.00%:  got gl
0.00%:  got GOOD REASONS for n
0.00%:  got REALLY GOOD at
0.00%:  got REALLY GOOD at hiding
0.00%:  got GOOD REASONS and
0.00%:  got a REALLY legit
0.00%:  REALLY tried to look
0.00%:  gotten S
0.00%:  got a real thing
0.00%:  got the LAY
0.00%:  got the LAYERS of
0.00%:  got a half
0.00%:  got DES
0.00%:  got NAR
0.00%:  got REALLY GOOD hiding
0.00%:  got a REALLY DAN
0.00%:  got a GOOD thing
0.00%:  got it real
0.00%:  got a lot of GO
0.00%:  got naked ON
0.00%:  got naked ONLY
0.00%:  got a freak
0.00%:  got to find like
0.00%:  got a REALLY GOOD REASON to go naked if
0.00%:  got hot
0.00%:  got tail
0.00%:  got a REALLY rad
0.00%:  got REALLY old
0.00%:  got a REALLY GOOD AR
0.00%:  got like a to
0.00%:  got LEAR
0.00%:  got kind of the
0.00%:  not got
0.00%:  got a REALLY GOOD REASON on
0.00%:  REALLY looked at
0.00%:  got a fold
0.00%:  got a giant fl
0.00%:  gotten REALLY GOOD A
0.00%:  got a REALLY GOOD line
0.00%:  got a god
0.00%:  ALSO got SO
0.00%:  got a lot of REAL
0.00%:  got REALLY GOOD AR
0.00%:  ONLY taken
0.00%:  failed
0.00%:  got the DE
0.00%:  got REALLY GOOD REASONS for dating
0.00%:  got reg
0.00%:  got length
0.00%:  got a REALLY GOOD REASON for d
0.00%:  got LAYERS to
0.00%:  got a REALLY great fl
0.00%:  GONE
0.00%:  got a thing for ALL
0.00%:  ALREADY gone that
0.00%:  LE
0.01%:  LEARNED that
0.01%:  LEARNED to get
0.00%:  LEARNED SO
0.00%:  LEARNED to fake
0.00%:  LEARNED that if
0.00%:  LEARNED the
0.00%:  LEARNED to hide
0.00%:  LEARNED to do
0.00%:  LEARNED not
0.00%:  LEARNED not to do
0.00%:  LEARNED to do it
0.00%:  LEARNED to take
0.00%:  LEARNED to find
0.00%:  LEARNED a
0.00%:  LEARNED a lot of
0.00%:  LEARNED that going
0.00%:  got YEARS of data
0.00%:  LEARNED to look
0.00%:  got REALLY GOOD REASONS for doing it a
0.00%:  t
0.00%:  got a friend to
0.00%:  got on tr
0.00%:  got the REALL
0.00%:  got the REALLY good
0.00%:  gotten REALLY A
0.00%:  got a REALLY GOOD one
0.00%:  got a lot of REALLY GOOD AN
0.00%:  ALREADY told a
0.00%:  got lot of
0.00%:  got a third leg
0.00%:  ALREADY told SO
0.00%:  got at LE
0.00%:  got one t
0.00%:  got a good life
0.00%:  got YEARS of n
0.00%:  got a lot of REALLY O
0.00%:  got like a fr
0.00%:  gotta like
0.00%:  REALLY got a lot of naked
0.00%:  got SENSE
0.00%:  gotten D
0.00%:  got REASONS for taking a
0.00%:  got a lot on
0.00%:  gotta GO
0.00%:  ALREADY looked for
0.00%:  got DOR
0.00%:  got naked S
0.00%:  got to hold SO
0.00%:  ALSO gotten good
0.00%:  got REASONS and
0.00%:  ALREADY taken it
0.00%:  ALREADY forget
0.00%:  got the DRO
0.00%:  ALREADY dealt
0.00%:  got REALLY hot
0.00%:  ONLY got like
0.00%:  got a g
0.00%:  got SNO
0.00%:  got a REALLY GOD
0.00%:  got a LONG S
0.00%:  got AN A
0.00%:  got ton
0.00%:  got a REALLY GOOD tail
0.00%:  got the GOOD N
0.00%:  got LEGEND
0.00%:  got LEAD
0.00%:  got food
0.00%:  LEARNED to like
0.00%:  got a REALLY GOOD SER
0.00%:  gotta go naked
0.00%:  got like a giant
0.00%:  REALLY got into
0.00%:  got REAL good
0.00%:  got a thing for like
0.00%:  got a lot of hiding
0.00%:  kinda got to
0.00%:  got a REALLY good hat
0.00%:  got a foot
0.00%:  got GREY t
0.00%:  got a REALLY GOOD fold
0.00%:  got a REALLY GOOD diet
0.00%:  got den
0.00%:  got grand
0.00%:  got go
0.00%:  got ankle
0.00%:  got a hole
0.00%:  got a REALLY GOOD fake
0.00%:  got hang
0.00%:  got diet
0.00%:  got a REALLY GOOD hiding
0.00%:  ALSO gotten a
0.00%:  got a REALLY GOOD SO
0.00%:  got REALLY GOOD E
0.00%:  REALLY had
0.00%:  gotten rid of SO
0.00%:  got a lot of naked ALL
0.00%:  ALSO not
0.00%:  got to DO
0.00%:  got to DO SO
0.00%:  LEARNED to fold
0.00%:  got thin
0.00%:  got a REASON for it and
0.00%:  got REALLY DAN
0.00%:  got to find ALL
0.00%:  got a REALLY GOOD SAR
0.00%:  got LAYERS right
0.00%:  got ANY
0.00%:  ALREADY got like 
0.00%:  got the SAR
0.00%:  got a lot of REALLY GOOD h
0.00%:  had to go
0.00%:  got kind of a light
0.00%:  got a kn
0.00%:  got REALLY GOOD REASONS for a
0.00%:  done that ONE
0.00%:  got fro
0.00%:  got REALLY GOOD REASON for doing it
0.00%:  got a lot of REALLY GRO
0.00%:  got REASONS for dating
0.00%:  dit
0.00%:  got a lot of REALLY R
0.00%:  got REAL GO
0.00%:  got REAL GOOD RE
0.52%:  got REAL GOOD REASONS for doing
0.38%:  got REAL GOOD REASONS for doing it
0.09%:  got REAL GOOD REASONS for not
0.04%:  got REAL GOOD REASONS to
0.03%:  got REAL GOOD REASONS for it
0.02%:  got REAL GOOD REASONS for taking
0.02%:  got REAL GOOD REASONS for talking
0.02%:  got REAL GOOD REASONS for doing the
0.01%:  got REAL GOOD REASONS for naked
0.01%:  got REAL GOOD REASONS for the
0.01%:  got REAL GOOD REASONS to do
0.00%:  got REAL GOOD REASONS not
0.00%:  got REAL GOOD REASONS for hiding
0.00%:  got REAL GOOD REASONS for holding
0.00%:  got REAL GOOD REASONS for it and
0.00%:  got REAL GOOD REASONS for lik
0.01%:  got REAL GOOD REASONS for liking to
0.01%:  got REAL GOOD REASONS for liking the
0.00%:  got REAL GOOD REASONS to go
0.00%:  got flat
0.00%:  got DAR
0.00%:  got DARN GO
0.00%:  ALREADY talked it
0.00%:  got naked to
0.00%:  got a REAL GO
0.01%:  got a REAL GOOD RE
0.36%:  got a REAL GOOD REASON for doing
0.34%:  got a REAL GOOD REASON for doing it
0.07%:  got a REAL GOOD REASON for it
0.07%:  got a REAL GOOD REASON for not
0.03%:  got a REAL GOOD REASON to
0.01%:  got a REAL GOOD REASON for talking
0.01%:  got a REAL GOOD REASON for taking
0.01%:  got a REAL GOOD REASON to do
0.01%:  got a REAL GOOD REASON for the
0.01%:  got a REAL GOOD REASON for naked
0.00%:  got a REAL GOOD REASON for doing the
0.00%:  got a REAL GOOD REASON for it and
0.00%:  got a REAL GOOD REASON not
0.00%:  got a REAL GOOD REASON for holding
0.00%:  got a REAL GOOD REASON to go
0.00%:  got a REAL GOOD REASON right
0.00%:  got it if
0.00%:  got it on GO
0.00%:  got a thing for S
0.00%:  left ALL
0.00%:  got a REALLY GOOD front
0.00%:  got to go naked if
0.00%:  got a REALLY GOOD REASON to hide
0.00%:  got great f
0.00%:  gotten REALLY GOOD S
0.00%:  got YEARS and
0.00%:  got like E
0.00%:  got far
0.00%:  got the E
0.00%:  got a leg
0.00%:  got REALLY GOOD REASONS for heading to
0.00%:  ALL
0.00%:  ALREADY let
0.00%:  had it
0.00%:  got REALLY GOD
0.00%:  got a REALLY GOOD look
0.00%:  got REALLY GOOD REASONS for holding it
0.00%:  got the Y
0.00%:  got the YEAR
0.00%:  REALLY left
0.00%:  got like ONE O
0.00%:  got a REALLY GOOD EAS
0.00%:  got to end
0.00%:  got LONG tr
0.00%:  got ONLY AS
0.00%:  got ORG
0.00%:  got ORGANS to
0.00%:  REALLY got too
0.00%:  got GOALS for
0.00%:  REALLY done
0.00%:  REALLY done that
0.00%:  got a SO
0.00%:  got a REALLY GOOD REASON like
0.00%:  got to hand
0.00%:  tried n
0.00%:  gotten REALLY GOOD for
0.00%:  got the GAR
0.00%:  gotten REALLY SOR
0.00%:  got a LAR
0.00%:  got LAYERS of naked
0.00%:  got a REALLY REASON for
0.00%:  ALSO got no
0.00%:  got a REALLY SENS
0.00%:  ALREADY lied too
0.00%:  gotten REALLY O
0.00%:  got to re
0.00%:  got a REALLY GOOD ON
0.00%:  ALSO got a friend
0.00%:  got DANGERS of naked
0.00%:  got a REALLY GOOD SENS
0.00%:  got good tail
0.00%:  ALREADY got a thing for
0.00%:  ALREADY had to take
0.00%:  got the SOLAR
0.00%:  got AG
0.00%:  ALSO gone for
0.00%:  got to S
0.00%:  got REALLY GOOD life
0.00%:  got to go hide
0.00%:  got the DRES
0.00%:  got a REALLY GOOD REASON for to
0.00%:  got like a thousand of
0.00%:  got a REALLY old t
0.00%:  ALSO got a giant
0.00%:  got a naked flight
0.00%:  ALREADY forg
0.00%:  got the DEAL
0.00%:  got YEARS of taking
0.00%:  ALREADY LO
0.00%:  got large
0.00%:  got it kinda
0.00%:  R
0.01%:  RARELY gone
0.01%:  RARELY done
0.00%:  RARELY gone that
0.00%:  RARELY gotten
0.00%:  RARELY left
0.00%:  RARELY done it
0.00%:  RARELY felt
0.00%:  RARELY looked
0.00%:  RARELY looked that
0.00%:  RARELY tried
0.00%:  REALLY talked
0.00%:  got like ONE thing of
0.00%:  got NE
0.00%:  got ONE of
0.00%:  got like a ton
0.00%:  got YEARS AND
0.00%:  got ONE thing of
0.00%:  ALREADY got naked to
0.00%:  REALLY not
0.00%:  REALLY D
0.00%:  REALLY DONE that
0.00%:  REALLY DONE it
0.00%:  REALLY DONE it like
0.00%:  got EN
0.00%:  A
0.00%:  got naked AN
0.00%:  got like A
0.00%:  told it
0.00%:  got a thing A
0.00%:  got a REALLY fine
0.00%:  got a REALLY hot naked
0.00%:  got REALLY RE
0.00%:  got REALLY REAS
0.00%:  got AN O
0.00%:  got a REASON for E
0.00%:  got AND
0.00%:  got A REASON for naked
0.00%:  got REALLY GOOD REASONS for do
0.00%:  got ONLY SE
0.00%:  got REALLY GOOD R
0.00%:  ALSO got like 
0.00%:  got talk
0.00%:  got a REALLY GOOD A
0.00%:  got a REALLY GOOD REASON for not like
0.00%:  got REAL GOOD REASONS for doing a
0.00%:  got ONLY A L
0.00%:  got a REALLY GROSS thing for
0.00%:  got REALLY good tail
0.00%:  got a SER
0.00%:  got a dog to
0.00%:  got REALLY DO
0.00%:  got AN OLD
0.00%:  hit
0.00%:  got a REASON to go
0.00%:  got fond
0.00%:  got a REALLY hot friend
0.00%:  got GAS
0.00%:  got REASONS for n
0.00%:  got a lot of REALLY SAD
0.00%:  got ALL the fl
0.00%:  got A S
0.00%:  done it a lot
0.00%:  got a REALLY GOOD RA
0.00%:  the
0.00%:  got del
0.00%:  got LAYERS ON L
0.00%:  gotten REALLY R
0.00%:  gotten REALLY RAD
0.00%:  ALREADY got ONE thing
0.00%:  got the LAYER
0.00%:  got REAL GOOD REASONS for eating
0.00%:  got DRAGONS riding
0.00%:  ton
0.00%:  ALSO got naked flight
0.00%:  got EARLY
0.00%:  got ONLY SL
0.00%:  got GODS
0.00%:  a
0.00%:  got a thing for l
0.00%:  got a REALLY GOOD REASON to for
0.00%:  ALREADY got half
0.00%:  got fed
0.00%:  got to LO
0.00%:  got fighter
0.00%:  got it ON GO
0.00%:  got the DANGERS of doing
0.00%:  got a REAL GOOD REASON for lik
0.00%:  got a REAL GOOD REASON for liking the
0.00%:  ALREADY tried looking at
0.00%:  got a REALLY GOOD REASON to go n
0.00%:  ALSO got n
0.00%:  got ONLY the f
0.00%:  got REL
0.00%:  got LEADERS of
0.00%:  got trail
0.00%:  got LEGAL RE
0.06%:  got LEGAL REASONS for doing
0.05%:  got LEGAL REASONS for not
0.02%:  got LEGAL REASONS for it
0.02%:  got LEGAL REASONS to
0.00%:  got LEGAL REASONS for talking
0.00%:  got LEGAL REASONS for the
0.00%:  got LEGAL REASONS not
0.00%:  got LEGAL REASONS for taking
0.00%:  got LEGAL REASONS to do
0.00%:  got LEGAL REASONS for hiding
0.00%:  got LEGAL REASONS for naked
0.00%:  got LEGAL REASONS for doing the
0.00%:  tried on
0.00%:  got the GOOD old
0.00%:  read
0.00%:  ALREADY got a naked
0.00%:  got OLD S
0.00%:  got LOADS of old
0.00%:  got to RE
0.00%:  got to REALL
0.00%:  ALREADY looked for that
0.00%:  got a REALLY GOOD REASON for it and like
0.00%:  got DOG
0.00%:  got a kind of light
0.00%:  got her
0.00%:  ALREADY got a great look
0.00%:  got REAL life
0.00%:  got a REALLY GOOD REASON for doing it a thousand
0.00%:  got A REASONS for doing
0.00%:  got like a th
0.00%:  ALSO gotten rid
0.00%:  got REALLY GROSS naked
0.00%:  got REAL RE
0.10%:  got REAL REASONS for doing
0.11%:  got REAL REASONS for doing it
0.02%:  got REAL REASONS for it
0.01%:  got REAL REASONS to
0.01%:  got REAL REASONS for not
0.01%:  got REAL REASONS for taking
0.00%:  got REAL REASONS for talking
0.00%:  got REAL REASONS for naked
0.00%:  got REAL REASONS for the
0.00%:  got REAL REASONS to do
0.00%:  got REAL REASONS for doing the
0.00%:  got REALLY AN
0.00%:  got gar
0.00%:  got GOOD REASONS to like
0.00%:  ALREADY tried to go
0.00%:  kind of AL
0.00%:  got LESS to
0.00%:  got a REALLY GOR
0.00%:  ALSO got giant
0.00%:  REALLY got to go and
0.00%:  got GOALS to
0.00%:  got a lot of den
0.00%:  got a REALLY GOOD REASON for liking a
0.00%:  got the LAYERS on
0.00%:  got a lot of dark
0.00%:  got a gl
0.00%:  REALLY liked it
0.00%:  ONLY got naked for
0.00%:  LEARNED it
0.00%:  got a GOOD REASON for it and
0.00%:  got dog
0.00%:  got to go naked SO
0.00%:  def
0.00%:  got a lot of D
0.00%:  got a lot of DRESS
0.00%:  gotta go find SO
0.00%:  got to go naked ALL
0.00%:  got like t
0.00%:  got a GREY t
0.00%:  gotten A
0.00%:  gotta fold
0.00%:  got gen
0.00%:  got dirt
0.00%:  got a 
0.00%:  got the SE
0.00%:  got one right
0.00%:  ALSO got on
0.00%:  got LEARNED SO
0.00%:  done that ONLY a
0.00%:  got a thing for SO
0.00%:  got kid
0.00%:  got a lot of red
0.00%:  got a REALLY GOOD EN
0.00%:  no
0.00%:  got trend
0.00%:  got REAL GOOD REASONS for not lik
0.00%:  got GOOD REASONS for doing ALL
0.00%:  got GOOD REASONS for doing ALL the
0.00%:  got the gar
0.00%:  got it GO
0.00%:  got GOOD REASONS for AL
0.00%:  REALLY tight
0.00%:  legit got
0.00%:  got a thing for old
0.00%:  got to REALLY like
0.00%:  got a REALLY GROSS naked
0.00%:  got like a thousand fr
0.00%:  got the r
0.00%:  REALLY taken
0.00%:  got a REALLY GOOD NO
0.00%:  got golf
0.00%:  got REALLY long hair
0.00%:  got to go read
0.00%:  got it naked ALL
0.00%:  tried going to
0.00%:  got SADLY
0.00%:  got a golden
0.00%:  got a REALLY GOOD REASON no
0.00%:  got a REASON for the n
0.00%:  got a REALLY GOOD REASON for doing it al
0.00%:  got REASONS for ALL the
0.00%:  ALREADY talked at
0.00%:  got a din
0.00%:  got girl
0.00%:  got REALLY good at
0.00%:  ALSO fre
0.00%:  got to GO DO
0.00%:  REALLY had it
0.00%:  got al
0.00%:  got alright
0.00%:  gotten half
0.00%:  got SOLAR
0.00%:  got the SEL
0.00%:  got REAL GOOD REASONS for taking a
0.00%:  got a lot of N
0.00%:  LEARNED A
0.00%:  got YEARS of re
0.00%:  got a lot of GREY
0.00%:  ALREADY done that ON
0.00%:  got the GOOD looking
0.00%:  got a REAL GOOD REASON for not lik
0.00%:  got REALLY GOOD REASONS for doing like
0.00%:  looked in
0.00%:  got GOOD S
0.00%:  got GOOD SENSE
0.00%:  got LAYERS like
0.00%:  got LEGS and
0.00%:  got dang
0.00%:  got YEARS of digital
0.00%:  gotten fl
0.00%:  SE
0.00%:  got the ind
0.00%:  got a REALLY GOOD REASON fro
0.00%:  ALSO got fr
0.00%:  got naked ONLY SO
0.00%:  got REALLY GOOD REASONS for liking a
0.00%:  RARELY tried to
0.00%:  got REALLY good life
0.00%:  got ONLY A S
0.00%:  gotta lie
0.00%:  got like ONE good
0.00%:  ONLY tried to
0.00%:  got a REALLY GOOD REASON to fre
0.00%:  got naked LESS
0.00%:  got a fake
0.00%:  got to find ONE
0.00%:  got REALLY GOOD heating
0.00%:  got a lot of REALLY DO
0.00%:  got like a hat
0.00%:  got a rad
0.00%:  got DRAGONS in
0.00%:  gotten fr
0.00%:  got YEARS of reg
0.00%:  ALREADY tried to look
0.00%:  kind of let it
0.00%:  kind of let it go
0.00%:  got YEARS to
0.00%:  got to D
0.02%:  got to DRESS like
0.01%:  got to DRESS for
0.00%:  got to DRESS naked
0.00%:  got to DRESS like a
0.00%:  got to DRESS if
0.00%:  got to DRESS for naked
0.00%:  got a GOOD naked
0.00%:  got ON A
0.00%:  ALSO tried to look
0.00%:  LEARNED to talk
0.00%:  ALREADY gotten SO
0.00%:  got REAL GOAL
0.00%:  ALSO NE
0.00%:  got a REALLY GOOD REASON to like doing
0.00%:  ALREADY told a thousand
0.00%:  got a thing for d
0.00%:  got the SOLAR SY
0.00%:  ALREADY RE
0.00%:  got naked G
0.00%:  ALREADY told one
0.00%:  got a REAL GOOD REASON for hiding
0.00%:  RARELY talked
0.00%:  LEARNED that naked
0.00%:  REALLY gone
0.00%:  got REALLY GOOD REASONS for leading
0.00%:  gotten REALLY la
0.00%:  S
0.00%:  RARELY got
0.00%:  ONLY gone that
0.00%:  got OLDER
0.00%:  gotten O
0.00%:  got GAD
0.00%:  got to hide SO
0.00%:  got GOD to
0.00%:  got REAL life to
0.00%:  ALREADY failed
0.00%:  ALREADY done it for
0.00%:  gotten REALLY DR
0.00%:  got a lot of anger
0.00%:  got it fr
0.00%:  got de
0.00%:  got float
0.00%:  got a naked AND
0.00%:  ALSO talked to a
0.00%:  felt it
0.00%:  got a REALLY GOOD ROSE
0.00%:  got REALLY O
0.00%:  got felt
0.00%:  ALSO got a fet
0.00%:  got on ALL
0.00%:  got LAYERS for
0.00%:  got a REALLY GOOD ONES
0.00%:  d
0.00%:  REALLY liked to
0.00%:  got third
0.00%:  got a fed
0.00%:  ONLY got a
0.00%:  got YEARS of del
0.00%:  REALLY liked going
0.00%:  got REALLY GOOD REASONS for eating a
0.00%:  got the GOOD NAR
0.00%:  got REASONS for do
0.00%:  looked it
0.00%:  got a REALLY RO
0.00%:  got on a lot
0.00%:  got a REAL GOOD REASON and
0.00%:  got a REALLY RAD tank
0.00%:  got YES
0.00%:  LEARNED to fight
0.00%:  ALREADY got another
0.00%:  felt SO
0.00%:  got a SAR
0.00%:  LEARNED a thing
0.00%:  got a REALLY GOOD ONE for
0.00%:  got a go
0.00%:  got a di
0.00%:  got REASONS for E
0.00%:  got it R
0.00%:  got a lot of GOOD naked
0.00%:  got ONE O
0.00%:  ONLY got naked SO
0.00%:  got a REALLY GOOD tan
0.00%:  ALREADY had like
0.00%:  got a REASON to like
0.00%:  got REAL REASONS for lik
0.00%:  got REAL REASONS for liking the
0.00%:  got REAL REASONS for liking to
0.00%:  got a lot of REALLY GOOD NE
0.00%:  gotta hide
0.00%:  got GOOD REASONS to go naked ALL
0.00%:  gotta dig
0.00%:  gotten REALLY SO
0.00%:  ALREADY talked on
0.00%:  got YEARS of in
0.00%:  got SENSORY
0.00%:  had to go to
0.00%:  got GOOD REASONS for dating
0.00%:  got naked SAND
0.00%:  REALLY got like a
0.00%:  REALLY got like a thousand
0.00%:  ALSO got one
0.00%:  ALREADY got like a
0.00%:  ALREADY got like a thousand
0.00%:  got SORRY looking
0.00%:  got thousand
0.00%:  got GOOD REASONS for dealing
0.00%:  got it DO
0.00%:  got to REALLY find
0.00%:  ALREADY gotten good
0.00%:  got REAL REASONS too
0.00%:  got friend
0.00%:  got a lot of naked h
0.00%:  got a thing for SAR
0.00%:  got on right
0.00%:  got a REALLY good line
0.00%:  got a lot of LE
0.00%:  ALSO done that for
0.00%:  liked that
0.00%:  got REALLY GOOD friend
0.00%:  got a lot of REALLY AD
0.00%:  got GOOD N
0.00%:  got talked
0.00%:  got like N
0.00%:  got ret
0.00%:  ALREADY got their
0.00%:  got a REALLY thin
0.00%:  tried it AND
0.00%:  ALREADY got a friend
0.00%:  ALREADY GONE
0.00%:  got to go file
0.00%:  got a lot of dang
0.00%:  got a naked t
0.00%:  got leg hair
0.00%:  gone right
0.00%:  got tid
0.00%:  got to AL
0.00%:  got to ALSO find
0.00%:  got on ONE
0.00%:  got a REAL GOOD REASON too
0.00%:  got dig
0.00%:  got to die
0.00%:  fre
0.00%:  had a
0.00%:  had a lot
0.00%:  got a REALLY GOOD REASON for at
0.00%:  got a REASON it
0.00%:  got REAL GOOD REASONS for the n
0.00%:  got a SOL
0.00%:  ALREADY tried not
0.00%:  total
0.00%:  ALSO tried going half
0.00%:  got GOOD REASONS for ALL
0.00%:  liked to
0.00%:  got A SENSE
0.00%:  got an A
0.00%:  got to go in
0.00%:  long ago
0.00%:  ONLY done it for
0.00%:  got a REALLY GOOD tie
0.00%:  got REAL GOOD REASONS too
0.00%:  got a lot of naked SO
0.00%:  got a REALLY REASON for doing
0.00%:  got r
0.00%:  ALREADY looked it
0.00%:  got on S
0.00%:  got tend
0.00%:  got a lot of REALLY SO
0.00%:  got LEGS to
0.00%:  REALLY got to hand
0.00%:  got a REALLY GOOD EAR
0.00%:  got a thing like
0.00%:  got kind of a great
0.00%:  felt good
0.00%:  forgot the
0.00%:  ALREADY got on
0.00%:  got let
0.00%:  got the SOLE
0.00%:  got a REALLY GOOD looking hat
0.00%:  got a REALLY GOOD REASONS
0.00%:  got a REALLY GOOD REASONS for doing
0.00%:  got a REALLY GOOD REASONS for doing it
0.00%:  got a REALLY great old
0.00%:  got REALLY GOOD SO
0.00%:  got a red t
0.00%:  got no real
0.00%:  got REALLY GOOD REASONS in
0.00%:  gotta hand
0.00%:  ALREADY forgot it
0.00%:  got ALL the f
0.00%:  taken to fl
0.00%:  got a REALLY GOOD k
0.00%:  got the REALLY old
0.00%:  REALLY had to get
0.00%:  got RED
0.00%:  got REALLY GOOD REASONS for holding a
0.00%:  got to go lie
0.00%:  READ
0.00%:  got a REALLY long t
0.00%:  got a floor
0.00%:  ALREADY got the n
0.00%:  got the GROSS
0.00%:  got NAD
0.00%:  got to dig
0.00%:  got GREEN
0.00%:  got on a hat
0.00%:  got a REALLY GROSS N
0.00%:  got GOOD AN
0.00%:  ONLY D
0.00%:  got REASONS other
0.00%:  REALLY got to deal
0.00%:  got EARS
0.00%:  ALREADY S
0.00%:  got DRAGONS doing
0.00%:  got a lot of REALLY RE
0.00%:  got REALLY GOOD REASONS for h
0.00%:  got REALLY GOOD REASONS for hiking
0.00%:  got LESS than
0.00%:  got a great k
0.00%:  ONLY got one
0.00%:  LEARNED that looking
0.00%:  got a REALLY GOOD REASON for it al
0.00%:  looked at a
0.00%:  got YEARS of inde
0.00%:  got REASONS for dealing
0.00%:  LEARNED to think
0.00%:  got GOOD REASONS for heading
0.00%:  ALREADY reg
0.00%:  got REALLY GOR
0.00%:  got REALLY GOOD REASONS for talking a
0.00%:  got LEGS like
0.00%:  got a golf
0.00%:  felt a
0.00%:  got REASONS if
0.00%:  read that
0.00%:  got gro
0.00%:  ALSO looked for
0.00%:  got GOALS and
0.00%:  got a REALLY GOOD SA
0.00%:  tot
0.00%:  ALREADY got the kind
0.00%:  got a fat
0.00%:  forg
0.00%:  got REALLY ANGR
0.00%:  got REALLY GOOD REASONS for like
0.00%:  got a lot of GOOD RE
0.00%:  got the 
0.00%:  got a DE
0.00%:  got a lot of REALLY GOOD SO
0.00%:  got REALLY large
0.00%:  DO
0.00%:  got folk
0.00%:  got the DAN
0.00%:  got REALLY GOOD AS
0.00%:  got a REALLY GOOD REASON and the
