hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
    706 80.29%:  hah! I do! The
    707 79.72%:  hah, sure I do! Y
    708 192.98%:  hah, sure I do! Yep
    709 174.02%:  hah, sure I do! YES!
    710 103.11%:  hah, sure I do! Yep y
    711 79.56%:  hah! YES, I D
    712 79.53%:  hah! YES I DO! FOR E
    713 79.51%:  hah! YES! I TR
    714 79.18%:  hah, yes! Do I
    715 79.13%:  hah, do I!
    716 78.96%:  hah! Too
    717 78.54%:  hah, yes I do! Yours!
    718 78.31%:  hah! Yep! E
    719 78.26%:  hah! Yes I do, Sir
    720 78.10%:  hah! Dude, I so
    721 77.92%:  hah, yep!! I
    722 77.69%:  hah, YES!! They
    723 77.69%:  hah, I do! Yes! They
    724 77.26%:  hah! I sure do! Oh yes
    725 133.04%:  hah! I sure do! Oh yes,
    726 77.07%:  hah! YES! Oh
    727 102.15%:  hah! YES! Oh,
    728 92.77%:  hah! YES! Oh, I
    729 76.31%:  hah! YES, FRIEDO
    730 75.87%:  hah! YES, yes!
    731 115.82%:  hah! YES, yes! I
    732 91.83%:  hah! YES, yes! I do
    733 75.84%:  hah! Yep! T
    734 75.80%:  hah! T
    735 75.68%:  hah, sure do you
    736 109.34%:  hah, sure do you! I
    737 75.63%:  hah, I love
    738 192.49%:  hah, I love you!
    739 75.58%:  hah, sure! I love
    740 131.27%:  hah, sure! I love you
    741 207.62%:  hah, sure! I love you!
    742 75.57%:  hah! Sure! They
    743 75.54%:  hah! Yep, I do! Oh
    744 75.52%:  hah! Sure I
    745 1326.63%:  hah! Sure I do! They
    746 606.21%:  hah! Sure I do,
    747 245.58%:  hah! Sure I do! You
    748 100.42%:  hah! Sure I do! The
    749 81.21%:  hah! Sure I do! This
    750 76.21%:  hah! Sure I do! Do
    751 75.51%:  hah! YES! T
    752 74.49%: ! I sure do! Oh
    753 74.23%:  hah! I sure hope so! Or
    754 73.98%:  hah! YES! I DO, F
    755 73.96%:  hah, sure do! I love chips! E
    756 73.93%:  hah! YES I DO! FOR T
    757 73.66%:  hah, sure I do! E
    758 73.41%:  hah, YES O
    759 73.12%:  hah, YES I DO!! The
    760 72.56%:  hah, YES! I do! Do
    761 72.38%:  hah, YES! I sure do! Oh
    762 72.35%:  hah! Yep! Those
    763 72.25%:  hah! I S
    764 71.98%:  hah! Yup
    765 275.07%:  hah! Yup! I
    766 228.47%:  hah! Yup! They
    767 89.98%:  hah! Yup! I do
    768 71.87%:  hah, yep! Sure
    769 548.41%:  hah, yep! Sure do! I
    770 114.49%:  hah, yep! Sure do! You
    771 71.52%:  hah, YES! I sure DO
    772 71.45%:  hah, sure do! Oh!
    773 70.77%:  hah, yes! Yep
    774 228.62%:  hah, yes! Yep! I
    775 158.22%:  hah, yes! Yep! I do
    776 70.58%:  hah! Sure,
    777 70.36%:  hah, yes sir
    778 342.24%:  hah, yes sir! I
    779 357.35%:  hah, yes sir! I do
    780 87.61%:  hah, yes sir! I DO
    781 70.02%:  hah! I do, D
    782 69.77%:  hah! YES, you dope
    783 304.55%:  hah! YES, you dope! I
    784 69.64%:  hah! Yes, I DO! The
    785 69.45%:  hah! Yes, I sure do! For
    786 69.35%:  hah! Yes, sir! Do
    787 69.26%:  hah, YES! I sure do! Do
    788 69.15%:  hah, you sure do! I sure
    789 69.15%:  hah, yes! Oh
    790 68.95%:  hah! SOR
    791 68.65%:  hah, yes I do!! This
    792 68.23%:  hah! YES I J
    793 68.05%:  hah, sure do! This IS
    794 67.90%:  hah! Yep! I dooo
    795 67.83%:  hah, sure do!! This
    796 67.78%:  hah! They sure do
    797 73.92%:  hah! They sure do!
    798 67.54%:  hah! Yep, I sure DO
    799 67.51%:  hah! Dude, YES! The
    800 67.28%:  hah! Yep! I should
    801 67.06%:  hah, sure do! I love you T
    802 66.98%:  hah, YES! I hope
    803 78.85%:  hah, YES! I hope so
    804 66.39%:  hah! YES! I, u
    805 66.23%:  hah! I do, yes! Oh
    806 66.22%:  hah! I sure do! Do you,
    807 65.77%:  hah! Oh yes
    808 229.22%:  hah! Oh yes! I
    809 134.20%:  hah! Oh yes! I do
    810 107.19%:  hah! Oh yes,
    811 176.57%:  hah! Oh yes, I
    812 91.40%:  hah! Oh yes, I do! You
    813 72.41%:  hah! Oh yes! I do,
    814 65.60%:  hah! Sure do! I love you, T
    815 65.43%:  hah! Yes I do, Sir! They
    816 65.42%:  hah! I sure hope you do, D
    817 65.35%:  hah, sure do I! Do
    818 65.18%:  hah! I do! This
    819 65.16%:  hah! These
    820 65.09%:  hah! YES! Oh yes
    821 69.17%:  hah! YES! Oh yes,
    822 297.80%:  hah! YES! Oh yes, I do
    823 65.00%:  hah! YES, Dude
    824 186.70%:  hah! YES, Dude! They
    825 66.93%:  hah! YES, Dude! I sure
    826 64.77%:  hah! Yep! I do, you
    827 64.76%:  hah, yes! I sure DO
    828 64.75%:  hah, yep! Yes
    829 102.77%:  hah, yep! Yes I DO
    830 83.43%:  hah, yep! Yes!
    831 68.82%:  hah, yep! Yes I do! This
    832 64.66%:  hah, yep! T
    833 64.61%: ! I sure do, sir
    834 81.08%: ! I sure do, sir! They
    835 64.48%:  hah! I sure DO! You
    836 64.30%:  hah! Yep! I do, h
    837 64.20%:  hah, S
    838 64.15%:  hah, yep! I sure do! YEE
    839 64.06%:  hah, YES!! I do
    840 64.01%:  hah! Dude! YES, I J
    841 64.00%:  hah, yep! E
    842 63.93%:  hah! Sure do! I love chips, you
    843 63.90%:  hah! YES! I used
    844 63.82%:  hah! You sure do! This
    845 63.81%:  hah! Dude, T
    846 63.78%:  hah! You sure do, e
    847 69.77%:  hah! You sure do, eh!
    848 63.78%:  hah! YES, I do! Do
    849 63.74%:  hah! I sure hope so, d
    850 63.68%:  hah, sure do! Oh! I
    851 63.67%:  hah, D
    852 79.13%:  hah, Dude
    853 519.64%:  hah, Dude! I
    854 427.00%:  hah, Dude! I sure
    855 133.81%:  hah, Dude! You
    856 133.52%:  hah, Dude! They
    857 63.55%:  hah! YES I DO, yes!
    858 63.50%:  hah! You sure do! I hope
    859 63.20%:  hah! Yes I do! Oh, yes
    860 63.09%:  hah! I sure do, yes! You
    861 63.08%:  hah, YES! I do! Oh
    862 62.98%:  hah! You sure do, you
    863 62.68%:  hah, sure do! YES I DO! T
    864 62.55%:  hah! I D
    865 62.36%:  hah! I doooo,
    866 62.18%:  hah, yep! Yours or
    867 62.17%: , I
    868 920.87%: , I sure do! They
    869 337.49%: , I sure do!!
    870 183.94%: , I sure do! You
    871 98.80%: , I sure do! The
    872 96.52%: , I sure do! This
    873 75.39%: , I sure do! Do
    874 62.07%:  hah, sorry! I DO
    875 61.77%:  hah! I do, sir! You
    876 61.57%:  hah! You do
    877 61.21%:  hah, YES!! I DO
    878 61.19%:  hah, I sure do! Eh
    879 61.18%:  hah! Yep, I DO! They
    880 61.04%:  hah! YES, I REF
    881 61.01%:  hah! YES! J
    882 60.96%:  hah, yes! I do love
    883 60.71%:  hah, I DO!!
    884 60.44%:  hah, yes I do!! Yes
    885 60.34%:  hah! Yes! I love chips,
    886 60.16%:  hah! You do!
    887 60.15%:  hah! YES! Oh yes, I DO
    888 59.78%:  hah, yep! Yes! I
    889 59.72%:  hah! Dude! I hope
    890 74.19%:  hah! Dude! I hope so
    891 59.46%:  hah! Yup! I sure
    892 79.81%:  hah! Yup! I sure do,
    893 59.18%:  hah! Dude, YES! I sure
    894 59.13%:  hah! YES! I FO
    895 59.13%: ! I do, yes
    896 59.08%:  hah! I do! Oh
    897 59.04%:  hah, yep! Yes! I do
    898 59.03%:  hah! Do
    899 170.51%:  hah! Do I E
    900 167.16%:  hah! Do you
    901 58.90%:  hah! Yes I DO, sir
    902 58.86%:  hah! Yep, sure do! Do
    903 58.79%:  hah! YES! OF
    904 58.75%:  hah! YES! I use
    905 58.63%:  hah, yup! I love
    906 58.54%:  hah! Yes I do! For you,
    907 58.49%:  hah, I sure hope so!! You
    908 58.44%:  hah! You sure do love
    909 872.61%:  hah! You sure do love your chips!
    910 375.34%:  hah! You sure do love your chips, D
    911 147.27%:  hah! You sure do love your chips! I
    912 77.53%:  hah! You sure do love your chips, T
    913 58.42%:  hah, YES! E
    914 58.35%:  hah! Dude! I so
    915 57.99%:  hah, YES! I RE
    916 59.02%:  hah, YES! I REF
    917 57.66%:  hah! YES, you dope! I DO
    918 57.38%:  hah! Oh yes I
    919 320.95%:  hah! Oh yes I do,
    920 81.47%:  hah! Oh yes I do! You
    921 57.36%:  hah, sure I do! Yes
    922 57.36%:  hah, yep! Yes I do! Do
    923 57.10%: , I do
    924 56.94%:  hah, you sure do! Oh
    925 56.90%:  hah! Yep! Oh, I love
    926 56.79%:  hah! Yes I DO, sir! They
    927 56.70%:  hah, YES! I DO! E
    928 56.68%: , I sure do!! They
    929 56.61%:  hah, yup! I sure do! The
    930 56.37%:  hah, sure do! Yep! This
    931 56.36%:  hah, YES! Oh
    932 56.31%:  hah! Dude, sorry
    933 56.24%:  hah! I do! Yes
    934 56.23%:  hah! Dude! T
    935 56.17%:  hah! Oh, yes
    936 225.92%:  hah! Oh, yes! I
    937 153.11%:  hah! Oh, yes! I do
    938 56.16%:  hah, sure do! YES! They
    939 56.13%:  hah! I sure do! Oh, is
    940 55.98%:  hah! YES! I hid
    941 55.84%:  hah! Dude, YES! This
    942 55.81%:  hah, yep! YES! I DO
    943 55.75%:  hah! Dude, seriously! You
    944 55.71%:  hah, yes! I do love chips
    945 55.17%: ! Yes
    946 175.15%: ! Yes! I
    947 239.91%: ! Yes! I have
    948 139.73%: ! Yes! I do
    949 101.67%: ! Yes! I do have
    950 97.96%: ! Yes! They
    951 75.95%: ! Yes,
    952 119.22%: ! Yes, I
    953 763.34%: ! Yes, I do! They
    954 69.56%: ! Yes! I do,
    955 63.93%: ! Yes, I do! The
    956 62.02%: ! Yes, I do! The chips
    957 58.27%: ! Yes, I do! Do
    958 57.74%: ! Yes, I do have
    959 56.13%: ! Yes, I have
    960 54.78%:  hah! You should
    961 54.64%:  hah! YES, IT
    962 54.59%:  hah, Dude! This
    963 54.52%:  hah! Dude, YES! I love chips so
    964 54.37%:  hah! Yes! I hope
    965 55.08%:  hah! Yes! I hope so
    966 54.01%:  hah! You sure do love your chips, I
    967 53.98%:  hah, sorry! You
    968 53.95%:  hah! YES, sir! I sure DO
    969 53.94%:  hah! Sure do! Oh, you
    970 53.89%:  hah, sure do! Yep! Oh
    971 53.72%:  hah, yep! Yes I do! Oh
    972 53.70%: ! Yes, I do! This
    973 53.67%:  hah, sure I do! D
    974 53.47%:  hah! YES! Do I
    975 59.55%:  hah! YES! Do I E
    976 53.37%: , I sure do! Oh
    977 53.08%:  hah! Sure I do, you
    978 53.05%:  hah! Yep! I S
    979 92.09%:  hah! Yep! I STO
    980 52.93%:  hah, sure do! Yep! Do
    981 52.93%:  hah! Sure do! I sure DO
    982 52.69%:  hah! Dude, I ST
    983 52.69%:  hah! I sure DO! The
    984 52.42%:  hah, I sure do! The D
    985 52.27%:  hah! YES! O
    986 52.21%:  hah! Yep, sure do! Oh
    987 52.21%:  hah! Oh yes, I do! Yes
    988 51.77%:  hah! Yep, you
    989 81.97%:  hah! Yep, you sure
    990 360.62%:  hah! Yep, you sure do! I
    991 51.71%:  hah! You sure do! I sure
    992 51.68%:  hah, I sure do! Oh! You
    993 51.67%:  hah! YES, OF
    994 51.58%:  hah! Oh, yes! I DO
    995 51.46%:  hah! Sure do, sir! You
    996 51.33%:  hah! Yes! I,
    997 60.39%:  hah! Yes! I, u
    998 51.26%:  hah! Oh yes I do! Yes
    999 75.78%:  hah! Oh yes I do! Yes,
   1000 51.26%:  hah! Dude! I ST
   1001 50.89%:  hah! I sure hope you do, T
   1002 50.87%:  hah! Yes sir
   1003 221.57%:  hah! Yes sir! I
   1004 234.60%:  hah! Yes sir! I do
   1005 117.14%:  hah! Yes sir,
   1006 2774.58%:  hah! Yes sir, I do! They
   1007 376.91%:  hah! Yes sir, I do! The
   1008 221.75%:  hah! Yes sir, I DO
   1009 193.41%:  hah! Yes sir, I do! Do
   1010 137.77%:  hah! Yes sir, I DO! They
   1011 103.50%:  hah! Yes sir! They
   1012 93.45%:  hah! Yes sir, I do! Oh
   1013 70.26%:  hah! Yes sir, I do! For
   1014 68.62%:  hah! Yes sir! I DO
   1015 62.96%:  hah! Yes sir! I do,
   1016 50.73%:  hah! YES, FRIED O
   1017 50.71%:  hah! I J
   1018 50.56%:  hah! Yes! I sure DO
   1019 50.55%:  hah, YES I J
   1020 50.45%:  hah! Dude I
   1021 50.31%:  hah! Yep! I do love
   1022 50.31%:  hah! Yes! I do, you
   1023 50.30%:  hah! YES! I sure do, sir
   1024 50.14%:  hah, he
   1025 50.09%:  hah, sure do! Do you love
   1026 50.07%:  hah! YES I RE
   1027 49.96%:  hah, do I ever! Oh
   1028 49.73%:  hah! Yes I do, h
   1029 49.60%:  hah, sure I do! T
   1030 49.48%:  hah! Sure I do, D
   1031 49.46%: , I sure do! The chips
   1032 49.35%:  hah, yep! Do I E
   1033 49.25%:  hah, sure do!! I love chips
   1034 49.00%:  hah! Yes I do, so
   1035 48.87%:  hah, yes I do! Oh!
   1036 48.75%: ! I sure do! E
   1037 48.72%:  hah! I sure hope so, T
   1038 48.53%:  hah, I sure hope so! Or do
   1039 48.30%:  hah! I do, h
   1040 48.24%:  hah! Yes I do! Oh, sorry
   1041 48.18%:  hah, yup! You
   1042 48.03%:  hah, sure! I love chips
   1043 47.95%:  hah, sure I do! S
   1044 47.94%:  hah! I DO, Y
   1045 47.89%:  hah, YES! I sure do! E
   1046 47.80%:  hah, yep! I do love
   1047 47.76%:  hah, sure do! I love you! Oh
   1048 47.70%:  hah! Yes! I hope so,
   1049 47.56%:  hah! YES, I T
   1050 47.47%:  hah! Sure do! Oh, I love you so
   1051 47.46%:  hah, sure! I sure
   1052 51.34%:  hah, sure! I sure do! You
   1053 47.20%: ! Yes I
   1054 464.81%: ! Yes I do! They
   1055 323.25%: ! Yes I do,
   1056 47.06%:  hah! Yes! Do I
   1057 47.00%:  hah, yes! Do I E
   1058 46.93%:  hah! Sure, I
   1059 215.81%:  hah! Sure, I do! They
   1060 46.77%:  hah, I dooo
   1061 54.60%:  hah, I doooo! They
   1062 51.59%:  hah, I doooo!!
   1063 48.80%:  hah, I dooo!
   1064 46.71%:  hah! Sure do! I use
   1065 46.67%:  hah! You sure do! Oh
   1066 80.67%:  hah! You sure do! Oh,
   1067 56.78%:  hah! You sure do! Oh, I
   1068 59.75%:  hah! You sure do! Oh, I love
   1069 64.89%:  hah! You sure do! Oh, I love you
   1070 46.66%:  hah, YES! I T
   1071 46.53%:  hah! Yes I DO! The
   1072 46.50%:  hah, SOR
   1073 46.48%:  hah! I do, yes! For
   1074 46.48%:  hah, I S
   1075 46.36%:  hah! Oh yes, I sure
   1076 94.55%:  hah! Oh yes, I sure do! You
   1077 46.29%:  hah! You sure you
   1078 46.24%: ! Yes I do, sir
   1079 61.86%: ! Yes I do, sir! They
   1080 46.20%:  hah! Oh yes, I DO
   1081 46.17%:  hah! Oh, D
   1082 46.13%:  hah, YES! Oh yes
   1083 90.57%:  hah, YES! Oh yes! I
   1084 46.05%:  hah! Yes, I DO! This
   1085 45.94%:  hah! You sure do, eh D
   1086 45.90%:  hah! You sure do! I love you, T
   1087 45.79%:  hah! Yes! For
   1088 45.74%:  hah! Dude! E
   1089 45.51%:  hah, yes! I used
   1090 45.38%:  hah! YES! Oh, yes
   1091 45.26%:  hah, I do! Y
   1092 216.83%:  hah, I do! YES!
   1093 107.70%:  hah, I do! Yep
   1094 199.29%:  hah, I do! Yep! They
   1095 45.22%: ! I DO
   1096 45.20%:  hah! Oh yes! I DO
   1097 45.07%:  hah, I sure do! Eh e
   1098 44.93%:  hah! Yes, I do! Do you love
   1099 44.90%:  hah, YES! Do I
   1100 44.88%:  hah! YES! I do, you see
   1101 44.88%:  hah, yes! Yes I do! Oh T
   1102 44.85%:  hah! YES! I do love
   1103 44.83%:  hah, sorry! I used up
   1104 44.82%:  hah! Dude, yes! This
   1105 44.82%: ! Yes I do! The
   1106 44.80%:  hah! Sure do! I DO
   1107 44.70%:  hah! Oh!
   1108 45.65%:  hah! Oh! I
   1109 44.64%:  hah! Dude, I love you! This
   1110 44.62%:  hah! I sure do! Oh, so
   1111 44.53%:  hah! YES, I do! Oh
   1112 44.52%:  hah, sure do! I love you! This
   1113 44.50%:  hah, YES! I DO! T
   1114 44.49%: ! I sure do, D
   1115 44.44%:  hah, sure do! I hope you RE
   1116 44.43%:  hah! Yes, you do! The
   1117 44.39%:  hah! Oh yes I do, sir
   1118 44.37%:  hah! Yes! I love you, D
   1119 44.28%:  hah! Yep, you sure do! This
   1120 44.18%:  hah, yes! For
   1121 44.04%:  hah! Yep! I love you so
   1122 44.02%:  hah! Yep! I love you, T
   1123 44.00%:  hah! YES, DE
   1124 43.73%:  hah! Sure do! You sure
   1125 43.67%:  hah! YES DE
   1126 43.67%:  hah! Yes I do, sir! For
   1127 43.54%:  hah, sure do! Dip
   1128 43.51%:  hah, you should
   1129 43.42%: ! I sure hope
   1130 213.91%: ! I sure hope so,
   1131 43.37%:  hah, yes! You sure
   1132 45.83%:  hah, yes! You sure do! I
   1133 43.33%:  hah, yep! Sure do! This
   1134 43.28%:  hah! Yes! I love you so
   1135 43.23%:  hah! Oh, yes! Yes
   1136 70.43%:  hah! Oh, yes! Yes I DO
   1137 43.15%:  hah, yes! I love chips! Do
   1138 43.03%:  hah, sure do! Scoop!
   1139 43.01%:  hah, yes I do! Yep! This
   1140 42.91%:  hah! Do I!
   1141 42.82%:  hah, yes I do!! Oh
   1142 42.81%:  hah, sure do! Oh sure
   1143 42.71%:  hah! Yes! Oh
   1144 62.16%:  hah! Yes! Oh,
   1145 59.45%:  hah! Yes! Oh, yes
   1146 56.30%:  hah! Yes! Oh, I
   1147 55.16%:  hah! Yes! Oh yes
   1148 42.71%:  hah! YES! Oh, I love
   1149 42.65%: ! Y
   1150 260.30%: ! YES!
   1151 254.76%: ! YES! I
   1152 251.84%: ! YES! I have
   1153 122.37%: ! YES,
   1154 191.60%: ! YES, I
   1155 114.16%: ! YES I
   1156 595.77%: ! YES I DO,
   1157 145.34%: ! YES I DO, F
   1158 104.33%: ! YES! I DO
   1159 103.87%: ! YES I DO! They
   1160 97.26%: ! YES! I do
   1161 104.55%: ! YES! I do have
   1162 91.88%: ! Yep
   1163 390.15%: ! Yep! I
   1164 302.65%: ! Yep! They
   1165 265.85%: ! Yep! I have
   1166 148.60%: ! Yep! I do
   1167 89.69%: ! YES, I DO! They
   1168 83.82%: ! Yep! I sure
   1169 108.42%: ! Yep! I sure do,
   1170 75.91%: ! YES! I do,
   1171 75.01%: ! YES! They
   1172 67.41%: ! YES, I do
   1173 86.27%: ! YES, I do! They
   1174 60.02%: ! Yep! I do,
   1175 52.92%: ! YES! I have so
   1176 51.21%: ! Yep! I have so
   1177 48.35%: ! YES, I do! They are
   1178 47.16%: ! Yep! I love
   1179 46.48%: ! Yep! I do have
   1180 44.17%: ! Yep! I love you
   1181 43.18%: ! YES I DO, T
   1182 43.14%: ! Yep! I DO
   1183 43.12%: ! YES, I DO! T
   1184 42.54%:  hah! Yep! Oh, I love you
   1185 42.54%:  hah! I do, sir! Do
   1186 42.53%: ! Yes I do, yes
   1187 42.47%:  hah! Sorry, I do
   1188 42.35%:  hah! YES I DO, TOR
   1189 42.12%:  hah! Yep, you do
   1190 42.01%:  hah! Dude! I hope so,
   1191 41.96%:  hah! YES! I do, h
   1192 41.79%:  hah, YES! D
   1193 41.71%:  hah, YES! Do I E
   1194 41.47%:  hah, sure do! SOR
   1195 41.44%: ! Yep! I had
   1196 41.41%:  hah! Yes! Oh yes,
   1197 41.36%:  hah, YES I do
   1198 51.58%:  hah, YES I do! They
   1199 41.34%:  hah! YES, J
   1200 41.32%:  hah! YES, sir! The
   1201 41.27%:  hah! I sure do, you sc
   1202 41.25%:  hah! Sure do! I J
   1203 41.24%:  hah! I sure DO! You should
   1204 41.05%:  hah! Yes, D
   1205 41.05%:  hah! Dude, I hope so! You
   1206 41.03%:  hah! I T
   1207 41.01%:  hah! So
   1208 41.00%:  hah, yep! I sure do! YE
   1209 40.96%:  hah, sure do you!!
   1210 40.88%:  hah, YES! I do love
   1211 40.80%: ! YES, I DO! They are
   1212 40.75%: ! Yes I do! Do
   1213 40.66%:  hah, YES! I should
   1214 40.57%:  hah! Dude! YES, I RE
   1215 40.48%:  hah! Yes I sure
   1216 233.26%:  hah! Yes I sure do,
   1217 40.44%:  hah, yup! I sure do! This
   1218 40.43%:  hah, yes! I should
   1219 40.25%:  hah, yes! I hid
   1220 40.18%:  hah! YES! I sure do, D
   1221 40.05%:  hah, yep! I dooo
   1222 76.54%:  hah, yep! I dooo!
   1223 40.03%:  hah! YES, E
   1224 40.03%:  hah, YES! I used
   1225 39.98%:  hah! I do, yes! Y
   1226 46.13%:  hah! I do, yes! Yep
   1227 39.77%:  hah! Dude, so
   1228 39.68%:  hah! YES! I do, D
   1229 39.66%:  hah, YES I do!!
   1230 39.47%:  hah, yes! I use
   1231 39.31%:  hah, sure do!! Oh
   1232 39.30%:  hah! You do,
   1233 39.30%:  hah! Yup! I do,
   1234 39.25%:  hah, d
   1235 39.24%:  hah, do I ever! D
   1236 39.22%:  hah! I sure DO! This
   1237 39.18%:  hah, sure I do!! You
   1238 39.16%:  hah! Oh, T
   1239 39.04%:  hah! Yes sir, I do! For you
   1240 39.01%:  hah, sure I do! You sure
   1241 38.97%:  hah! Yes, yes I DO! Oh
   1242 38.96%:  hah, sure do! I love you! Do
   1243 38.69%:  hah, yep! I do! Yours
   1244 38.60%:  hah, yes sir! I do! You
   1245 38.59%:  hah! YES, IF
   1246 38.50%:  hah, yes! Yep! I DO
   1247 38.42%:  hah, yep! You do
   1248 38.40%:  hah! Yep! Oh, I sure
   1249 38.37%:  hah! YES! I love you, D
   1250 38.25%:  hah, I do! There
   1251 38.25%:  hah, YES! I TR
   1252 38.21%:  hah! YES, I DO! They sure
   1253 38.15%:  hah! Those
   1254 38.14%:  hah! I love you so
   1255 38.13%:  hah, oh yes
   1256 151.43%:  hah, oh yes! I
   1257 81.70%:  hah, oh yes! I do
   1258 38.03%: ! YES I DO! T
   1259 38.00%:  hah! I sure do! Oh, so you
