spend another decade making it so it can say other stuff too, okay?
41.67%:  go
2.62%:  spend another decade making it say stuff other
2.61%:  make sure the
2.61%:  go take him out for snacks,
2.61%:  ignore him and
2.61%:  take him for a spin, say
2.59%:  spend another ten years adding to him,
2.59%:  take him out for steak and
2.59%:  send him out and
2.59%:  keep doing that for another decade, man
2.59%:  take him out for a spin, to
2.73%:  take him out for a spin, to see
2.58%:  go see the
2.58%:  go find him and see
2.57%:  get him to repeat
2.57%:  make out and
2.57%:  see if you can make that as
7.15%:  see if you can make that as good
3.66%:  see if you can make that as good,
2.57%:  get to
2.56%:  take it for a spin, you
3.47%:  take it for a spin, you think
2.56%:  take him apart to
3.07%:  take him apart to see if
2.55%:  put him on stage
3.56%:  put him on stage and
2.55%:  spend the rest of today doing
2.55%:  take some
3.89%:  take some photos
2.54%:  get another
3.07%:  get another friend
2.54%:  make sure he says it often,
2.54%:  spend another ten years taking him out to
2.54%:  take him to a party,
2.53%:  not spend another decade making it say other stuff too,
2.53%:  spend another decade making that say
2.53%:  take him out for test
2.52%:  put him in a rocket
2.51%:  take him out and party
2.51%:  put him on a stage
2.51%:  take a second to thank
2.72%:  take a second to thank our
2.50%:  take a photo
2.50%:  not spend another decade making such
2.49%:  spend another ten years making it do that
2.49%:  take him out for a spin and ask
2.49%:  keep him around,
3.46%:  keep him around, okay
2.48%:  go see if that
2.48%:  keep on
5.17%:  keep on making
3.09%:  keep on making this
2.73%:  keep on making that
2.48%:  keep doing this, dude
2.48%:  spend another decade making his face
2.48%:  say he
2.47%:  make sure to spend a
2.47%:  take him apart and get another
2.47%:  not forget that it
2.46%:  hang out and do
2.46%:  do this again another
30.98%:  do this again another time, okay
2.46%:  go inside him and see
2.46%:  take him out for snacks,
2.46%:  finish
2.45%:  not spend a
2.45%:  hang out and admire
2.45%:  go make that
2.44%:  fight it
2.44%:  go take him for a test spin today
2.44%:  shoot
2.44%:  not spend our
2.44%:  try
7.63%:  try to make
2.83%:  try to make that
2.43%:  go for a spin, my dude
2.43%:  take him out for a spin, and get
2.43%:  do that
8.77%:  do that again
3.12%:  do that again,
2.43%:  take him out and get
2.42%:  take apart this
2.42%:  make out and forget
3.55%:  make out and forget this
2.42%:  make another one, okay
2.42%:  spend another decade making it shoot
2.42%:  go kick the crap out of it and
5.42%:  go kick the crap out of it and see if
2.41%:  take that out
40.46%:  take that out for a spin,
33.28%:  take that out for a spin, okay
18.80%:  take that out for a spin today
8.85%:  take that out for a spin some
6.23%:  take that out for a spin, my
4.65%:  take that out for a spin and
12.79%:  take that out for a spin and see if
3.23%:  take that out for a spin some day
2.41%:  turn him on,
3.94%:  turn him on, okay
2.41%:  make sure he says it again,
2.40%:  take him out for a spin today to see
2.40%:  see if that makes you forget
2.40%:  spend more than
2.47%:  spend more than another
2.40%:  make sure he says it at
2.40%:  go take him for ice
2.40%:  go inside him and start
2.40%:  smash
2.40%:  not think
2.39%:  see you make a
2.39%:  turn him off, and
2.39%:  send him into space to find another
2.39%:  send him to outer space, to
2.39%:  not spend another decade trying to make a
2.39%:  spend another decade making that a
2.39%:  think
4.03%:  think of another
2.62%:  think of another one
2.38%:  go do
23.96%:  go do some stuff
6.12%:  go do some stuff,
5.55%:  go do some stuff today
5.12%:  go do stuff
3.74%:  go do some stuff, okay
3.05%:  go do some stuff that
2.73%:  go do some stuff and
3.55%:  go do some stuff and then
2.55%:  go do some stuff today,
2.38%:  try to keep
2.37%:  go take him to a dance party,
2.36%:  go take him out for a spin, say
2.36%:  see you one
2.35%:  take him to a park and feed
2.35%:  make it so
4.17%:  make it so he says it
3.19%:  make it so that
2.55%:  make it so he says it faster
2.35%:  see if that counts
2.35%:  send him out to greet
2.34%:  go kick the crap out of some ants,
2.34%:  send him into space to say
3.35%:  send him into space to say it for
2.34%:  go take him out for steaks
2.33%:  take him out on dates and
2.33%:  keep adding
2.62%:  keep adding to him,
2.32%:  hang out in
2.32%:  take him out to eat and
2.32%:  send him to outer space to say
2.32%:  go take him out for steak and
2.32%:  spend another decade making his torso out of cake
2.31%:  go kick the crap out of some anti
2.31%:  turn him off and go take a nap,
2.31%:  take it out for a spin some day
2.31%:  go on
3.97%:  go on a date
3.37%:  go on another
3.50%:  go on another date
2.30%:  press some
2.30%:  go take him out for a spin and find
2.30%:  not spend another decade making that sucker say
2.30%:  take it for a spin?
2.30%:  take him out for spin,
2.30%:  send him to outer space and say
2.30%:  spend another decade making his torso out of a
2.30%:  go kick the crap out of another time
2.29%:  go to
6.52%:  go to the park
16.05%:  go to the park and feed
5.78%:  go to the park and see
4.91%:  go to the park and take
3.98%:  go to the park and make
2.98%:  go to the arcade
4.34%:  go to the arcade and
2.59%:  go to the park and make out on
2.48%:  go to the park and make out inside
2.39%:  go to the park and make out,
2.29%:  take him out for a snack,
2.29%:  go take him for another spin and
2.29%:  see if you can top that for
2.29%:  go take him out to dinner and ask
2.28%:  take him out for a soda and see
2.28%:  keep doing this for at
2.28%:  go for another spin in him, okay
2.28%:  go inside and take
2.36%:  go inside and take off
13.86%:  go inside and take off his pants
3.22%:  go inside and take off his pants,
3.93%:  go inside and take off his pants, okay
2.28%:  go take him for another spin, you
2.27%:  spend another ten years doing stuff to make that
2.27%:  go inside him and party,
2.27%:  put him on a rocket
2.27%:  go kick the crap out of some sense of
2.26%:  hang out and take
2.26%:  get rid
12.74%:  get rid of that
5.22%:  get rid of that second
4.02%:  get rid of him
3.86%:  get rid of him and
2.26%:  take him out for another spin, and
2.26%:  take that out for a spin, and
2.26%:  go take him out to eat,
2.25%:  take it out for a spin, yes
2.25%:  go feed him snacks
2.25%:  take him for a spin today?
2.25%:  go inside and take off his pants to
2.25%:  hook
2.25%:  take him on dates
2.25%:  not spend another second of our time dis
2.24%:  stop making
2.25%:  stop making our
2.24%:  get that
2.23%:  not spend another year doing
4.12%:  not spend another year doing this
3.80%:  not spend another year doing that,
2.23%:  get him on
2.23%:  take him out for spin, okay
2.22%:  go take him on a date to
2.22%:  not spend another year on that
2.22%:  go inside our
2.22%:  take it out for some nachos
2.22%:  make another one and
2.69%:  make another one and fight
2.21%:  go pet
2.21%:  not spend another decade on that, kay
2.21%:  go take him out for a spin to
2.21%:  take him for a spin, and see
2.21%:  take him out for soda
2.20%:  stop saying that our
2.20%:  keep him around another
2.19%:  get him to do
2.19%:  admire
2.19%:  kick the
3.44%:  kick the crap
16.16%:  kick the crap out of it
13.79%:  kick the crap out of some
4.56%:  kick the crap out of it and
6.39%:  kick the crap out of it and see if
4.52%:  kick the crap out of it,
2.79%:  kick the crap outta
2.19%:  go on an
2.19%:  go mess
7.99%:  go mess around
6.97%:  go mess around inside
4.84%:  go mess around in the
3.03%:  go mess around inside of
2.19%:  not spend our time
2.19%:  get out
17.38%:  get out of here and
11.37%:  get out of here,
4.40%:  get out of this
6.67%:  get out of this room
6.01%:  get out of this room and
3.82%:  get out of here and find
13.60%:  get out of here and find another
6.62%:  get out of here and find some
3.74%:  get out of here and do
2.53%:  get out of here fast
2.18%:  turn him off and get another
2.18%:  feed him to
2.18%:  not touch
2.18%:  take him out for a snack and
2.18%:  spend another ten years doing stuff to this
2.17%:  take him out today and
2.17%:  go take him out for a snack,
2.17%:  put him in a giant
2.17%:  take him for a nice
2.17%:  take him out for a spin and go
2.16%:  make sure he says it a
2.16%:  go take him for a dance
2.16%:  hang out and kick
2.16%:  start him up,
2.61%:  start him up, okay
2.16%:  take him out for spins
2.16%:  take him on a road
2.16%:  go on a date and
2.15%:  take him out for a spin and get a
2.15%:  try to make this
2.15%:  go take him out on
2.15%:  make it say that again,
2.15%:  make sure to spend another 
2.15%:  see if you can do that, mister
2.14%:  put him on stage and see
2.14%:  spend another decade making sure that says
2.14%:  patch
2.13%:  press the attack
2.13%:  shake our
4.05%:  shake our fists
2.13%:  spend another decade making a
2.13%:  get out of this room,
2.13%:  go make another
2.13%:  make it say another
33.46%:  make it say another thing too
11.19%:  make it say another thing too,
8.24%:  make it say another thing,
8.61%:  make it say another thing, too
2.12%:  start making
2.12%:  see if you can do that for
2.12%:  go dance
2.12%:  take it for a spin, you and
2.12%:  go take him out for a spin on
2.12%:  spend another decade making this suck
2.12%:  go inside him, okay
2.12%:  spend our time
2.12%:  go for a spin in him,
3.40%:  go for a spin in him, okay
2.11%:  go to the park and see if anyone
2.11%:  turn him off and go to a
2.11%:  take it out for a spin, and then take
2.11%:  go take him for a spin on
2.10%:  see if he
2.10%:  try to make it
2.10%:  go take him out for a dance,
2.10%:  do this again,
2.09%:  hang out soon
2.09%:  send him out to find
2.08%:  send him off
4.58%:  send him off to space
3.44%:  send him off into
8.98%:  send him off into space to
7.49%:  send him off into space,
7.21%:  send him off into space, okay
4.65%:  send him off into space and
2.08%:  take him out for a spin, as
2.08%:  agree
6.74%:  agree that
2.07%:  turn him off and go see
2.07%:  spend another decade making his torso out of tin
2.07%:  go take him out for food
2.30%:  go take him out for food and
2.07%:  take him for a spin, okay dude
2.07%:  spend another ten years adding to that
2.07%:  take him out of
2.06%:  get him to say it faster
2.06%:  take him out for a spin, don
2.06%:  spend another decade or
19.98%:  spend another decade or so making
12.33%:  spend another decade or so making that
7.78%:  spend another decade or so making this
3.33%:  spend another decade or so making it
3.40%:  spend another decade or so making it say
4.32%:  spend another decade or so making it say that
2.06%:  spend another decade making it say other stuff?
2.06%:  go kick the crap out of some non
2.06%:  make sure to take
3.30%:  make sure to take good
2.06%:  put him in a rocket and see
2.05%:  ignore that second
2.05%:  keep it
2.90%:  keep it that
2.05%:  keep doing this for another decade, so
2.05%:  turn him off so
2.05%:  take it apart and use
2.05%:  kick his ass, dude
2.04%:  spend another decade making his torso out of ice
2.04%:  keep doing this for another decade too
