even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
    911 0.52%:  that one's not so hot.
    912 0.51%:  so I have to get
    913 0.90%:  so I have to get to
    914 0.78%:  so I have to get to the
    915 0.59%:  so I have to get this
    916 0.91%:  so I have to get this to
    917 0.90%:  so I have to get this done
    918 0.51%:  I have to get the
    919 0.51%:  thanks I've
    920 0.51%:  that one is the
    921 0.51%:  this one's not a
    922 0.51%:  so I've got this one done.
    923 0.51%:  I think that needs to
    924 0.51%:  that's the one ending.
    925 0.51%:  that's seven
    926 0.51%:  so I don't have the setting
    927 0.51%:  in
    928 0.51%:  that's not ending
    929 0.51%:  I have to go do
    930 0.50%:  that one I don
    931 15.23%:  that one I don't think
    932 1.85%:  that one I don't even
    933 2.09%:  that one I don't even think
    934 1.14%:  that one I don't think goes
    935 0.50%:  this has got
    936 0.50%:  so that got
    937 0.50%:  so I haven't got the end
    938 0.49%:  thanks the
    939 0.49%:  I need to go eat
    940 0.49%:  that one's the end
    941 0.49%:  good.
    942 0.49%:  so that one's nothing
    943 0.49%:  that's got it
    944 0.49%:  so I think that one needs to
    945 0.49%:  this doesn't have to go
    946 0.49%:  no I don't think that even
    947 0.49%:  so I think the
    948 0.49%:  I need to have this on
    949 0.49%:  no that's the end. I
    950 0.48%:  so it took
    951 0.71%:  so it took a
    952 0.48%:  so it's not done that
    953 0.48%:  so not that
    954 0.48%:  so nothing
    955 0.48%:  that's its
    956 0.48%:  so I got that
    957 1.20%:  so I got that one done
    958 0.48%:  so I had the
    959 0.48%:  that one doesn't go on this
    960 0.48%:  that ends
    961 1.07%:  that ends this
    962 0.48%:  that gives
    963 0.48%:  so I need an
    964 0.48%:  this one had
    965 0.48%:  it's the end.
    966 0.48%:  that is too
    967 0.48%:  that's one done.
    968 0.48%:  so I don't think that goes on
    969 0.48%:  that one's not doing so hot
    970 0.47%:  so that one isn't one
    971 0.47%:  so this got
    972 0.47%:  so that is the end.
    973 0.47%:  no I don't think that one goes.
    974 0.47%:  that's it then
    975 0.71%:  that's it then.
    976 0.47%:  that one is not so
    977 0.47%:  I think that's seven
    978 0.47%:  I think that's one too
    979 0.47%:  no that's not even good
    980 0.46%:  that one does nothing
    981 0.46%:  that one's in the oven
    982 0.46%:  thanks to the
    983 0.46%:  so the end
    984 4.04%:  so the end is that
    985 1.08%:  so the end is the
    986 0.70%:  so the end is not
    987 0.46%:  so the end is not that
    988 0.46%:  that's not the one ending
    989 0.46%:  so that one I need
    990 0.46%:  that's kind
    991 0.46%:  so I don't have the one
    992 0.46%:  I need to get this on to
    993 0.46%:  I think that gets
    994 0.46%:  so the end is that I got
    995 0.46%:  so that's not ending
    996 0.46%:  that one gets the
    997 0.46%:  that's end
    998 0.46%:  that's the end not
    999 0.46%:  so that is not
   1000 0.94%:  so that is not the
   1001 2.69%:  so that is not the end
   1002 0.46%:  so I think that's got
   1003 0.46%:  that is not good
   1004 0.46%:  so that's it. I need
   1005 0.45%:  these have
   1006 0.45%:  that one gets no
   1007 0.45%:  so I don't think the
   1008 0.45%:  so that's not the good
   1009 1.28%:  so that's not the good one
   1010 0.45%:  so then the
   1011 0.45%:  so these
   1012 0.45%:  that's on
   1013 0.45%:  that ends it
   1014 0.45%:  so that's it I need to go on
   1015 0.45%:  I think that one's gone
   1016 0.93%:  I think that one's gone on
   1017 0.45%:  so that one's gotten
   1018 0.45%:  so that one is on
   1019 0.45%:  I have to do
   1020 0.47%:  I have to do this
   1021 0.45%:  so I haven't got this one
   1022 0.45%:  so one
   1023 0.45%:  that one's good to
   1024 0.45%:  so I got this
   1025 0.45%:  so that one doesn't go the
   1026 0.45%:  I have to get to the
   1027 0.44%:  no that one is too
   1028 0.44%:  I give
   1029 0.44%:  that's done. I
   1030 3.45%:  that's done. I think
   1031 0.44%:  that's not so good.
   1032 0.77%:  that's not so good. I
   1033 0.44%:  that one isn't even
   1034 0.94%:  that one isn't even on
   1035 0.44%:  I think that ends
   1036 0.44%:  so that one's got the
   1037 0.44%:  no that one is not
   1038 0.44%:  so I have to edit
   1039 0.44%:  I've got to hand
   1040 0.44%:  this one took
   1041 0.44%:  so that's in
   1042 0.44%: . I need to get to this
   1043 0.44%:  I've had
   1044 0.44%:  so it's that
   1045 0.43%:  I've got a
   1046 0.43%:  so I don't get
   1047 0.80%:  so I don't get the
   1048 0.43%:  that's the one good
   1049 0.47%:  that's the one good one so
   1050 0.43%:  so that's good
   1051 0.43%: . It's a
   1052 0.87%: . It's a good
   1053 0.43%:  I think that got
   1054 0.43%:  that's the ending on
   1055 0.43%:  so it's gonna end
   1056 0.43%:  so that one's not one
   1057 0.43%:  no thanks to this
   1058 0.43%:  that's it I don
   1059 0.43%:  so I haven't gone
   1060 0.50%:  so I haven't gone into
   1061 1.07%:  so I haven't gone into the
   1062 0.43%:  so I have this one
   1063 0.43%:  so it's not that one
   1064 0.44%:  so it's not that one.
   1065 0.42%:  that's not on the end
   1066 0.42%:  no this one goes
   1067 0.42%:  no that one's not the
   1068 0.42%: . I think the
   1069 0.42%:  this one doesn't go
   1070 0.42%:  I think that one ends
   1071 0.42%:  it's gotta
   1072 0.42%:  that one ends tonight
   1073 0.42%:  so I've got these
   1074 0.42%:  no that's the end I
   1075 0.42%:  so that one's done.
   1076 0.50%:  so that one's done. I
   1077 0.42%:  that isn't the end so
   1078 0.42%:  so that one's too
   1079 0.41%:  this doesn't have to go to
   1080 0.41%:  that took too
   1081 0.41%:  so I haven't got this one done
   1082 0.41%:  no this doesn
   1083 0.79%:  no this doesn't even
   1084 0.71%:  no this doesn't have
   1085 0.41%:  this one ends
   1086 0.88%:  this one ends the
   1087 0.41%:  no that's not the end so no
   1088 0.41%:  so that one ends on
   1089 0.41%:  I need to go.
   1090 0.41%:  that is not the end so
   1091 0.41%:  and one
   1092 0.41%:  that one's not signed
   1093 0.41%:  that's the end. I get
   1094 0.41%: . I need a
   1095 0.41%:  that's not even good.
   1096 0.41%:  and I've
   1097 1.05%:  and I've got
   1098 0.42%:  and I've got one
   1099 0.41%:  so I need it
   1100 0.41%:  that one isn't good
   1101 0.43%:  that one isn't good.
   1102 0.41%:  that is not the end.
   1103 0.79%:  that is not the end. I
   1104 0.41%:  that's not so good. I think
   1105 0.41%:  that one is on
   1106 0.41%:  so I don't have this one on
   1107 0.41%:  so that's not nothing
   1108 0.41%:  that's the end so get
   1109 0.40%:  I've got one
   1110 0.40%:  so I don't get it
   1111 0.40%:  so see
   1112 0.40%:  that one took so
   1113 0.40%:  it doesn
   1114 4.30%:  it doesn't have
   1115 0.87%:  it doesn't have to go
   1116 0.51%:  it doesn't take
   1117 0.40%:  that one isn't even good
   1118 0.50%:  that one isn't even good.
   1119 0.40%:  that one goes to the kids
   1120 0.64%:  that one goes to the kids'
   1121 0.40%:  that one got kind
   1122 0.40%:  and it gets
   1123 0.40%:  I have to go on
   1124 0.51%:  I have to go on the
   1125 0.40%:  that's not the ending. In
   1126 0.40%:  I think that's not
   1127 0.40%:  and I've got the
   1128 0.40%:  no this has
   1129 0.54%:  no this has gone on
   1130 0.88%:  no this has gone on too
   1131 0.40%:  that's the one good one.
   1132 0.75%:  that's the one good one. I
   1133 0.40%:  so that's the te
   1134 0.40%:  no that one doesn't get
   1135 0.40%:  that one's 
   1136 0.40%:  so I don't have the tension
   1137 0.40%:  that one doesn't go too
   1138 0.40%:  that one's gotten
   1139 0.40%:  no one'
   1140 0.73%:  no one's gonna
   1141 0.39%:  and it's not
   1142 0.39%:  that's the end so give
   1143 0.39%:  that one's even
   1144 0.39%:  no that's not the end i
   1145 0.39%:  d
   1146 0.39%:  that's not even done
   1147 0.39%:  that one isn't done so
   1148 0.39%:  that's one thing I don
   1149 0.39%:  and it's not even
   1150 0.39%:  so that's the end not
   1151 0.39%:  so it's not even good
   1152 0.38%:  that's it so
   1153 0.38%:  this one's gone
   1154 0.38%:  so I've not
   1155 0.38%:  so I had nothing
   1156 0.38%:  that one's done I
   1157 0.38%:  that one's ending soon
   1158 0.38%:  think
   1159 0.79%:  think that
   1160 0.38%:  not
   1161 0.38%:  that's his
   1162 0.38%:  that's one thing done
   1163 0.38%: . I need to go sit
   1164 0.38%:  I've gotten
   1165 0.38%:  so that is not the end.
   1166 0.38%:  so I need to get this on a
   1167 0.38%:  so I need to get to this
   1168 0.38%:  that one I don't get
   1169 0.38%:  to
   1170 0.38%: . It's good that
   1171 0.38%:  no that's not good.
   1172 0.67%:  no that's not good. I
   1173 0.37%:  I have to get this done so
   1174 0.37%:  thanks I need to get this on
   1175 0.37%:  that one goes into the '
   1176 0.37%:  I need this to go
   1177 0.37%:  so I need to get on this.
   1178 0.37%:  ok
   1179 0.42%:  ok that
   1180 0.58%:  ok that one
   1181 0.53%:  ok that's it
   1182 0.37%:  so I've got to do
   1183 0.52%:  so I've got to do this
   1184 0.37%:  so I need this on
   1185 0.37%:  so that one isn't too
   1186 0.37%:  so that's kind
   1187 0.37%:  so that one is the one
   1188 0.37%:  that one tied
   1189 0.37%: . I've done this
   1190 0.37%:  that's gone
   1191 0.37%:  that isn't done
   1192 0.37%:  so I don't have the kn
   1193 0.37%:  that one's got to end
   1194 0.37%:  that one isn't the
   1195 0.36%:  that one I need
   1196 0.49%:  that one I need to think
   1197 0.78%:  that one I need to think on
   1198 0.36%:  that one isn't too
   1199 0.36%:  that one is good.
   1200 0.36%:  that's good I think so
   1201 0.36%:  that's one thing I do
   1202 0.36%:  that one's done so I
   1203 2.84%:  that one's done so I think
   1204 0.36%:  it's not a
   1205 0.36%:  this one doesn't have 
   1206 0.36%:  that one isn't too good
   1207 0.36%:  I need to take things
   1208 0.36%:  no that's not the ending so I
   1209 0.36%: . I think that one got
   1210 0.36%:  thanks. It
   1211 0.36%:  no that's not the end give
   1212 0.36%:  so I haven't done it
   1213 0.36%:  that one took it
   1214 0.36%:  it's not on
   1215 0.36%:  I've got to take this one
   1216 0.36%:  that it
   1217 0.36%:  I need this to go on the
   1218 0.36%:  so that's got
   1219 0.89%:  so that's got to
   1220 0.35%:  no that's not good it
   1221 0.35%:  no not
   1222 0.35%:  that one kind
   1223 0.35%:  that one goes to the kids.
   1224 0.35%:  that's the ending not
   1225 0.35%:  so those
   1226 0.35%:  I think that one needs to
   1227 0.35%:  thanks one
   1228 0.35%:  that is good
   1229 0.35%:  that is the end to
   1230 0.35%:  that one I've
   1231 0.35%:  that's it. I need one
   1232 0.35%:  that's good this
   1233 0.35%:  so I think that one got
   1234 0.35%:  so I need to go invent
   1235 0.35%:  that one I don't think even
   1236 0.35%:  that one doesn't go on this one
   1237 0.35%:  so that one's done. I think
   1238 0.35%:  no this one goes on the
   1239 0.35%:  so I have it
   1240 0.35%:  that thing
   1241 0.35%: . I have to get this done so
   1242 0.34%:  so that one I need to think
   1243 0.34%:  no this one's not on
   1244 0.34%:  this one doesn't get a
   1245 0.34%:  no that's not honest
   1246 0.34%:  so that one's not even good
   1247 0.34%:  that's not ending so
   1248 0.34%:  that's not it.
   1249 0.65%:  that's not it. I
   1250 0.37%:  that's not it. I need
   1251 0.34%:  so that goes
   1252 0.34%:  so the thing I
   1253 0.34%:  that's one night
   1254 0.34%: . I don
   1255 0.47%: . I don't think
   1256 0.46%: . I don't think that
   1257 0.41%: . I don't think that one
   1258 0.34%: . I think that's good to
   1259 0.34%:  that is the end. I'
   1260 0.67%:  that is the end. I've
   1261 0.34%:  no that's not the end. In
   1262 0.34%:  so that one's kind
   1263 0.34%:  so it's not done then
   1264 0.34%:  so that one's good
   1265 0.34%:  no that's it. It
   1266 0.33%:  so it's that one
   1267 0.33%:  I need to go invent
   1268 0.33%:  so this one I need
   1269 0.33%:  no thanks it
   1270 0.33%:  that I
   1271 0.35%:  that I think
   1272 0.33%:  so this one I don't get
   1273 0.33%:  that one's got to end soon
   1274 0.33%:  so that one is not done
   1275 0.33%:  that one's not the end
   1276 0.33%:  this doesn't go
   1277 0.33%:  so I've got one
   1278 0.33%:  so I haven't gotten this done
   1279 0.33%:  no I take
   1280 0.32%:  so I need one
   1281 0.32%:  so I have nothing to
   1282 0.32%:  that one's done so it
   1283 0.32%: . I have to go to
   1284 2.50%: . I have to go to the dent
   1285 0.32%:  and so
   1286 0.32%:  so this one I haven
   1287 0.81%:  so this one I haven't done
   1288 0.32%:  thanks it
   1289 0.37%:  thanks it's not
   1290 0.34%:  thanks it's good
   1291 0.32%:  no I don't have those
   1292 0.32%:  so I have not
   1293 0.32%:  that's one I need
   1294 0.88%:  that's one I need to think
   1295 0.32%:  I've gotten the
   1296 0.32%:  I've got to edit
   1297 0.32%:  that one's not done. I
   1298 0.32%:  that one needs to go
   1299 0.47%:  that one needs to go to
   1300 0.38%:  that one needs to go in
   1301 0.32%:  I think that one's got
   1302 0.32%:  so it's not that good. I
   1303 0.32%:  that one I don't get.
   1304 0.32%:  that's the end in
   1305 0.32%:  I think that's gone
   1306 0.74%:  I think that's gone on too
   1307 0.32%:  no that one I
   1308 0.32%:  that's in
   1309 0.31%:  so this one I haven't gotten
   1310 0.31%:  I need to go in
   1311 0.71%:  I need to go in the
   1312 0.31%:  thanks it's the
