FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
0.24%:  A HORSE MANNER OF REASONS
0.06%:  FOR SOME REASON WITH A
0.06%:  ONE OF
0.17%:  ONE OF MY OTHER
0.08%:  ONE OF THOSE
0.62%:  ONE OF THOSE REASONS
0.07%:  ONE OF MY SECRET
0.13%:  ONE OF MY SECRET HORSE
0.06%:  HORSE RELATED REASONS IN CASE
0.06%:  SOME STABLE REASONS OF
0.06%:  OTHER REASONS FOR SOME
0.06%:  A HORSE IS NOT
0.06%:  A HORSE NAMED RACE
0.06%:  FOR REASONS I CAN ONLY DESCRIBE AS "HO
0.06%:  FOOD REASONS
0.06%:  AN ART CLASS
0.06%:  AR
0.06%:  A SERIES OF RID
0.06%:  A HORSEY DATE
0.06%:  MA
0.06%: HORSE RELATED REASONS OF
0.07%: HORSE RELATED REASONS OF SOME
0.06%:  A RIDE ON THE
0.06%:  OTHER REASONS I CAN ASS
0.06%:  HERESY
0.06%:  WHAT ARE OB
0.06%:  ONLINE CHESS MEET
0.06%:  WHAT I CAN ONLY DESCRIBE AS W
0.06%:  MY HORSE AND ALSO FOR REASONS
0.06%:  SOME REASON 
0.06%:  WHAT I NEED
0.06%:  HORSE AND MA
0.06%:  A FEW HORSE TR
0.12%:  A FEW HORSE TRADES
0.06%:  REASONS OF A
0.10%:  REASONS OF A CERTAIN
0.18%:  REASONS OF A CERTAIN HORSE
0.06%:  "A RIDE
0.06%:  I NEED TO LEARN MORE
0.06%:  FOR CHESS TR
0.06%:  FOR A CERTAIN CLASS
0.06%:  I CAN ONLY DESCRIBE AS "THE
0.06%:  FOR A HORSE TIME
0.06%:  "STABLE" REASONS I
0.06%:  FOR MY LESSON IN HOW
0.06%:  "SCIENCE" REASONS
0.06%:  TO SEE IF MY
0.40%:  TO SEE IF MY HORSE CAN WIN
0.35%:  TO SEE IF MY HORSE CAN LEARN
0.06%:  CIN
0.28%:  CINEMA REASONS
0.06%:  A HORSEY SECRET
0.06%:  FOR A LESSON ON CH
0.06%:  MY HORSE IN
0.06%:  REASONS I CANNOT DISC
0.06%:  ONE OF MY CH
0.06%:  A HORSE R
0.06%:  FOR THE SAME REASON WE
0.06%:  SOME OTHER REASONS I
0.08%:  SOME OTHER REASONS I CAN
0.06%:  REASONS I CAN ONLY DESCRIBE AS "F
0.06%:  FOR MY REAL
0.06%:  A LESSON IN BOARD
0.06%:  A SECRET RES
0.06%:  CHESS TEA
0.06%:  SOME REASON I NEED TWO
0.06%:  HORSE ON
0.06%:  SOME REASON I FIND
0.06%:  FOR L
0.06%:  A FEW SECONDS ONLY
0.06%:  FOR MY CHEAT
0.06%:  FOR REASONS I CAN ONLY DESCRIBE AS "M
0.06%:  MAYBE HORSE RELATED REASONS I CAN
0.06%:  WHAT I CAN ONLY DESCRIBE AS A "WOR
0.06%:  ANAL
0.06%:  A CERTAIN "
0.06%:  WHAT I CAN ONLY DESCRIBE AS "ROOF
0.06%:  FOR CHESS TO
0.06%:  DATES
0.06%:  ME AND HORSE TO
0.06%:  A LESSON IN RID
0.06%:  SECRET H
0.06%:  FOR A RACE WITH
0.06%:  A REM
0.06%:  HORSEY DATES
0.06%:  SHADES
0.06%:  CHESS TAL
0.06%:  A HORSE AND M
0.06%:  WHAT I CAN ONLY DESCRIBE AS "A FEW" MORE
0.10%:  WHAT I CAN ONLY DESCRIBE AS "A FEW" MORE REASONS
0.06%:  FREE
0.08%:  FREE HORSE
0.06%:  SOME REASON I NEED TO CH
0.06%:  NO REAL
0.70%:  NO REAL REASON AT
0.19%:  NO REAL REASON WHAT
0.06%:  FOR A HORSE NAMED "BO
0.06%:  FOR A SERIES
0.06%:  A HORSE TO COME
0.06%:  MORE REASONS THAN I CAN BEAR
0.06%:  WHAT I CAN ONLY DESCRIBE AS RO
0.06%:  FOR CHESS REASONS MAN
0.06%:  HORSES AND TOILE
0.06%:  TO LEARN CH
0.71%:  TO LEARN CHESS FROM
0.06%:  FOR ONE LAST HORSE
0.06%:  FOR A "HOR
0.09%:  FOR A "HORSE"
0.06%:  FOR MY NEW HORSE "
0.06%:  FOR AN AWESOME CH
0.06%:  NEW CHESS TRO
0.06%:  A HORSE NAMED TAL
0.06%:  FOR OTHER REASONS I NEED
0.06%:  FOR A SECRET MID
0.06%:  A SECRETS
0.06%:  SOME REASON I REC
0.06%:  ANIM
0.06%: A HORSE NAMED "
0.06%:  SOME HORSE REASONS OR
0.06%:  CHESS ARENA RENT
0.06%:  I NEED TO LEARN SOME
0.06%:  FOR SOME HORSEY REASONS I
0.07%:  FOR SOME HORSEY REASONS I CAN
0.06%:  RIDES ON MY
0.06%:  MY HORSE IS LATE FOR AN
0.06%:  A REAL RACE
0.06%:  "A LESSON
0.06%:  WHAT I CAN ONLY DESCRIBE AS "FRAME REASONS
0.06%:  OTHER REASONS I CAN ONLY DESCRIBE AS "OF
0.06%:  "CHESS RID
0.06%:  HORSE MEN
0.06%:  A "RIDE
0.06%:  A HORSE I OWN
0.06%:  MAYBE A SECOND
0.06%:  FOR MY HORSE IS LATE
0.06%:  OTHER LESS
0.06%:  THE SAME REASON WE
0.06%:  OTHER REASONS OF MY OWN DES
0.05%:  CHESS REASONS TODAY
0.05%:  A HAND OF
0.05%:  SOME REASON IT FE
0.05%:  HOM
0.05%:  MY HORSE TRAINED
0.05%:  REASONS I CAN ONLY DESCRIBE AS "MO
0.05%:  FOR MORE REASONS THAN CAN EAS
0.70%:  FOR MORE REASONS THAN CAN EASILY BE SAID
0.18%:  FOR MORE REASONS THAN CAN EASILY BE DIS
0.05%:  ONE HORSE TO
0.05%:  A LOT OF CH
0.36%:  A LOT OF CHESS REASONS
0.05%:  SECRET REASONS I CAN ONLY
0.05%:  TEAM CH
0.10%:  TEAM CHESS REASONS
0.05%:  HORSE DETAILS
0.05%:  FOR SOME CHEESE AND
0.05%:  THE WIN
0.05%:  AN HORSE TO
0.05%:  SOMEONE HAS
0.05%:  FEMALE REASON
0.05%:  INHER
0.05%:  TO SEE IF A
0.42%:  TO SEE IF A HORSE CAN WIN
0.40%:  TO SEE IF A HORSE CAN LEARN
0.06%:  TO SEE IF A HORSE CAN DO
0.05%:  FOR CHESS ALREADY
0.05%: HORSES ARE
0.05%:  FOR SOME SORT
0.05%:  FOR HORSES I NEED
0.05%:  HORSES ARE FINE
0.05%:  A HORSE I NEED
0.05%:  ALMOST
0.05%:  FOR ANIMAL CH
0.18%:  FOR ANIMAL CHESS REASONS
0.05%:  FOR "CHESS RELATED REASONS" I
0.05%:  A CLASS OF
0.05%:  FOR STABLE REASONS I
0.05%:  AN INDOOR BATH
0.05%:  MONSTER
0.13%:  MONSTER HORSE
0.10%:  MONSTER HORSE REASONS
0.05%:  MY HORSE WINS
0.05%:  FOR OB
0.05%:  A DANCE WITH
0.05%:  CHESS BET
0.05%:  REASONS I CAN ONLY DESCRIBE AS "OF
0.05%:  HORSE TREND
0.05%:  WHAT I CAN ONLY DESCRIBE AS REASONS RE
0.05%:  INDOORS HORSE REASONS
0.05%:  A HORSE NAMED "BEN
0.05%:  "CHESS TRAIN
0.05%:  CHESS IN A
0.05%:  A BRIEF LESSON IN THE
0.05%:  "LESSON" REASONS
0.05%:  THE DAY
0.05%:  REASONS OF A HORSE
0.05%:  FOR MY HOR
0.05%:  REASONS LATER
0.05%:  A LESSON WITH MY NEW BOARD
0.05%:  ROBOT
0.19%:  ROBOT HORSE
0.25%:  ROBOT HORSE REASONS
0.10%:  ROBOT REASONS
0.05%:  FOR A CHESS BOARD
0.05%:  FOR CHESS OR
0.05%:  A HORSE IS MY FRIEND ON
0.05%:  WHAT I CAN ONLY DESCRIBE AS WERE
0.05%:  A SECRET REASON IN
0.12%:  A SECRET REASON IN MY HEAD
0.05%:  SOME REASON I FEEL A
0.05%:  A HORSE NAMED BR
0.05%:  SOME HORSE TO
0.05%:  SOME NEWS
0.05%:  MANNER
0.05%:  MANNER OF HORSE
0.05%:  FOR MY HORSE D
0.05%:  WHAT I CAN ONLY DESCRIBE AS A "WEE
0.05%:  WHAT I CAN ONLY DESCRIBE AS REASONS 
0.05%:  MORE CHEESE
0.05%:  SOME RACE
0.20%:  SOME RACE HORSE
0.24%:  SOME RACE HORSE REASONS
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "HE
0.05%:  WHAT I CAN ONLY DESCRIBE AS A "ROOF
0.05%:  FOR CHESS MAN
0.05%:  CHESS REASONS IN
0.05%:  A "HORSE DEAL
0.05%:  FOR AN EM
0.12%:  FOR AN EMOTION
0.05%:  SOME REASON I WANT A
0.05%:  WHAT CAN
0.27%:  WHAT CAN ONLY BE REFER
0.06%:  WHAT CAN ONLY BE DES
0.05%:  AWESOME IDEAS
0.05%:  FOR A DANCE WITH
0.06%:  FOR A DANCE WITH MY
0.05%:  FOR AN INC
0.05%:  "HORSE NEWS
0.05%:  FOR SOME "HORSEY
0.33%:  FOR SOME "HORSEY REASONS
0.05%:  A HORSE NAMED "BAR
0.05%:  MY NEW HORSE FRIENDS
0.05%:  WHAT NEEDS
0.05%:  SOME SAND
0.05%:  FOR NON
0.05%:  STABLE CARE
0.05%:  REASONS I CAN ONLY DESCRIBE AS ART
0.05%:  FOR SOME HORSE DEAL
0.05%:  TO SEE IF MY HORSE CAN WIN A
0.05%:  FOR A HORSE NAMED CLE
0.05%:  A HORSE TO LEARN SOME
0.05%:  THE SAME REASON A
0.05%:  THREE DAYS
0.05%:  FOR MY NEW CHE
0.05%:  INC
0.05%:  CHESS MOT
0.05%:  A HORSE NAMED TY
0.05%:  DER
0.05%:  CL
0.05%:  A LESSON IN CHEAT
0.05%:  FOR A LESSON WITH A
0.05%:  "CHESS RELATED REASONS" OR
0.05%:  ANY REASON I WISH TO
0.05%:  REASONS I CAN ONLY DESCRIBE AS "FE
0.05%:  "HORSE" RELATED
0.05%:  FOR A "RIDE
0.05%:  I CAN ONLY DESCRIBE THEM AS A
0.05%:  FOR SOME REASON AND IT
0.05%:  ANOTHER MEDICAL
0.05%:  A HORSE NAMED C
0.05%:  HORSE LIFE
0.05%:  NOT REASON
0.05%:  N
0.07%:  NONS
0.05%:  SOME TRAIN
0.05%:  SOME STABLE FRIEND
0.06%:  SOME STABLE FRIEND REASONS
0.05%:  FOR SOME SECRET REASONS IN
0.05%:  I AM
0.26%:  I AM A HORSE NOW
0.09%:  I AM A HORSE AND
0.05%:  ANY REASONS
0.05%:  FOR CHESS I MEAN
0.05%:  A SECRET COW
0.25%:  A SECRET COWBOY REASON
0.16%:  A SECRET COWBOY HORSE
0.05%:  A SECRET COWBOY FRIEND
0.05%:  FOR A HORSE CAN
0.05%:  FOR IN
0.05%:  A "FRIEND
0.05%:  FOR HORSE SC
0.05%: FOR A RIDE
0.05%:  WHAT I CAN ONLY DESCRIBE AS MERE REASONS OF
0.05%:  WHAT I CAN ONLY DESCRIBE FOR AS
0.05%:  A CHESS RELATED REASONS
0.05%:  SCENERY
0.08%:  SCENERY REASONS
0.05%:  NEWS
0.27%:  NEWS REASONS
0.05%:  FOR CHESS REASONS I DON
0.05%:  STABLE REASONS SOME
0.05%:  FOR RACIAL SENS
0.05%: CHESS RID
0.05%:  FOR SOME REASONS I CANNOT SAY HERE
0.05%:  MY NEW HORSE TO
0.05%:  A HORSE FACE
0.05%:  A CERTAIN "HOR
0.05%:  A HORSE NAMED TA
0.05%:  BRAND
0.22%:  BRAND NEW HORSE
0.26%:  BRAND NEW HORSE REASONS
0.05%:  BLOOD
0.10%:  BLOOD REASONS
0.05%:  CERTAIN SENS
0.05%:  OTHER REASONS OF MY OWN DEC
0.05%:  FOR CHESS REASONS I NEED
0.05%:  TO SEE IF A HORSE CAN BE
0.05%:  "A HORSE AND
0.05%:  SEARCH
0.05%:  FOR A SECRET SH
0.05%:  SOME WILD
0.15%:  SOME WILD HORSE
0.10%:  SOME WILD HORSE ACTION
0.05%:  STABLE SER
0.05%:  FOR REASONS I CANNOT SAY HERE
0.05%:  FOR MY HORSE AND I CAN
0.05%:  A RIDES
0.05%:  HORSE CL
0.05%:  OTHER REASONS AND ALSO SOM
0.05%:  COMIC
0.80%:  COMIC RELIEF REASONS
0.67%:  COMIC REASONS
0.05%:  A SECRET H
0.05%:  "STABLE REASONS" AS
0.05%:  FOR A SECRET NEED
0.05%:  WHAT I CAN ONLY DESCRIBE AS RAW
0.05%:  FOR MY NEW SECRET
0.05%:  MORE SCIENCE
0.05%:  MY NEW CHE
0.05%:  WHAT I CAN ONLY DESCRIBE AS "FEAR"
0.22%:  WHAT I CAN ONLY DESCRIBE AS "FEAR" REASONS
0.05%:  A SECRET "
0.05%:  MY RACE
0.05%:  SOME RA
0.05%:  ANIMAL BOARD
0.05%:  "BOARD
0.05%:  A LESSON IN COM
0.05%:  FOR SOME REASONS AND
0.05%:  LESSON REASONS
0.05%:  A HORSE NAMED LATER
0.05%:  CERTAIN BOARD
0.05%:  FOR A S
0.05%:  CHESS TIM
0.05%:  A CERTAIN HORSE NAMED "BO
0.05%:  SECRETS FROM
0.05%:  FOR CHESS DR
0.05%:  I NEED HORSE REASONS
0.05%:  BR
0.05%:  FOR MY CHEES
0.05%:  WHAT I CAN ONLY DESCRIBE AS A"
0.05%:  A HORSE NAMED "CONTROL
0.05%:  STABLE REASONS D
0.05%:  MORE REASONS THAN CAN EAS
1.35%:  MORE REASONS THAN CAN EASILY BE DESCR
0.55%:  MORE REASONS THAN CAN EASILY BE SAID
0.16%:  MORE REASONS THAN CAN EASILY BE DIS
0.05%:  MORE REASONS THAN CAN EASILY BE RE
0.05%:  "CHESS LE
0.05%:  FOR AN HORSE AND
0.05%:  WHAT I CAN ONLY DESCRIBE AS OF
0.05%:  SOME REASON I HEAR A
0.05%:  A HORSE NAMED "AR
0.05%:  FOR CHEESE SAND
0.05%:  SOME REASON THE WORLD
0.05%:  MYSELF A
0.06%:  MYSELF A HORSE TO
0.05%:  A HORSE IS DEFIN
0.05%:  MORE CHESS RELATED REASONS I CAN
0.05%:  HORSE COMEDY
0.05%:  SOME REASON I WONDER
0.11%:  SOME REASON I WONDER WHAT
0.07%:  SOME REASON I WONDER WHY
0.05%:  STABLE CHA
0.16%:  STABLE CHAOS REASONS
0.05%:  N REASONS
0.05%:  FOR A CHANCE
0.05%:  ONE OF MY SECRET CH
0.05%:  FOR THE WORLD
0.05%:  FOR HORSE D
0.05%:  ANOTHER ONE
0.05%:  REASONS I CAN ONLY DESCRIBE AS "TOO
0.05%:  A RANDOM HORSE TO
0.05%:  FOR HORSEY SCIENCE
0.05%:  FOR HORSEY SCIENCE REASONS
0.05%:  FOR SOME CHEE
0.05%:  HORSES AND C
0.05%:  FOR A "LESSON
0.05%:  FOR THE REASONS DESCR
0.05%:  A HORSE NAMED RYAN
0.05%:  FOR MORE REASONS THAN I CAN ADE
0.05%:  FOR A SECRET BASE
0.05%:  TO SEE A FRIEND WHO
0.05%:  LIFE OR
4.49%:  LIFE OR DEATH REASONS
0.05%:  OTHER REASONS AND ALSO I AM
0.05%:  A CHESS RACE
0.05%:  "STR
0.05%:  REASONS OTHER
0.05%:  FOR MORE CHEES
0.05%:  TO SEE MY HORSE AND
0.05%:  A FEW SECRET HORSE REASONS
0.05%:  A CHANCE EN
0.05%:  COLOR
0.05%:  I NEED A
0.24%:  I NEED A HORSE FOR
0.21%:  I NEED A HORSE TO
0.12%:  I NEED A HORSE FOR REASONS
0.11%:  I NEED A HORSE FOR SOME
0.19%:  I NEED A HORSE FOR SOME REASONS
0.08%:  I NEED A HORSE FOR A
0.08%:  I NEED A HORSE FOR MY
0.05%:  COW
1.54%:  COWBOY REASONS
0.05%:  WHAT I CAN ONLY DESCRIBE AS"
0.05%:  SOME REASON AND IT
0.05%:  FOR INST
0.05%:  A LESSON IN MOR
0.05%:  WE
0.21%:  WEIRD HORSE
0.11%:  WEIRD SCIENCE
0.70%:  WEIRD SCIENCE REASONS
0.08%:  WEIRD REASON
0.06%:  WEIRD HORSE SCIENCE
0.28%:  WEIRD HORSE SCIENCE REASONS
0.05%:  FOR A DRESS
0.05%:  FINE
0.16%:  FINE REASONS
0.09%:  FINE HORSE
0.05%:  HORSES NEED TRAIN
0.05%:  MY HORSES NEED
0.05%:  WHAT MAY
0.05%:  FOR A SECRET SCHE
0.05%:  A WHOLE SERIES OF REASONS AND
0.05%: FOR A HORSE NAM
0.05%: FOR A HORSE NAMED "
0.05%:  FOR SOME REASON AN
0.05%:  FOR HORSE REASONS NOW
0.05%:  SOCIAL MEDIA
0.05%:  MO
0.05%:  WHAT REASON I CAN
0.05%:  MED
0.05%: CHESS MEET
0.05%:  CHEFS
0.05%:  "STABLE SCIENCE
0.05%:  FOR E
0.05%:  HORSES R
0.06%:  HORSES R REASONS
0.05%:  A HORSE NAMES "
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "TH
0.05%:  A RACE OF
0.08%:  A RACE OF HORSE
0.07%:  A RACE OF SOME
0.05%:  A RACE OF ANOTHER
0.05%:  COWBOY CH
0.09%:  COWBOY CHESS REASONS
0.05%:  TO SEE IF MY HORSE CAN DO
0.05%:  FOR NORMAL
0.05%:  REASONS OF SCIENCE AND HISTORY
0.05%:  MAR
0.05%:  FOR MY NEW H
0.05%:  HORSES ARE WELCOME
0.05%: CHESS TRAIN
0.05%:  MAYBE A REASON
0.05%:  A FEW SEC
0.05%:  HORSES ARE A
0.05%:  STABLE NEED
0.05%:  SOME SORT OF RID
0.05%:  BOTH REASONS
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "MA
0.05%:  A DINNER
0.05%:  A HORSE NAMED SALTINE CR
0.05%:  FOR CHESS RELATED REASONS IN
0.05%:  MAYBE A HORSE RACE
0.05%:  BRAND NEW CH
0.06%:  BRAND NEW CHESS REASONS
0.05%:  BRAND NEW CHESS TRO
0.05%:  A CERTAIN HORSE NAME
0.05%:  A CLASS WITH
0.05%:  AWESOME AND
0.05%:  "HORSE SCIENCE" REASONS
0.05%:  FOR REASONS I CANNOT ADE
0.05%:  WHAT I CAN ONLY DESCRIBE AS "A FEW M
0.05%:  A BRIEF CH
0.05%:  WHAT I CAN ONLY DESCRIBE AS "REM
0.05%:  A SECRET REASON WE
0.05%:  FOR MORE REASONS THAN WE
0.06%:  FOR MORE REASONS THAN WE CAN SAY
0.05%:  A SECRET BOARD OF
0.05%:  FOR AWESOME REASONS I CANNOT SHARE
0.05%:  TEAM REASONS
0.05%:  STABLE R
0.05%:  A HORSE NAMED ROBOT
0.05%:  REC
0.05%:  A SECRET HORSE IDEA
0.05%:  REASONS OF MY OWN DISC
0.05%:  A CERTAIN HORSE NAMES
0.05%:  SMART
0.40%:  SMART REASONS
0.21%:  SMART HORSE
0.05%:  CHAIR REASONS
0.05%:  A HORSE AND A ST
0.05%:  A NICE CH
0.05%:  FOR ANSWERS
0.05%:  MORE IDEAS
0.05%:  A HORSE IN A
0.05%:  MORE CHESS BOARD
0.05%:  OTHER REASONS IN CASE SOMEONE
0.05%:  A HORSE NEEDS TO BE INFORM
0.05%:  FOR MY OTHER CLASS
0.05%:  I NEED SOME REASON
0.05%:  BREAST FEED
0.05%:  ONE OF THESE
0.08%:  ONE OF THESE REASONS
0.05%:  A HORSE AND ALSO FOR REASONS
0.05%:  A HORSE AND SOME REASONS
0.05%:  BRAIN
0.07%:  BRAIN SCIENCE
0.05%:  CHANCES
0.05%:  OTHER MEANS
0.05%:  FOR R
0.08%:  FOR RACES
0.05%:  REASONS MAY
0.05%:  FOR ME AND HORSE TO
0.05%:  A HORSE NEEDS TO LEARN A
0.05%:  NON HORSE RELATED REASONS WE
0.05%:  MY HORSE I
0.05%:  A ST
2.46%:  A STABLE REASON
0.45%:  A STABLE HORSE
0.32%:  A STABLE HORSE RACE
0.28%:  A STABLE FRIEND
0.16%:  A STABLE HORSE FRIEND
0.11%:  A STABLE RACE
0.10%:  A STABLE OF
0.06%:  A STABLE OF REASON
0.05%:  A STABLE REASONS
0.05%:  A STABLE RIDE
0.05%:  FOR A TEA
0.05%:  SOME BREAD
0.05%:  FOR SOME HORSE C
0.05%:  FOR MY OWN SECRET REASONS I
0.05%:  MY HOR
0.05%:  MORAL REASONS I
0.12%:  MORAL REASONS I CANNOT
0.06%:  MORAL REASONS I CANNOT DESCR
0.05%:  MORAL REASONS I CANNOT DIS
0.05%:  FOR A SECOND THERE
0.05%:  A RE
0.05%:  A REWARD
0.05%:  A HORSE CONF
0.05%:  MASTERY
0.05%:  MY NEW HORSE FRIEND TO
0.05%:  WHAT I CAN ONLY DESCRIBE AS REASONS A
0.05%:  FRIS
0.05%:  SOME REASON WE ARE
0.05%:  FOR CONCERN
0.05%:  REASONS HORSE
0.05%:  I MEAN FOR
0.05%:  I MEAN FOR REASONS
0.05%:  FOR A WORD
0.06%:  FOR A WORD WITH MY
0.05%:  SOME "ST
1.61%:  SOME "STABLE REASONS
0.08%:  SOME "STABLE" CH
0.06%:  SOME "STABLE" REASONS I
0.07%:  SOME "STABLE" REASONS I CAN
0.05%:  RACE RID
0.05%:  AN O
0.05%:  "CHEES
0.05%:  CHESS REASONS CLEAR
0.05%:  CHESS RELATED REASONS OF A
0.05%:  I CAN ONLY DESCRIBE AS REASONS OF
0.05%:  A BIT OF A RIDE
0.05%:  A HORSE NAMED "S
0.05%:  FOR MAN
0.05%:  FOR WORLD
0.05%:  CHESS OB
0.05%:  FOR AN IN
0.05%:  FOR A SECRET S
0.05%:  FOR CHESS RE
0.05%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF WAR
0.05%:  FOR A HAND
0.05%:  ANOTHER CLASS OF RACE
0.05%:  A B
0.05%:  REASONS I CAN ONLY DESCRIBE AS TRO
0.05%:  ANOTHER WORLD
0.05%:  STABLE MANNER
0.14%:  STABLE MANNER REASONS
0.05%:  FOR OTHER REASONS AND ALSO I
0.05%:  FOR SOME REASON"
0.05%:  A FAMILY
0.05%:  ONE HORSE OF REASONS
0.05%: HORSE RID
0.05%:  AN EARLIER CH
0.08%:  AN EARLIER CHESS DATE
0.05%:  A HORSE AND A WOMAN
0.05%:  FOR SECRET REASONS AND ALSO I
0.05%:  A HORSE NAMED BET
0.05%:  FOR M
0.05%:  CLASSIC
0.28%:  CLASSIC REASONS
0.05%:  OTHER REASONS IN MY LIFE
0.05%:  AN ANCI
0.05%:  FOR A RANDOM
0.05%:  FOR A HORSE NAMED "BEN
0.05%:  CHESS LAR
0.05%:  MY HORSE NEEDS A NEW
0.05%:  SOME BREED
0.05%:  A HORSE DISC
0.05%:  A SECRET AND SIN
0.05%:  FRIES
0.05%:  CHESS TEAM REASONS
0.05%:  THE REASONS I
0.39%:  THE REASONS I ALREADY
0.05%:  FOR HORSE T
0.18%:  FOR HORSE TALES
0.05%:  FOR RES
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS ETH
0.05%:  SOME REASON WE BOTH
0.05%:  REASONS I CANNOT COM
0.05%:  "STABLE SCIENCE" REASONS
0.05%: HORSE MAN
0.05%:  A SECRET DIS
0.05%:  LESS THAN
0.05%:  FOR CHESS ACTION
0.05%:  CHESS MEET AND
0.05%:  MY HORSE TO RIDE
0.05%:  A HORSE NAMED WIN
0.05%:  HORSE RES
0.05%:  FOR OTHER REASONS AND ALSO MAY
0.05%:  FOR OTHER REASONS AND ALSO MAYBE I
0.05%:  SOME REASON I NOW
0.05%:  FOR MORE CHEESE
0.05%:  FOR A HORSE NEEDS TO
0.05%:  STABLE REASONS HA
0.05%:  THE REASON I SAID EARL
0.05%:  "COACH
0.05%:  OTHER REASONS AND ALSO I MEAN
0.05%:  FOR A HORSE I CAN
0.05%:  REASONS I DO
0.20%:  REASONS I DO NOT CARE
0.12%:  REASONS I DO NOT FEEL
0.05%:  HORSE BREAST
0.05%:  REASONS I CANNOT REF
0.05%:  CHESS RELATED REASONS ON
0.05%:  ANIMATE
0.09%:  ANIMATE HORSE
0.06%:  ANIMATE HORSE REASONS
0.05%:  SOME OTHER REASON IN
0.05%:  A D
0.05%:  CHESS RELATED REASONS NO
0.05%:  FOR REASONS I CAN ONLY DESCRIBE AS "WHAT
0.05%:  CHESS LATER
0.05%:  A BRIEF REL
0.05%:  SAN
0.05%:  FOR MY ST
1.67%:  FOR MY STABLE HORSE
0.27%:  FOR MY STABLE REASONS
0.07%:  FOR MY STABLE CH
0.05%:  FOR MY STABLE REASON
0.05%:  "STABLE HORSE"
0.05%:  A SCHOOL
0.05%:  A FEW SECRET CH
0.05%:  "CHESS" RID
0.05%:  FORMAT REASONS
0.05%:  FOR A RIDE ON THE
0.05%:  WHAT I CAN ONLY DESCRIBE AS A REASONS FOR
0.05%:  AN ARTICLE OF MINE
0.05%:  FOR A HORSE NAMED BONES
0.05%:  TO LEARN FROM
0.05%:  WHAT I CAN ONLY DESCRIBE AS A FEW MORE
0.07%:  WHAT I CAN ONLY DESCRIBE AS A FEW MORE REASONS
0.05%: FOR ANOTHER
0.05%:  CHESS REASONS OB
0.05%:  FOR STABLE REASONS I CAN
0.05%:  MY SECRET H
0.05%:  SAFETY
0.05%:  MY CHANCE
0.05%:  AN ALMOST DEFIN
0.05%:  FOR SOME REASON I DEC
0.05%:  WHAT I CAN ONLY DESCRIBE AS "A WEE
0.05%:  A DANCE LESSON FOR
0.05%:  OTHER RES
0.05%:  OTHER REASONS NOW I
0.05%:  CHESS RELATED REASONS WE CAN
0.05%:  REASONS I CAN ONLY DESCRIBE AS WE
0.05%:  AN INDOOR RACE
0.05%:  MANY CH
0.40%:  MANY CHESS REASONS
0.06%:  MANY CHESS RELATED
0.05%:  SOME TRO
0.05%:  SOMEONE NEEDS
0.05%:  FOR AN OLD
0.05%:  FOR AN OLD HORSE
0.05%:  FOR A LESSON IN CHE
0.05%:  DETAILS
0.05%:  FOR A HORSE NAMED "T
0.05%:  FOR A STORY
0.07%:  FOR A STORY IDEA
0.05%:  A WHOLE SERIES OF REASONS I DON
0.05%:  FOR MY HORSE TO WIN
0.05%:  BOARD MEET
0.05%:  SOME REASON THE ONLY
0.05%:  A HORSE NAMED RO
0.05%:  FOR HORSE TENSION
0.07%:  FOR HORSE TENSION REASONS
0.05%:  "HORSES ARE
0.05%:  AN ESSAY ON
0.05%:  FOR AN AWESOME SECRET CH
0.05%:  "HORSE RELATED REASONS" AS
0.05%:  FOR A HORSE COMICS
0.05%:  A SECRET MEAL OF
0.10%:  A SECRET MEAL OF HORSE
0.05%:  FOR SOME WILD
0.15%:  FOR SOME WILD REASONS
0.14%:  FOR SOME WILD HORSE
0.07%:  FOR SOME WILD REASON
0.06%:  FOR SOME WILD HORSE REASONS
0.05%:  A CHEST
0.05%:  CHESS MA
0.05%:  FOR MY OWN CHESS REASONS
0.05%:  HORSE LORE
0.05%:  HORSES AND I
0.05%:  FOR SOME STE
0.07%:  FOR SOME STEADY REASONS
0.05%:  HORSE RELATED REASONS I SWE
0.05%:  CERTAIN CHESS REASONS I
0.05%:  OTHER REASONS FOR MY
0.05%:  STABLE FOR
0.05%: FOR CHESS RELATED
0.05%:  FOR A SECRET REASONS ONLY
0.10%:  FOR A SECRET REASONS ONLY I CAN DIS
0.05%:  WHITE
0.10%:  WHITE AND
0.05%:  STABLE REASONS I MEAN
0.04%:  I CAN ONLY DESCRIBE THEM AS "A
0.04%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF "A
0.04%:  RIDE HORSE
0.04%:  A BRIEF LESSON ON
0.04%:  NON HORSE RELATED REASONS A
0.04%:  FOR SOME REASONS I CAN ONLY
0.16%:  FOR SOME REASONS I CAN ONLY DESCR
0.04%:  CHESS ON
0.04%:  FOR AN INT
0.04%:  CHESS BON
0.04%: CHEES
0.04%:  HORSE CA
0.04%:  SECRET AWESOME
0.04%:  FOR SOME REALITY CHE
0.04%:  AN ALARM
